LDEV_Read_Hit_X601-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:4B X"
"1","2014/04/01 17:28",93
"2","2014/04/01 17:33",93
"3","2014/04/01 17:38",90
"4","2014/04/01 17:43",91
"5","2014/04/01 17:48",87
"6","2014/04/01 17:53",88
"7","2014/04/01 17:58",93
"8","2014/04/01 18:03",92
"9","2014/04/01 18:08",96
"10","2014/04/01 18:13",93
"11","2014/04/01 18:18",87
"12","2014/04/01 18:23",92
"13","2014/04/01 18:28",87
"14","2014/04/01 18:33",87
"15","2014/04/01 18:38",88
"16","2014/04/01 18:43",91
"17","2014/04/01 18:48",91
"18","2014/04/01 18:53",86
"19","2014/04/01 18:58",89
"20","2014/04/01 19:03",87
"21","2014/04/01 19:08",85
"22","2014/04/01 19:13",93
"23","2014/04/01 19:18",90
"24","2014/04/01 19:23",92
"25","2014/04/01 19:28",91
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",88
"28","2014/04/01 19:43",58
"29","2014/04/01 19:48",58
"30","2014/04/01 19:53",63
"31","2014/04/01 19:58",85
"32","2014/04/01 20:03",90
"33","2014/04/01 20:08",91
"34","2014/04/01 20:13",93
"35","2014/04/01 20:18",95
"36","2014/04/01 20:23",95
"37","2014/04/01 20:28",93
"38","2014/04/01 20:33",93
"39","2014/04/01 20:38",96
"40","2014/04/01 20:43",95
"41","2014/04/01 20:48",95
"42","2014/04/01 20:53",95
"43","2014/04/01 20:58",93
"44","2014/04/01 21:03",94
"45","2014/04/01 21:08",76
"46","2014/04/01 21:13",84
"47","2014/04/01 21:18",84
"48","2014/04/01 21:23",84
"49","2014/04/01 21:28",90
"50","2014/04/01 21:33",80
"51","2014/04/01 21:38",85
"52","2014/04/01 21:43",87
"53","2014/04/01 21:48",80
"54","2014/04/01 21:53",86
"55","2014/04/01 21:58",80
"56","2014/04/01 22:03",75
"57","2014/04/01 22:08",72
"58","2014/04/01 22:13",74
"59","2014/04/01 22:18",86
"60","2014/04/01 22:23",86
"61","2014/04/01 22:28",84
"62","2014/04/01 22:33",79
"63","2014/04/01 22:38",79
"64","2014/04/01 22:43",87
"65","2014/04/01 22:48",82
"66","2014/04/01 22:53",76
"67","2014/04/01 22:58",76
"68","2014/04/01 23:03",77
"69","2014/04/01 23:08",71
"70","2014/04/01 23:13",80
"71","2014/04/01 23:18",78
"72","2014/04/01 23:23",80
"73","2014/04/01 23:28",82
"74","2014/04/01 23:33",81
"75","2014/04/01 23:38",85
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",84
"78","2014/04/01 23:53",85
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",86
"81","2014/04/02 00:08",84
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",87
"84","2014/04/02 00:23",86
"85","2014/04/02 00:28",87
"86","2014/04/02 00:33",88
"87","2014/04/02 00:38",89
"88","2014/04/02 00:43",87
"89","2014/04/02 00:48",92
"90","2014/04/02 00:53",89
"91","2014/04/02 00:58",91
"92","2014/04/02 01:03",88
"93","2014/04/02 01:08",77
"94","2014/04/02 01:13",87
"95","2014/04/02 01:18",87
"96","2014/04/02 01:23",87
