LDEV_Read_Hit_X617-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:7F X"
"1","2014/04/01 17:28",87
"2","2014/04/01 17:33",91
"3","2014/04/01 17:38",86
"4","2014/04/01 17:43",88
"5","2014/04/01 17:48",73
"6","2014/04/01 17:53",87
"7","2014/04/01 17:58",91
"8","2014/04/01 18:03",88
"9","2014/04/01 18:08",87
"10","2014/04/01 18:13",91
"11","2014/04/01 18:18",80
"12","2014/04/01 18:23",87
"13","2014/04/01 18:28",81
"14","2014/04/01 18:33",85
"15","2014/04/01 18:38",83
"16","2014/04/01 18:43",85
"17","2014/04/01 18:48",85
"18","2014/04/01 18:53",84
"19","2014/04/01 18:58",87
"20","2014/04/01 19:03",85
"21","2014/04/01 19:08",80
"22","2014/04/01 19:13",91
"23","2014/04/01 19:18",91
"24","2014/04/01 19:23",87
"25","2014/04/01 19:28",87
"26","2014/04/01 19:33",86
"27","2014/04/01 19:38",82
"28","2014/04/01 19:43",45
"29","2014/04/01 19:48",51
"30","2014/04/01 19:53",61
"31","2014/04/01 19:58",81
"32","2014/04/01 20:03",81
"33","2014/04/01 20:08",86
"34","2014/04/01 20:13",90
"35","2014/04/01 20:18",91
"36","2014/04/01 20:23",92
"37","2014/04/01 20:28",88
"38","2014/04/01 20:33",88
"39","2014/04/01 20:38",93
"40","2014/04/01 20:43",91
"41","2014/04/01 20:48",91
"42","2014/04/01 20:53",90
"43","2014/04/01 20:58",89
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",66
"46","2014/04/01 21:13",82
"47","2014/04/01 21:18",79
"48","2014/04/01 21:23",77
"49","2014/04/01 21:28",81
"50","2014/04/01 21:33",75
"51","2014/04/01 21:38",75
"52","2014/04/01 21:43",82
"53","2014/04/01 21:48",68
"54","2014/04/01 21:53",79
"55","2014/04/01 21:58",66
"56","2014/04/01 22:03",70
"57","2014/04/01 22:08",65
"58","2014/04/01 22:13",75
"59","2014/04/01 22:18",79
"60","2014/04/01 22:23",80
"61","2014/04/01 22:28",80
"62","2014/04/01 22:33",72
"63","2014/04/01 22:38",74
"64","2014/04/01 22:43",84
"65","2014/04/01 22:48",79
"66","2014/04/01 22:53",78
"67","2014/04/01 22:58",74
"68","2014/04/01 23:03",75
"69","2014/04/01 23:08",75
"70","2014/04/01 23:13",80
"71","2014/04/01 23:18",82
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",84
"74","2014/04/01 23:33",83
"75","2014/04/01 23:38",85
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",87
"79","2014/04/01 23:58",91
"80","2014/04/02 00:03",85
"81","2014/04/02 00:08",86
"82","2014/04/02 00:13",89
"83","2014/04/02 00:18",91
"84","2014/04/02 00:23",89
"85","2014/04/02 00:28",90
"86","2014/04/02 00:33",90
"87","2014/04/02 00:38",89
"88","2014/04/02 00:43",85
"89","2014/04/02 00:48",91
"90","2014/04/02 00:53",87
"91","2014/04/02 00:58",89
"92","2014/04/02 01:03",85
"93","2014/04/02 01:08",78
"94","2014/04/02 01:13",83
"95","2014/04/02 01:18",85
"96","2014/04/02 01:23",88
