LDEV_Read_Hit_X634-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:3D X"
"1","2014/04/01 17:28",90
"2","2014/04/01 17:33",89
"3","2014/04/01 17:38",91
"4","2014/04/01 17:43",89
"5","2014/04/01 17:48",76
"6","2014/04/01 17:53",88
"7","2014/04/01 17:58",89
"8","2014/04/01 18:03",89
"9","2014/04/01 18:08",89
"10","2014/04/01 18:13",89
"11","2014/04/01 18:18",78
"12","2014/04/01 18:23",89
"13","2014/04/01 18:28",76
"14","2014/04/01 18:33",83
"15","2014/04/01 18:38",84
"16","2014/04/01 18:43",86
"17","2014/04/01 18:48",83
"18","2014/04/01 18:53",87
"19","2014/04/01 18:58",79
"20","2014/04/01 19:03",84
"21","2014/04/01 19:08",80
"22","2014/04/01 19:13",89
"23","2014/04/01 19:18",88
"24","2014/04/01 19:23",86
"25","2014/04/01 19:28",89
"26","2014/04/01 19:33",84
"27","2014/04/01 19:38",83
"28","2014/04/01 19:43",45
"29","2014/04/01 19:48",51
"30","2014/04/01 19:53",63
"31","2014/04/01 19:58",77
"32","2014/04/01 20:03",77
"33","2014/04/01 20:08",86
"34","2014/04/01 20:13",88
"35","2014/04/01 20:18",92
"36","2014/04/01 20:23",92
"37","2014/04/01 20:28",89
"38","2014/04/01 20:33",89
"39","2014/04/01 20:38",93
"40","2014/04/01 20:43",92
"41","2014/04/01 20:48",94
"42","2014/04/01 20:53",92
"43","2014/04/01 20:58",88
"44","2014/04/01 21:03",89
"45","2014/04/01 21:08",69
"46","2014/04/01 21:13",82
"47","2014/04/01 21:18",73
"48","2014/04/01 21:23",82
"49","2014/04/01 21:28",78
"50","2014/04/01 21:33",71
"51","2014/04/01 21:38",74
"52","2014/04/01 21:43",79
"53","2014/04/01 21:48",68
"54","2014/04/01 21:53",77
"55","2014/04/01 21:58",64
"56","2014/04/01 22:03",72
"57","2014/04/01 22:08",66
"58","2014/04/01 22:13",71
"59","2014/04/01 22:18",80
"60","2014/04/01 22:23",82
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",71
"63","2014/04/01 22:38",75
"64","2014/04/01 22:43",83
"65","2014/04/01 22:48",80
"66","2014/04/01 22:53",75
"67","2014/04/01 22:58",77
"68","2014/04/01 23:03",72
"69","2014/04/01 23:08",74
"70","2014/04/01 23:13",81
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",83
"74","2014/04/01 23:33",83
"75","2014/04/01 23:38",86
"76","2014/04/01 23:43",86
"77","2014/04/01 23:48",84
"78","2014/04/01 23:53",88
"79","2014/04/01 23:58",89
"80","2014/04/02 00:03",85
"81","2014/04/02 00:08",84
"82","2014/04/02 00:13",89
"83","2014/04/02 00:18",90
"84","2014/04/02 00:23",90
"85","2014/04/02 00:28",90
"86","2014/04/02 00:33",92
"87","2014/04/02 00:38",90
"88","2014/04/02 00:43",87
"89","2014/04/02 00:48",91
"90","2014/04/02 00:53",88
"91","2014/04/02 00:58",89
"92","2014/04/02 01:03",86
"93","2014/04/02 01:08",75
"94","2014/04/02 01:13",80
"95","2014/04/02 01:18",84
"96","2014/04/02 01:23",90
