LDEV_Read_Hit_X66-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D7 X"
"1","2014/04/01 17:28",95
"2","2014/04/01 17:33",89
"3","2014/04/01 17:38",86
"4","2014/04/01 17:43",90
"5","2014/04/01 17:48",87
"6","2014/04/01 17:53",91
"7","2014/04/01 17:58",87
"8","2014/04/01 18:03",91
"9","2014/04/01 18:08",90
"10","2014/04/01 18:13",89
"11","2014/04/01 18:18",90
"12","2014/04/01 18:23",95
"13","2014/04/01 18:28",88
"14","2014/04/01 18:33",88
"15","2014/04/01 18:38",74
"16","2014/04/01 18:43",85
"17","2014/04/01 18:48",86
"18","2014/04/01 18:53",83
"19","2014/04/01 18:58",92
"20","2014/04/01 19:03",87
"21","2014/04/01 19:08",80
"22","2014/04/01 19:13",75
"23","2014/04/01 19:18",87
"24","2014/04/01 19:23",88
"25","2014/04/01 19:28",71
"26","2014/04/01 19:33",74
"27","2014/04/01 19:38",88
"28","2014/04/01 19:43",73
"29","2014/04/01 19:48",66
"30","2014/04/01 19:53",91
"31","2014/04/01 19:58",84
"32","2014/04/01 20:03",71
"33","2014/04/01 20:08",79
"34","2014/04/01 20:13",82
"35","2014/04/01 20:18",88
"36","2014/04/01 20:23",79
"37","2014/04/01 20:28",82
"38","2014/04/01 20:33",65
"39","2014/04/01 20:38",86
"40","2014/04/01 20:43",85
"41","2014/04/01 20:48",85
"42","2014/04/01 20:53",81
"43","2014/04/01 20:58",83
"44","2014/04/01 21:03",66
"45","2014/04/01 21:08",59
"46","2014/04/01 21:13",54
"47","2014/04/01 21:18",91
"48","2014/04/01 21:23",50
"49","2014/04/01 21:28",81
"50","2014/04/01 21:33",50
"51","2014/04/01 21:38",83
"52","2014/04/01 21:43",88
"53","2014/04/01 21:48",91
"54","2014/04/01 21:53",73
"55","2014/04/01 21:58",75
"56","2014/04/01 22:03",73
"57","2014/04/01 22:08",65
"58","2014/04/01 22:13",100
"59","2014/04/01 22:18",83
"60","2014/04/01 22:23",100
"61","2014/04/01 22:28",96
"62","2014/04/01 22:33",67
"63","2014/04/01 22:38",96
"64","2014/04/01 22:43",91
"65","2014/04/01 22:48",99
"66","2014/04/01 22:53",76
"67","2014/04/01 22:58",88
"68","2014/04/01 23:03",76
"69","2014/04/01 23:08",87
"70","2014/04/01 23:13",79
"71","2014/04/01 23:18",82
"72","2014/04/01 23:23",84
"73","2014/04/01 23:28",84
"74","2014/04/01 23:33",97
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",84
"77","2014/04/01 23:48",77
"78","2014/04/01 23:53",85
"79","2014/04/01 23:58",79
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",87
"82","2014/04/02 00:13",90
"83","2014/04/02 00:18",62
"84","2014/04/02 00:23",70
"85","2014/04/02 00:28",99
"86","2014/04/02 00:33",46
"87","2014/04/02 00:38",72
"88","2014/04/02 00:43",90
"89","2014/04/02 00:48",54
"90","2014/04/02 00:53",87
"91","2014/04/02 00:58",91
"92","2014/04/02 01:03",82
"93","2014/04/02 01:08",88
"94","2014/04/02 01:13",97
"95","2014/04/02 01:18",66
"96","2014/04/02 01:23",89
