LDEV_Read_Hit_X672-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:70 X"
"1","2014/04/01 17:28",94
"2","2014/04/01 17:33",94
"3","2014/04/01 17:38",93
"4","2014/04/01 17:43",94
"5","2014/04/01 17:48",90
"6","2014/04/01 17:53",89
"7","2014/04/01 17:58",96
"8","2014/04/01 18:03",94
"9","2014/04/01 18:08",95
"10","2014/04/01 18:13",93
"11","2014/04/01 18:18",90
"12","2014/04/01 18:23",91
"13","2014/04/01 18:28",88
"14","2014/04/01 18:33",89
"15","2014/04/01 18:38",90
"16","2014/04/01 18:43",92
"17","2014/04/01 18:48",91
"18","2014/04/01 18:53",89
"19","2014/04/01 18:58",92
"20","2014/04/01 19:03",91
"21","2014/04/01 19:08",88
"22","2014/04/01 19:13",93
"23","2014/04/01 19:18",92
"24","2014/04/01 19:23",90
"25","2014/04/01 19:28",89
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",90
"28","2014/04/01 19:43",63
"29","2014/04/01 19:48",63
"30","2014/04/01 19:53",63
"31","2014/04/01 19:58",86
"32","2014/04/01 20:03",90
"33","2014/04/01 20:08",92
"34","2014/04/01 20:13",94
"35","2014/04/01 20:18",95
"36","2014/04/01 20:23",96
"37","2014/04/01 20:28",94
"38","2014/04/01 20:33",94
"39","2014/04/01 20:38",96
"40","2014/04/01 20:43",96
"41","2014/04/01 20:48",95
"42","2014/04/01 20:53",95
"43","2014/04/01 20:58",93
"44","2014/04/01 21:03",95
"45","2014/04/01 21:08",79
"46","2014/04/01 21:13",87
"47","2014/04/01 21:18",86
"48","2014/04/01 21:23",86
"49","2014/04/01 21:28",91
"50","2014/04/01 21:33",82
"51","2014/04/01 21:38",88
"52","2014/04/01 21:43",88
"53","2014/04/01 21:48",86
"54","2014/04/01 21:53",88
"55","2014/04/01 21:58",80
"56","2014/04/01 22:03",81
"57","2014/04/01 22:08",71
"58","2014/04/01 22:13",80
"59","2014/04/01 22:18",89
"60","2014/04/01 22:23",86
"61","2014/04/01 22:28",86
"62","2014/04/01 22:33",81
"63","2014/04/01 22:38",78
"64","2014/04/01 22:43",86
"65","2014/04/01 22:48",86
"66","2014/04/01 22:53",80
"67","2014/04/01 22:58",80
"68","2014/04/01 23:03",76
"69","2014/04/01 23:08",77
"70","2014/04/01 23:13",84
"71","2014/04/01 23:18",81
"72","2014/04/01 23:23",84
"73","2014/04/01 23:28",84
"74","2014/04/01 23:33",84
"75","2014/04/01 23:38",87
"76","2014/04/01 23:43",88
"77","2014/04/01 23:48",84
"78","2014/04/01 23:53",85
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",86
"81","2014/04/02 00:08",87
"82","2014/04/02 00:13",87
"83","2014/04/02 00:18",89
"84","2014/04/02 00:23",89
"85","2014/04/02 00:28",89
"86","2014/04/02 00:33",91
"87","2014/04/02 00:38",89
"88","2014/04/02 00:43",88
"89","2014/04/02 00:48",93
"90","2014/04/02 00:53",89
"91","2014/04/02 00:58",92
"92","2014/04/02 01:03",91
"93","2014/04/02 01:08",79
"94","2014/04/02 01:13",88
"95","2014/04/02 01:18",89
"96","2014/04/02 01:23",90
