LDEV_Read_Hit_X824-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:0A X"
"1","2014/04/01 17:28",30
"2","2014/04/01 17:33",37
"3","2014/04/01 17:38",42
"4","2014/04/01 17:43",27
"5","2014/04/01 17:48",31
"6","2014/04/01 17:53",30
"7","2014/04/01 17:58",39
"8","2014/04/01 18:03",40
"9","2014/04/01 18:08",73
"10","2014/04/01 18:13",54
"11","2014/04/01 18:18",37
"12","2014/04/01 18:23",38
"13","2014/04/01 18:28",46
"14","2014/04/01 18:33",38
"15","2014/04/01 18:38",68
"16","2014/04/01 18:43",66
"17","2014/04/01 18:48",57
"18","2014/04/01 18:53",47
"19","2014/04/01 18:58",42
"20","2014/04/01 19:03",50
"21","2014/04/01 19:08",61
"22","2014/04/01 19:13",48
"23","2014/04/01 19:18",33
"24","2014/04/01 19:23",34
"25","2014/04/01 19:28",39
"26","2014/04/01 19:33",59
"27","2014/04/01 19:38",63
"28","2014/04/01 19:43",37
"29","2014/04/01 19:48",19
"30","2014/04/01 19:53",31
"31","2014/04/01 19:58",41
"32","2014/04/01 20:03",45
"33","2014/04/01 20:08",68
"34","2014/04/01 20:13",67
"35","2014/04/01 20:18",54
"36","2014/04/01 20:23",58
"37","2014/04/01 20:28",51
"38","2014/04/01 20:33",53
"39","2014/04/01 20:38",73
"40","2014/04/01 20:43",71
"41","2014/04/01 20:48",60
"42","2014/04/01 20:53",55
"43","2014/04/01 20:58",52
"44","2014/04/01 21:03",42
"45","2014/04/01 21:08",69
"46","2014/04/01 21:13",50
"47","2014/04/01 21:18",50
"48","2014/04/01 21:23",37
"49","2014/04/01 21:28",60
"50","2014/04/01 21:33",37
"51","2014/04/01 21:38",35
"52","2014/04/01 21:43",32
"53","2014/04/01 21:48",33
"54","2014/04/01 21:53",33
"55","2014/04/01 21:58",83
"56","2014/04/01 22:03",85
"57","2014/04/01 22:08",66
"58","2014/04/01 22:13",68
"59","2014/04/01 22:18",82
"60","2014/04/01 22:23",83
"61","2014/04/01 22:28",98
"62","2014/04/01 22:33",92
"63","2014/04/01 22:38",94
"64","2014/04/01 22:43",99
"65","2014/04/01 22:48",98
"66","2014/04/01 22:53",99
"67","2014/04/01 22:58",98
"68","2014/04/01 23:03",82
"69","2014/04/01 23:08",84
"70","2014/04/01 23:13",91
"71","2014/04/01 23:18",93
"72","2014/04/01 23:23",89
"73","2014/04/01 23:28",93
"74","2014/04/01 23:33",88
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",83
"78","2014/04/01 23:53",90
"79","2014/04/01 23:58",90
"80","2014/04/02 00:03",93
"81","2014/04/02 00:08",90
"82","2014/04/02 00:13",97
"83","2014/04/02 00:18",99
"84","2014/04/02 00:23",99
"85","2014/04/02 00:28",98
"86","2014/04/02 00:33",99
"87","2014/04/02 00:38",97
"88","2014/04/02 00:43",99
"89","2014/04/02 00:48",98
"90","2014/04/02 00:53",99
"91","2014/04/02 00:58",98
"92","2014/04/02 01:03",97
"93","2014/04/02 01:08",97
"94","2014/04/02 01:13",97
"95","2014/04/02 01:18",93
"96","2014/04/02 01:23",97
