LDEV_Read_Hit_X84-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:2D X"
"1","2014/04/01 17:28",97
"2","2014/04/01 17:33",98
"3","2014/04/01 17:38",96
"4","2014/04/01 17:43",96
"5","2014/04/01 17:48",96
"6","2014/04/01 17:53",96
"7","2014/04/01 17:58",95
"8","2014/04/01 18:03",97
"9","2014/04/01 18:08",98
"10","2014/04/01 18:13",98
"11","2014/04/01 18:18",98
"12","2014/04/01 18:23",98
"13","2014/04/01 18:28",98
"14","2014/04/01 18:33",98
"15","2014/04/01 18:38",97
"16","2014/04/01 18:43",98
"17","2014/04/01 18:48",96
"18","2014/04/01 18:53",99
"19","2014/04/01 18:58",98
"20","2014/04/01 19:03",97
"21","2014/04/01 19:08",96
"22","2014/04/01 19:13",98
"23","2014/04/01 19:18",97
"24","2014/04/01 19:23",94
"25","2014/04/01 19:28",98
"26","2014/04/01 19:33",98
"27","2014/04/01 19:38",99
"28","2014/04/01 19:43",98
"29","2014/04/01 19:48",97
"30","2014/04/01 19:53",99
"31","2014/04/01 19:58",98
"32","2014/04/01 20:03",91
"33","2014/04/01 20:08",98
"34","2014/04/01 20:13",97
"35","2014/04/01 20:18",97
"36","2014/04/01 20:23",98
"37","2014/04/01 20:28",98
"38","2014/04/01 20:33",98
"39","2014/04/01 20:38",98
"40","2014/04/01 20:43",97
"41","2014/04/01 20:48",98
"42","2014/04/01 20:53",97
"43","2014/04/01 20:58",94
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",95
"46","2014/04/01 21:13",95
"47","2014/04/01 21:18",99
"48","2014/04/01 21:23",89
"49","2014/04/01 21:28",98
"50","2014/04/01 21:33",91
"51","2014/04/01 21:38",97
"52","2014/04/01 21:43",98
"53","2014/04/01 21:48",97
"54","2014/04/01 21:53",97
"55","2014/04/01 21:58",91
"56","2014/04/01 22:03",93
"57","2014/04/01 22:08",91
"58","2014/04/01 22:13",94
"59","2014/04/01 22:18",98
"60","2014/04/01 22:23",95
"61","2014/04/01 22:28",97
"62","2014/04/01 22:33",91
"63","2014/04/01 22:38",95
"64","2014/04/01 22:43",97
"65","2014/04/01 22:48",93
"66","2014/04/01 22:53",97
"67","2014/04/01 22:58",97
"68","2014/04/01 23:03",93
"69","2014/04/01 23:08",98
"70","2014/04/01 23:13",88
"71","2014/04/01 23:18",91
"72","2014/04/01 23:23",87
"73","2014/04/01 23:28",81
"74","2014/04/01 23:33",93
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",96
"78","2014/04/01 23:53",94
"79","2014/04/01 23:58",98
"80","2014/04/02 00:03",98
"81","2014/04/02 00:08",92
"82","2014/04/02 00:13",89
"83","2014/04/02 00:18",97
"84","2014/04/02 00:23",74
"85","2014/04/02 00:28",94
"86","2014/04/02 00:33",97
"87","2014/04/02 00:38",93
"88","2014/04/02 00:43",95
"89","2014/04/02 00:48",96
"90","2014/04/02 00:53",97
"91","2014/04/02 00:58",85
"92","2014/04/02 01:03",95
"93","2014/04/02 01:08",85
"94","2014/04/02 01:13",94
"95","2014/04/02 01:18",97
"96","2014/04/02 01:23",90
