LDEV_Read_IOPS_X486-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:69 X"
"1","2014/04/01 17:28",122
"2","2014/04/01 17:33",141
"3","2014/04/01 17:38",130
"4","2014/04/01 17:43",155
"5","2014/04/01 17:48",162
"6","2014/04/01 17:53",301
"7","2014/04/01 17:58",207
"8","2014/04/01 18:03",261
"9","2014/04/01 18:08",201
"10","2014/04/01 18:13",176
"11","2014/04/01 18:18",170
"12","2014/04/01 18:23",229
"13","2014/04/01 18:28",268
"14","2014/04/01 18:33",417
"15","2014/04/01 18:38",251
"16","2014/04/01 18:43",260
"17","2014/04/01 18:48",381
"18","2014/04/01 18:53",171
"19","2014/04/01 18:58",133
"20","2014/04/01 19:03",137
"21","2014/04/01 19:08",157
"22","2014/04/01 19:13",239
"23","2014/04/01 19:18",165
"24","2014/04/01 19:23",169
"25","2014/04/01 19:28",187
"26","2014/04/01 19:33",181
"27","2014/04/01 19:38",148
"28","2014/04/01 19:43",151
"29","2014/04/01 19:48",219
"30","2014/04/01 19:53",312
"31","2014/04/01 19:58",229
"32","2014/04/01 20:03",247
"33","2014/04/01 20:08",120
"34","2014/04/01 20:13",94
"35","2014/04/01 20:18",100
"36","2014/04/01 20:23",171
"37","2014/04/01 20:28",330
"38","2014/04/01 20:33",86
"39","2014/04/01 20:38",100
"40","2014/04/01 20:43",112
"41","2014/04/01 20:48",129
"42","2014/04/01 20:53",110
"43","2014/04/01 20:58",139
"44","2014/04/01 21:03",201
"45","2014/04/01 21:08",127
"46","2014/04/01 21:13",220
"47","2014/04/01 21:18",187
"48","2014/04/01 21:23",108
"49","2014/04/01 21:28",126
"50","2014/04/01 21:33",147
"51","2014/04/01 21:38",168
"52","2014/04/01 21:43",202
"53","2014/04/01 21:48",213
"54","2014/04/01 21:53",204
"55","2014/04/01 21:58",137
"56","2014/04/01 22:03",158
"57","2014/04/01 22:08",149
"58","2014/04/01 22:13",236
"59","2014/04/01 22:18",323
"60","2014/04/01 22:23",209
"61","2014/04/01 22:28",176
"62","2014/04/01 22:33",169
"63","2014/04/01 22:38",79
"64","2014/04/01 22:43",128
"65","2014/04/01 22:48",129
"66","2014/04/01 22:53",98
"67","2014/04/01 22:58",310
"68","2014/04/01 23:03",168
"69","2014/04/01 23:08",146
"70","2014/04/01 23:13",139
"71","2014/04/01 23:18",124
"72","2014/04/01 23:23",132
"73","2014/04/01 23:28",96
"74","2014/04/01 23:33",171
"75","2014/04/01 23:38",160
"76","2014/04/01 23:43",165
"77","2014/04/01 23:48",214
"78","2014/04/01 23:53",236
"79","2014/04/01 23:58",214
"80","2014/04/02 00:03",337
"81","2014/04/02 00:08",217
"82","2014/04/02 00:13",103
"83","2014/04/02 00:18",162
"84","2014/04/02 00:23",155
"85","2014/04/02 00:28",214
"86","2014/04/02 00:33",226
"87","2014/04/02 00:38",199
"88","2014/04/02 00:43",363
"89","2014/04/02 00:48",479
"90","2014/04/02 00:53",455
"91","2014/04/02 00:58",504
"92","2014/04/02 01:03",337
"93","2014/04/02 01:08",220
"94","2014/04/02 01:13",374
"95","2014/04/02 01:18",331
"96","2014/04/02 01:23",444
