LDEV_Read_IOPS_X606-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:80 X"
"1","2014/04/01 17:28",6
"2","2014/04/01 17:33",7
"3","2014/04/01 17:38",5
"4","2014/04/01 17:43",5
"5","2014/04/01 17:48",0
"6","2014/04/01 17:53",5
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",6
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",6
"11","2014/04/01 18:18",4
"12","2014/04/01 18:23",8
"13","2014/04/01 18:28",3
"14","2014/04/01 18:33",6
"15","2014/04/01 18:38",6
"16","2014/04/01 18:43",7
"17","2014/04/01 18:48",4
"18","2014/04/01 18:53",6
"19","2014/04/01 18:58",3
"20","2014/04/01 19:03",5
"21","2014/04/01 19:08",6
"22","2014/04/01 19:13",8
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",7
"25","2014/04/01 19:28",7
"26","2014/04/01 19:33",5
"27","2014/04/01 19:38",9
"28","2014/04/01 19:43",5
"29","2014/04/01 19:48",5
"30","2014/04/01 19:53",5
"31","2014/04/01 19:58",8
"32","2014/04/01 20:03",8
"33","2014/04/01 20:08",6
"34","2014/04/01 20:13",7
"35","2014/04/01 20:18",8
"36","2014/04/01 20:23",7
"37","2014/04/01 20:28",7
"38","2014/04/01 20:33",7
"39","2014/04/01 20:38",7
"40","2014/04/01 20:43",8
"41","2014/04/01 20:48",6
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",7
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",5
"47","2014/04/01 21:18",5
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",5
"50","2014/04/01 21:33",5
"51","2014/04/01 21:38",5
"52","2014/04/01 21:43",6
"53","2014/04/01 21:48",3
"54","2014/04/01 21:53",6
"55","2014/04/01 21:58",6
"56","2014/04/01 22:03",11
"57","2014/04/01 22:08",7
"58","2014/04/01 22:13",8
"59","2014/04/01 22:18",10
"60","2014/04/01 22:23",18
"61","2014/04/01 22:28",17
"62","2014/04/01 22:33",13
"63","2014/04/01 22:38",14
"64","2014/04/01 22:43",18
"65","2014/04/01 22:48",21
"66","2014/04/01 22:53",19
"67","2014/04/01 22:58",9
"68","2014/04/01 23:03",15
"69","2014/04/01 23:08",12
"70","2014/04/01 23:13",17
"71","2014/04/01 23:18",16
"72","2014/04/01 23:23",13
"73","2014/04/01 23:28",14
"74","2014/04/01 23:33",15
"75","2014/04/01 23:38",17
"76","2014/04/01 23:43",14
"77","2014/04/01 23:48",18
"78","2014/04/01 23:53",18
"79","2014/04/01 23:58",17
"80","2014/04/02 00:03",18
"81","2014/04/02 00:08",16
"82","2014/04/02 00:13",14
"83","2014/04/02 00:18",16
"84","2014/04/02 00:23",19
"85","2014/04/02 00:28",20
"86","2014/04/02 00:33",18
"87","2014/04/02 00:38",18
"88","2014/04/02 00:43",17
"89","2014/04/02 00:48",19
"90","2014/04/02 00:53",14
"91","2014/04/02 00:58",16
"92","2014/04/02 01:03",13
"93","2014/04/02 01:08",10
"94","2014/04/02 01:13",14
"95","2014/04/02 01:18",14
"96","2014/04/02 01:23",9
