LDEV_Read_IOPS_X634-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:3D X"
"1","2014/04/01 17:28",6
"2","2014/04/01 17:33",8
"3","2014/04/01 17:38",5
"4","2014/04/01 17:43",5
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",5
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",6
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",5
"11","2014/04/01 18:18",3
"12","2014/04/01 18:23",6
"13","2014/04/01 18:28",2
"14","2014/04/01 18:33",5
"15","2014/04/01 18:38",5
"16","2014/04/01 18:43",7
"17","2014/04/01 18:48",3
"18","2014/04/01 18:53",5
"19","2014/04/01 18:58",3
"20","2014/04/01 19:03",5
"21","2014/04/01 19:08",7
"22","2014/04/01 19:13",11
"23","2014/04/01 19:18",10
"24","2014/04/01 19:23",9
"25","2014/04/01 19:28",9
"26","2014/04/01 19:33",9
"27","2014/04/01 19:38",8
"28","2014/04/01 19:43",6
"29","2014/04/01 19:48",4
"30","2014/04/01 19:53",6
"31","2014/04/01 19:58",5
"32","2014/04/01 20:03",7
"33","2014/04/01 20:08",6
"34","2014/04/01 20:13",6
"35","2014/04/01 20:18",7
"36","2014/04/01 20:23",7
"37","2014/04/01 20:28",6
"38","2014/04/01 20:33",6
"39","2014/04/01 20:38",6
"40","2014/04/01 20:43",7
"41","2014/04/01 20:48",6
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",8
"44","2014/04/01 21:03",6
"45","2014/04/01 21:08",3
"46","2014/04/01 21:13",4
"47","2014/04/01 21:18",6
"48","2014/04/01 21:23",6
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",5
"51","2014/04/01 21:38",5
"52","2014/04/01 21:43",5
"53","2014/04/01 21:48",3
"54","2014/04/01 21:53",5
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",10
"57","2014/04/01 22:08",8
"58","2014/04/01 22:13",7
"59","2014/04/01 22:18",10
"60","2014/04/01 22:23",19
"61","2014/04/01 22:28",17
"62","2014/04/01 22:33",12
"63","2014/04/01 22:38",13
"64","2014/04/01 22:43",17
"65","2014/04/01 22:48",19
"66","2014/04/01 22:53",13
"67","2014/04/01 22:58",15
"68","2014/04/01 23:03",14
"69","2014/04/01 23:08",16
"70","2014/04/01 23:13",17
"71","2014/04/01 23:18",13
"72","2014/04/01 23:23",16
"73","2014/04/01 23:28",14
"74","2014/04/01 23:33",16
"75","2014/04/01 23:38",18
"76","2014/04/01 23:43",13
"77","2014/04/01 23:48",18
"78","2014/04/01 23:53",19
"79","2014/04/01 23:58",17
"80","2014/04/02 00:03",16
"81","2014/04/02 00:08",15
"82","2014/04/02 00:13",17
"83","2014/04/02 00:18",18
"84","2014/04/02 00:23",19
"85","2014/04/02 00:28",20
"86","2014/04/02 00:33",23
"87","2014/04/02 00:38",20
"88","2014/04/02 00:43",17
"89","2014/04/02 00:48",19
"90","2014/04/02 00:53",17
"91","2014/04/02 00:58",13
"92","2014/04/02 01:03",15
"93","2014/04/02 01:08",8
"94","2014/04/02 01:13",13
"95","2014/04/02 01:18",14
"96","2014/04/02 01:23",16
