LDEV_Read_IOPS_X662-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:6E X"
"1","2014/04/01 17:28",11
"2","2014/04/01 17:33",11
"3","2014/04/01 17:38",10
"4","2014/04/01 17:43",10
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",9
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",12
"9","2014/04/01 18:08",5
"10","2014/04/01 18:13",10
"11","2014/04/01 18:18",5
"12","2014/04/01 18:23",13
"13","2014/04/01 18:28",6
"14","2014/04/01 18:33",10
"15","2014/04/01 18:38",9
"16","2014/04/01 18:43",13
"17","2014/04/01 18:48",8
"18","2014/04/01 18:53",10
"19","2014/04/01 18:58",6
"20","2014/04/01 19:03",9
"21","2014/04/01 19:08",11
"22","2014/04/01 19:13",12
"23","2014/04/01 19:18",12
"24","2014/04/01 19:23",12
"25","2014/04/01 19:28",10
"26","2014/04/01 19:33",11
"27","2014/04/01 19:38",13
"28","2014/04/01 19:43",8
"29","2014/04/01 19:48",7
"30","2014/04/01 19:53",7
"31","2014/04/01 19:58",10
"32","2014/04/01 20:03",15
"33","2014/04/01 20:08",12
"34","2014/04/01 20:13",12
"35","2014/04/01 20:18",13
"36","2014/04/01 20:23",12
"37","2014/04/01 20:28",13
"38","2014/04/01 20:33",12
"39","2014/04/01 20:38",12
"40","2014/04/01 20:43",12
"41","2014/04/01 20:48",11
"42","2014/04/01 20:53",12
"43","2014/04/01 20:58",12
"44","2014/04/01 21:03",10
"45","2014/04/01 21:08",6
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",8
"49","2014/04/01 21:28",7
"50","2014/04/01 21:33",7
"51","2014/04/01 21:38",9
"52","2014/04/01 21:43",10
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",9
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",15
"57","2014/04/01 22:08",11
"58","2014/04/01 22:13",12
"59","2014/04/01 22:18",16
"60","2014/04/01 22:23",22
"61","2014/04/01 22:28",19
"62","2014/04/01 22:33",15
"63","2014/04/01 22:38",18
"64","2014/04/01 22:43",26
"65","2014/04/01 22:48",23
"66","2014/04/01 22:53",14
"67","2014/04/01 22:58",18
"68","2014/04/01 23:03",13
"69","2014/04/01 23:08",16
"70","2014/04/01 23:13",19
"71","2014/04/01 23:18",17
"72","2014/04/01 23:23",17
"73","2014/04/01 23:28",18
"74","2014/04/01 23:33",20
"75","2014/04/01 23:38",14
"76","2014/04/01 23:43",16
"77","2014/04/01 23:48",22
"78","2014/04/01 23:53",19
"79","2014/04/01 23:58",15
"80","2014/04/02 00:03",21
"81","2014/04/02 00:08",19
"82","2014/04/02 00:13",19
"83","2014/04/02 00:18",22
"84","2014/04/02 00:23",22
"85","2014/04/02 00:28",20
"86","2014/04/02 00:33",22
"87","2014/04/02 00:38",17
"88","2014/04/02 00:43",23
"89","2014/04/02 00:48",22
"90","2014/04/02 00:53",20
"91","2014/04/02 00:58",16
"92","2014/04/02 01:03",20
"93","2014/04/02 01:08",12
"94","2014/04/02 01:13",17
"95","2014/04/02 01:18",17
"96","2014/04/02 01:23",19
