LDEV_Read_IOPS_X723-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:1B X"
"1","2014/04/01 17:28",9
"2","2014/04/01 17:33",10
"3","2014/04/01 17:38",8
"4","2014/04/01 17:43",9
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",8
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",10
"9","2014/04/01 18:08",4
"10","2014/04/01 18:13",7
"11","2014/04/01 18:18",5
"12","2014/04/01 18:23",10
"13","2014/04/01 18:28",6
"14","2014/04/01 18:33",9
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",12
"17","2014/04/01 18:48",6
"18","2014/04/01 18:53",9
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",8
"21","2014/04/01 19:08",8
"22","2014/04/01 19:13",10
"23","2014/04/01 19:18",11
"24","2014/04/01 19:23",10
"25","2014/04/01 19:28",9
"26","2014/04/01 19:33",10
"27","2014/04/01 19:38",12
"28","2014/04/01 19:43",7
"29","2014/04/01 19:48",6
"30","2014/04/01 19:53",6
"31","2014/04/01 19:58",10
"32","2014/04/01 20:03",12
"33","2014/04/01 20:08",10
"34","2014/04/01 20:13",12
"35","2014/04/01 20:18",11
"36","2014/04/01 20:23",10
"37","2014/04/01 20:28",11
"38","2014/04/01 20:33",11
"39","2014/04/01 20:38",10
"40","2014/04/01 20:43",11
"41","2014/04/01 20:48",9
"42","2014/04/01 20:53",10
"43","2014/04/01 20:58",11
"44","2014/04/01 21:03",9
"45","2014/04/01 21:08",4
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",7
"50","2014/04/01 21:33",7
"51","2014/04/01 21:38",8
"52","2014/04/01 21:43",9
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",8
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",13
"57","2014/04/01 22:08",7
"58","2014/04/01 22:13",13
"59","2014/04/01 22:18",14
"60","2014/04/01 22:23",26
"61","2014/04/01 22:28",17
"62","2014/04/01 22:33",14
"63","2014/04/01 22:38",17
"64","2014/04/01 22:43",22
"65","2014/04/01 22:48",21
"66","2014/04/01 22:53",13
"67","2014/04/01 22:58",17
"68","2014/04/01 23:03",14
"69","2014/04/01 23:08",16
"70","2014/04/01 23:13",17
"71","2014/04/01 23:18",18
"72","2014/04/01 23:23",18
"73","2014/04/01 23:28",16
"74","2014/04/01 23:33",14
"75","2014/04/01 23:38",14
"76","2014/04/01 23:43",15
"77","2014/04/01 23:48",21
"78","2014/04/01 23:53",18
"79","2014/04/01 23:58",18
"80","2014/04/02 00:03",16
"81","2014/04/02 00:08",18
"82","2014/04/02 00:13",18
"83","2014/04/02 00:18",20
"84","2014/04/02 00:23",18
"85","2014/04/02 00:28",20
"86","2014/04/02 00:33",20
"87","2014/04/02 00:38",22
"88","2014/04/02 00:43",19
"89","2014/04/02 00:48",25
"90","2014/04/02 00:53",19
"91","2014/04/02 00:58",17
"92","2014/04/02 01:03",21
"93","2014/04/02 01:08",10
"94","2014/04/02 01:13",15
"95","2014/04/02 01:18",17
"96","2014/04/02 01:23",15
