LDEV_Response_1-11.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:D3","00:00:D4","00:00:D5","00:20:15"
"1","2014/04/01 17:28",-3,-3,-3,1657
"2","2014/04/01 17:33",-3,-3,-3,2960
"3","2014/04/01 17:38",-3,-3,-3,2021
"4","2014/04/01 17:43",-3,-3,-3,2940
"5","2014/04/01 17:48",-3,-3,-3,2865
"6","2014/04/01 17:53",-3,-3,-3,2486
"7","2014/04/01 17:58",-3,-3,-3,2820
"8","2014/04/01 18:03",-3,-3,-3,2958
"9","2014/04/01 18:08",-3,-3,-3,1979
"10","2014/04/01 18:13",-3,-3,-3,2508
"11","2014/04/01 18:18",-3,-3,-3,2418
"12","2014/04/01 18:23",-3,-3,-3,2808
"13","2014/04/01 18:28",-3,-3,-3,2821
"14","2014/04/01 18:33",-3,-3,-3,2188
"15","2014/04/01 18:38",-3,-3,-3,2634
"16","2014/04/01 18:43",-3,-3,-3,2325
"17","2014/04/01 18:48",-3,-3,-3,2865
"18","2014/04/01 18:53",-3,-3,-3,2396
"19","2014/04/01 18:58",-3,-3,-3,2310
"20","2014/04/01 19:03",-3,-3,-3,2166
"21","2014/04/01 19:08",-3,-3,-3,3132
"22","2014/04/01 19:13",-3,-3,-3,2078
"23","2014/04/01 19:18",-3,-3,-3,2520
"24","2014/04/01 19:23",-3,-3,-3,2286
"25","2014/04/01 19:28",-3,-3,-3,3133
"26","2014/04/01 19:33",-3,-3,-3,3709
"27","2014/04/01 19:38",-3,-3,-3,2190
"28","2014/04/01 19:43",-3,-3,-3,2376
"29","2014/04/01 19:48",-3,-3,-3,5409
"30","2014/04/01 19:53",-3,-3,-3,2648
"31","2014/04/01 19:58",-3,-3,-3,2451
"32","2014/04/01 20:03",-3,-3,-3,2062
"33","2014/04/01 20:08",-3,-3,-3,2002
"34","2014/04/01 20:13",-3,-3,-3,1757
"35","2014/04/01 20:18",-3,-3,-3,1833
"36","2014/04/01 20:23",-3,-3,-3,1917
"37","2014/04/01 20:28",-3,-3,-3,1837
"38","2014/04/01 20:33",-3,-3,-3,2027
"39","2014/04/01 20:38",-3,-3,-3,2078
"40","2014/04/01 20:43",-3,-3,-3,1824
"41","2014/04/01 20:48",-3,-3,-3,1944
"42","2014/04/01 20:53",-3,-3,-3,2005
"43","2014/04/01 20:58",-3,-3,-3,1954
"44","2014/04/01 21:03",-3,-3,-3,2055
"45","2014/04/01 21:08",-3,-3,-3,1979
"46","2014/04/01 21:13",-3,-3,-3,1975
"47","2014/04/01 21:18",-3,-3,-3,2368
"48","2014/04/01 21:23",-3,-3,-3,2039
"49","2014/04/01 21:28",-3,-3,-3,1911
"50","2014/04/01 21:33",-3,-3,-3,1864
"51","2014/04/01 21:38",-3,-3,-3,2210
"52","2014/04/01 21:43",-3,-3,-3,1772
"53","2014/04/01 21:48",-3,-3,-3,1884
"54","2014/04/01 21:53",-3,-3,-3,1816
"55","2014/04/01 21:58",-3,-3,-3,1820
"56","2014/04/01 22:03",-3,-3,-3,1901
"57","2014/04/01 22:08",-3,-3,-3,2104
"58","2014/04/01 22:13",-3,-3,-3,1944
"59","2014/04/01 22:18",-3,-3,-3,1945
"60","2014/04/01 22:23",-3,-3,-3,2148
"61","2014/04/01 22:28",-3,-3,-3,1781
"62","2014/04/01 22:33",-3,-3,-3,1954
"63","2014/04/01 22:38",-3,-3,-3,1954
"64","2014/04/01 22:43",-3,-3,-3,1998
"65","2014/04/01 22:48",-3,-3,-3,1799
"66","2014/04/01 22:53",-3,-3,-3,1955
"67","2014/04/01 22:58",-3,-3,-3,1906
"68","2014/04/01 23:03",-3,-3,-3,2174
"69","2014/04/01 23:08",-3,-3,-3,2268
"70","2014/04/01 23:13",-3,-3,-3,2549
"71","2014/04/01 23:18",-3,-3,-3,2547
"72","2014/04/01 23:23",-3,-3,-3,2310
"73","2014/04/01 23:28",-3,-3,-3,2454
"74","2014/04/01 23:33",-3,-3,-3,2234
"75","2014/04/01 23:38",-3,-3,-3,1947
"76","2014/04/01 23:43",-3,-3,-3,3408
"77","2014/04/01 23:48",-3,-3,-3,2277
"78","2014/04/01 23:53",-3,-3,-3,2320
"79","2014/04/01 23:58",-3,-3,-3,3120
"80","2014/04/02 00:03",-3,-3,-3,2800
"81","2014/04/02 00:08",-3,-3,-3,2217
"82","2014/04/02 00:13",-3,-3,-3,2347
"83","2014/04/02 00:18",-3,-3,-3,2187
"84","2014/04/02 00:23",-3,-3,-3,2715
"85","2014/04/02 00:28",-3,-3,-3,2928
"86","2014/04/02 00:33",-3,-3,-3,2534
"87","2014/04/02 00:38",-3,-3,-3,3147
"88","2014/04/02 00:43",-3,-3,-3,3120
"89","2014/04/02 00:48",-3,-3,-3,2766
"90","2014/04/02 00:53",-3,-3,-3,2304
"91","2014/04/02 00:58",-3,-3,-3,2480
"92","2014/04/02 01:03",-3,-3,-3,3096
"93","2014/04/02 01:08",-3,-3,-3,2268
"94","2014/04/02 01:13",-3,-3,-3,3227
"95","2014/04/02 01:18",-3,-3,-3,2421
"96","2014/04/02 01:23",-3,-3,-3,2223
