LDEV_Response_1-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:DD","00:00:DF","00:00:E0","00:00:E6","00:00:E7","00:00:E8","00:00:E9","00:00:EA","00:00:EB","00:00:EC","00:00:ED","00:00:EE","00:00:EF","00:20:16","00:20:17"
"1","2014/04/01 17:28",-3,27816,-3,-3,-3,-3,-3,-3,-3,-3,-3,2621,2580,1680,2051
"2","2014/04/01 17:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3308,2312,1585,1829
"3","2014/04/01 17:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2977,2387,1595,1676
"4","2014/04/01 17:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2743,1862,1817,1978
"5","2014/04/01 17:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2856,3311,1914,2136
"6","2014/04/01 17:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3108,2330,1942,2241
"7","2014/04/01 17:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2803,3128,1420,1965
"8","2014/04/01 18:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4258,3127,1867,1447
"9","2014/04/01 18:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3538,2883,3629,2091
"10","2014/04/01 18:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3243,2874,1553,1958
"11","2014/04/01 18:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2562,2192,1777,2124
"12","2014/04/01 18:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3689,2236,1197,1943
"13","2014/04/01 18:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3640,2842,1617,2444
"14","2014/04/01 18:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2877,2060,1696,2341
"15","2014/04/01 18:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4149,2146,1667,1964
"16","2014/04/01 18:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2768,2137,1677,2992
"17","2014/04/01 18:48",14894,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2596,3410,1796,1873
"18","2014/04/01 18:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2187,2160,1634,2220
"19","2014/04/01 18:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2664,2117,1507,1744
"20","2014/04/01 19:03",8888,9938,-3,-3,-3,14730,-3,-3,-3,-3,-3,2274,2431,1358,1801
"21","2014/04/01 19:08",13898,15120,5840,-3,-3,13753,-3,-3,-3,-3,-3,6912,9707,1273,3648
"22","2014/04/01 19:13",-3,-3,4999,-3,-3,-3,-3,-3,-3,-3,-3,2698,2653,1339,1650
"23","2014/04/01 19:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2988,1886,1440,1771
"24","2014/04/01 19:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2519,2468,1755,2579
