LDEV_Response_11-9.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:2C","00:02:2D","00:02:2E","00:02:2F","00:02:30","00:02:31","00:02:32","00:02:33","00:02:34","00:02:35","00:02:36","00:02:37","00:02:38","00:02:39","00:02:3A","00:02:3B","00:02:3C","00:02:3D","00:02:3E","00:02:3F"
"1","2014/04/01 17:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"2","2014/04/01 17:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"3","2014/04/01 17:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"4","2014/04/01 17:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5","2014/04/01 17:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"6","2014/04/01 17:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"7","2014/04/01 17:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8","2014/04/01 18:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"9","2014/04/01 18:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"10","2014/04/01 18:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"11","2014/04/01 18:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"12","2014/04/01 18:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"13","2014/04/01 18:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"14","2014/04/01 18:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"15","2014/04/01 18:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"16","2014/04/01 18:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"17","2014/04/01 18:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"18","2014/04/01 18:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"19","2014/04/01 18:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"20","2014/04/01 19:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"21","2014/04/01 19:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"22","2014/04/01 19:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"23","2014/04/01 19:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"24","2014/04/01 19:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"25","2014/04/01 19:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"26","2014/04/01 19:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"27","2014/04/01 19:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"28","2014/04/01 19:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"29","2014/04/01 19:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"30","2014/04/01 19:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"31","2014/04/01 19:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"32","2014/04/01 20:03",-3,-3,11776,-3,-3,-3,651,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"33","2014/04/01 20:08",-3,-3,4744,-3,-3,1639,476,-3,-3,-3,-3,-3,-3,-3,-3,-3,693,-3,-3,-3
"34","2014/04/01 20:13",-3,-3,224,-3,-3,1994,478,-3,-3,-3,-3,-3,-3,-3,-3,-3,540,-3,-3,-3
"35","2014/04/01 20:18",-3,-3,183,-3,-3,1982,416,-3,-3,-3,-3,-3,-3,-3,-3,-3,637,-3,-3,-3
"36","2014/04/01 20:23",-3,-3,297,-3,-3,856,435,-3,-3,-3,-3,-3,-3,-3,-3,-3,787,-3,-3,-3
"37","2014/04/01 20:28",-3,-3,228,-3,-3,1061,443,-3,-3,-3,-3,-3,-3,-3,-3,-3,486,-3,-3,-3
"38","2014/04/01 20:33",-3,-3,244,-3,-3,925,462,-3,-3,-3,-3,-3,-3,-3,-3,-3,369,-3,-3,-3
"39","2014/04/01 20:38",-3,-3,186,-3,-3,761,393,-3,-3,-3,-3,-3,-3,-3,-3,-3,759,-3,-3,-3
"40","2014/04/01 20:43",-3,-3,190,-3,-3,1065,396,-3,-3,-3,-3,-3,-3,-3,-3,-3,563,-3,-3,-3
"41","2014/04/01 20:48",-3,-3,243,-3,-3,809,393,-3,-3,-3,-3,-3,-3,-3,-3,-3,412,-3,-3,-3
"42","2014/04/01 20:53",-3,-3,264,-3,-3,914,439,-3,-3,-3,-3,-3,-3,-3,-3,-3,541,-3,-3,-3
"43","2014/04/01 20:58",-3,-3,156,-3,-3,797,404,-3,-3,-3,-3,-3,-3,-3,-3,-3,675,-3,-3,-3
"44","2014/04/01 21:03",-3,-3,177,-3,-3,840,468,-3,-3,-3,-3,-3,-3,-3,-3,-3,609,-3,-3,-3
"45","2014/04/01 21:08",-3,-3,695,-3,-3,1033,415,-3,-3,-3,-3,-3,-3,-3,-3,-3,688,-3,-3,-3
"46","2014/04/01 21:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"47","2014/04/01 21:18",-3,-3,-3,-3,-3,427,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"48","2014/04/01 21:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"49","2014/04/01 21:28",-3,-3,-3,-3,-3,1178,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"50","2014/04/01 21:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"51","2014/04/01 21:38",-3,-3,-3,-3,-3,475,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"52","2014/04/01 21:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"53","2014/04/01 21:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"54","2014/04/01 21:53",-3,-3,-3,-3,-3,471,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"55","2014/04/01 21:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"56","2014/04/01 22:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"57","2014/04/01 22:08",-3,-3,-3,-3,-3,857,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"58","2014/04/01 22:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"59","2014/04/01 22:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"60","2014/04/01 22:23",-3,-3,-3,-3,-3,515,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"61","2014/04/01 22:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"62","2014/04/01 22:33",-3,-3,-3,-3,-3,1143,-3,-3,-3,-3,-3,-3,-3,-3,349,-3,-3,-3,-3,-3
"63","2014/04/01 22:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"64","2014/04/01 22:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"65","2014/04/01 22:48",-3,-3,1517,-3,-3,931,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,150,-3
"66","2014/04/01 22:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"67","2014/04/01 22:58",-3,-3,-3,-3,-3,2364,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,263,-3
"68","2014/04/01 23:03",-3,-3,175,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"69","2014/04/01 23:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,666,-3
"70","2014/04/01 23:13",-3,-3,-3,-3,-3,695,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"71","2014/04/01 23:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"73","2014/04/01 23:28",-3,-3,-3,-3,-3,1407,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"74","2014/04/01 23:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"75","2014/04/01 23:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"76","2014/04/01 23:43",-3,-3,-3,-3,-3,690,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"77","2014/04/01 23:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"78","2014/04/01 23:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"79","2014/04/01 23:58",-3,-3,-3,-3,-3,649,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"80","2014/04/02 00:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"81","2014/04/02 00:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"82","2014/04/02 00:13",-3,-3,-3,-3,-3,544,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"83","2014/04/02 00:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"84","2014/04/02 00:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
