LDEV_Response_5-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:3A:A1","00:3A:A2","00:5B:2C","00:5B:2D","00:5B:2E","00:5B:62","00:5B:64","00:5B:66","00:5C:B2"
"1","2014/04/01 17:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"2","2014/04/01 17:33",-3,-3,-3,-3,-3,-3,-3,-3,3977
"3","2014/04/01 17:38",-3,-3,-3,-3,-3,-3,-3,-3,4079
"4","2014/04/01 17:43",-3,-3,-3,-3,-3,-3,-3,-3,-3
"5","2014/04/01 17:48",-3,-3,-3,-3,-3,-3,-3,-3,2316
"6","2014/04/01 17:53",-3,-3,-3,-3,-3,-3,-3,-3,5943
"7","2014/04/01 17:58",-3,-3,-3,-3,-3,-3,-3,-3,-3
"8","2014/04/01 18:03",-3,-3,-3,-3,-3,-3,-3,-3,6625
"9","2014/04/01 18:08",-3,-3,-3,-3,-3,-3,-3,-3,3531
"10","2014/04/01 18:13",-3,-3,-3,-3,-3,-3,-3,-3,-3
"11","2014/04/01 18:18",-3,-3,-3,-3,-3,-3,-3,-3,3414
"12","2014/04/01 18:23",-3,-3,-3,-3,-3,-3,-3,-3,3459
"13","2014/04/01 18:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"14","2014/04/01 18:33",-3,-3,-3,-3,-3,-3,-3,-3,3539
"15","2014/04/01 18:38",-3,-3,-3,-3,-3,-3,-3,-3,4458
"16","2014/04/01 18:43",-3,-3,-3,-3,-3,-3,-3,-3,-3
"17","2014/04/01 18:48",1055,-3,-3,-3,-3,-3,-3,-3,3735
"18","2014/04/01 18:53",-3,-3,-3,-3,-3,-3,-3,-3,-3
"19","2014/04/01 18:58",-3,-3,-3,-3,-3,-3,-3,-3,3417
"20","2014/04/01 19:03",-3,-3,-3,-3,-3,-3,-3,-3,3967
"21","2014/04/01 19:08",-3,-3,6864,-3,-3,-3,-3,-3,208737
"22","2014/04/01 19:13",-3,-3,-3,-3,-3,-3,-3,-3,-3
"23","2014/04/01 19:18",-3,-3,-3,4108,11662,-3,-3,-3,275111
"24","2014/04/01 19:23",-3,-3,-3,-3,44384,-3,-3,-3,-3
"25","2014/04/01 19:28",-3,-3,43129,-3,4665,-3,-3,-3,184292
"26","2014/04/01 19:33",-3,-3,-3,9465,9888,-3,-3,-3,4084
"27","2014/04/01 19:38",-3,-3,-3,-3,-3,-3,-3,-3,-3
"28","2014/04/01 19:43",-3,-3,-3,-3,-3,-3,-3,-3,3127
"29","2014/04/01 19:48",-3,-3,-3,-3,-3,-3,-3,-3,7253
"30","2014/04/01 19:53",-3,-3,-3,-3,-3,-3,-3,-3,-3
"31","2014/04/01 19:58",-3,-3,-3,-3,-3,-3,-3,-3,2686
"32","2014/04/01 20:03",-3,-3,-3,-3,-3,-3,-3,-3,3226
"33","2014/04/01 20:08",-3,-3,-3,-3,-3,-3,-3,-3,-3
"34","2014/04/01 20:13",-3,-3,-3,-3,-3,-3,-3,-3,3457
"35","2014/04/01 20:18",-3,-3,-3,-3,-3,-3,-3,-3,3502
"36","2014/04/01 20:23",-3,-3,-3,-3,-3,-3,-3,-3,-3
"37","2014/04/01 20:28",-3,-3,-3,-3,-3,-3,-3,-3,3247
"38","2014/04/01 20:33",-3,-3,-3,-3,-3,-3,-3,-3,-3
"39","2014/04/01 20:38",-3,-3,-3,-3,-3,-3,-3,-3,3178
"40","2014/04/01 20:43",-3,-3,-3,-3,-3,-3,-3,-3,3094
"41","2014/04/01 20:48",-3,-3,-3,-3,-3,-3,-3,-3,-3
"42","2014/04/01 20:53",-3,-3,-3,-3,-3,-3,-3,-3,3252
"43","2014/04/01 20:58",-3,-3,-3,-3,-3,-3,-3,-3,3668
"44","2014/04/01 21:03",-3,-3,-3,-3,-3,-3,-3,-3,-3
"45","2014/04/01 21:08",-3,-3,-3,-3,-3,-3,-3,-3,9312
"46","2014/04/01 21:13",-3,-3,-3,-3,-3,-3,-3,-3,3362
"47","2014/04/01 21:18",-3,-3,-3,-3,-3,-3,-3,-3,-3
"48","2014/04/01 21:23",-3,-3,-3,-3,-3,-3,-3,-3,3642
"49","2014/04/01 21:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"50","2014/04/01 21:33",-3,-3,-3,-3,-3,-3,-3,-3,12471
"51","2014/04/01 21:38",-3,-3,-3,-3,-3,-3,-3,-3,3296
"52","2014/04/01 21:43",-3,-3,-3,-3,-3,-3,-3,-3,-3
"53","2014/04/01 21:48",-3,-3,-3,-3,-3,-3,-3,-3,3761
"54","2014/04/01 21:53",-3,-3,-3,-3,-3,-3,-3,-3,2357
"55","2014/04/01 21:58",-3,-3,-3,-3,-3,-3,-3,-3,-3
"56","2014/04/01 22:03",-3,-3,-3,-3,-3,-3,-3,-3,4683
"57","2014/04/01 22:08",-3,-3,-3,-3,-3,-3,-3,-3,1079
"58","2014/04/01 22:13",-3,-3,-3,-3,-3,-3,-3,-3,936
"59","2014/04/01 22:18",-3,-3,-3,-3,-3,-3,-3,-3,1045
"60","2014/04/01 22:23",-3,-3,-3,-3,-3,-3,-3,-3,968
"61","2014/04/01 22:28",-3,-3,-3,-3,-3,-3,-3,-3,907
"62","2014/04/01 22:33",-3,-3,-3,-3,-3,-3,-3,-3,1368
"63","2014/04/01 22:38",-3,-3,-3,-3,-3,-3,-3,-3,-3
"64","2014/04/01 22:43",-3,-3,-3,-3,-3,-3,-3,-3,3396
"65","2014/04/01 22:48",-3,-3,-3,-3,-3,-3,-3,-3,3629
"66","2014/04/01 22:53",-3,-3,-3,-3,-3,-3,-3,-3,-3
"67","2014/04/01 22:58",-3,-3,-3,-3,-3,-3,-3,-3,4208
"68","2014/04/01 23:03",-3,-3,-3,-3,-3,-3,-3,-3,4896
"69","2014/04/01 23:08",-3,-3,-3,-3,-3,-3,-3,-3,4565
"70","2014/04/01 23:13",-3,-3,-3,-3,-3,-3,-3,-3,5766
"71","2014/04/01 23:18",-3,-3,-3,-3,-3,-3,-3,-3,7022
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,5839
"73","2014/04/01 23:28",-3,-3,-3,-3,-3,-3,-3,-3,7192
"74","2014/04/01 23:33",-3,-3,-3,-3,-3,-3,-3,-3,6715
"75","2014/04/01 23:38",-3,-3,-3,-3,-3,-3,-3,-3,6113
"76","2014/04/01 23:43",-3,-3,-3,-3,-3,-3,-3,-3,5441
"77","2014/04/01 23:48",-3,-3,-3,-3,-3,-3,-3,-3,3698
"78","2014/04/01 23:53",-3,-3,-3,-3,13971,-3,-3,-3,4313
"79","2014/04/01 23:58",-3,-3,-3,-3,6588,-3,-3,-3,-3
"80","2014/04/02 00:03",-3,-3,-3,-3,4957,-3,-3,-3,3637
"81","2014/04/02 00:08",-3,-3,-3,-3,6554,-3,-3,-3,3754
"82","2014/04/02 00:13",-3,-3,-3,-3,-3,-3,-3,-3,-3
"83","2014/04/02 00:18",-3,-3,-3,-3,-3,-3,-3,-3,3627
"84","2014/04/02 00:23",-3,-3,-3,-3,6135,-3,-3,-3,-3
"85","2014/04/02 00:28",-3,-3,-3,-3,5520,-3,-3,-3,6530
"86","2014/04/02 00:33",-3,-3,-3,-3,5723,-3,-3,-3,6885
"87","2014/04/02 00:38",-3,-3,-3,-3,-3,-3,-3,-3,-3
"88","2014/04/02 00:43",-3,-3,-3,-3,2504,-3,-3,-3,3813
"89","2014/04/02 00:48",-3,-3,-3,-3,-3,-3,-3,-3,-3
"90","2014/04/02 00:53",-3,-3,-3,-3,-3,-3,-3,-3,5178
"91","2014/04/02 00:58",-3,-3,-3,-3,-3,-3,-3,-3,-3
"92","2014/04/02 01:03",-3,-3,-3,-3,-3,-3,-3,-3,10452
"93","2014/04/02 01:08",-3,-3,7485,-3,-3,-3,-3,-3,3477
"94","2014/04/02 01:13",-3,-3,-3,-3,-3,-3,-3,-3,-3
"95","2014/04/02 01:18",-3,-3,-3,4157,12533,-3,-3,-3,223337
"96","2014/04/02 01:23",-3,-3,-3,-3,42296,-3,-3,-3,4963
