LDEV_Response_X172-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:0C X"
"1","2014/04/01 17:28",592
"2","2014/04/01 17:33",564
"3","2014/04/01 17:38",726
"4","2014/04/01 17:43",675
"5","2014/04/01 17:48",497
"6","2014/04/01 17:53",685
"7","2014/04/01 17:58",691
"8","2014/04/01 18:03",1029
"9","2014/04/01 18:08",927
"10","2014/04/01 18:13",722
"11","2014/04/01 18:18",650
"12","2014/04/01 18:23",768
"13","2014/04/01 18:28",556
"14","2014/04/01 18:33",590
"15","2014/04/01 18:38",605
"16","2014/04/01 18:43",660
"17","2014/04/01 18:48",558
"18","2014/04/01 18:53",664
"19","2014/04/01 18:58",643
"20","2014/04/01 19:03",1082
"21","2014/04/01 19:08",792
"22","2014/04/01 19:13",620
"23","2014/04/01 19:18",646
"24","2014/04/01 19:23",561
"25","2014/04/01 19:28",608
"26","2014/04/01 19:33",542
"27","2014/04/01 19:38",572
"28","2014/04/01 19:43",653
"29","2014/04/01 19:48",546
"30","2014/04/01 19:53",570
"31","2014/04/01 19:58",621
"32","2014/04/01 20:03",738
"33","2014/04/01 20:08",706
"34","2014/04/01 20:13",666
"35","2014/04/01 20:18",661
"36","2014/04/01 20:23",518
"37","2014/04/01 20:28",535
"38","2014/04/01 20:33",565
"39","2014/04/01 20:38",571
"40","2014/04/01 20:43",611
"41","2014/04/01 20:48",638
"42","2014/04/01 20:53",553
"43","2014/04/01 20:58",638
"44","2014/04/01 21:03",805
"45","2014/04/01 21:08",619
"46","2014/04/01 21:13",671
"47","2014/04/01 21:18",576
"48","2014/04/01 21:23",560
"49","2014/04/01 21:28",570
"50","2014/04/01 21:33",567
"51","2014/04/01 21:38",555
"52","2014/04/01 21:43",577
"53","2014/04/01 21:48",612
"54","2014/04/01 21:53",669
"55","2014/04/01 21:58",638
"56","2014/04/01 22:03",965
"57","2014/04/01 22:08",740
"58","2014/04/01 22:13",658
"59","2014/04/01 22:18",467
"60","2014/04/01 22:23",523
"61","2014/04/01 22:28",619
"62","2014/04/01 22:33",610
"63","2014/04/01 22:38",609
"64","2014/04/01 22:43",626
"65","2014/04/01 22:48",716
"66","2014/04/01 22:53",648
"67","2014/04/01 22:58",572
"68","2014/04/01 23:03",961
"69","2014/04/01 23:08",678
"70","2014/04/01 23:13",1104
"71","2014/04/01 23:18",833
"72","2014/04/01 23:23",743
"73","2014/04/01 23:28",590
"74","2014/04/01 23:33",694
"75","2014/04/01 23:38",670
"76","2014/04/01 23:43",758
"77","2014/04/01 23:48",689
"78","2014/04/01 23:53",642
"79","2014/04/01 23:58",726
"80","2014/04/02 00:03",1074
"81","2014/04/02 00:08",639
"82","2014/04/02 00:13",746
"83","2014/04/02 00:18",748
"84","2014/04/02 00:23",680
"85","2014/04/02 00:28",667
"86","2014/04/02 00:33",648
"87","2014/04/02 00:38",673
"88","2014/04/02 00:43",601
"89","2014/04/02 00:48",710
"90","2014/04/02 00:53",816
"91","2014/04/02 00:58",797
"92","2014/04/02 01:03",1000
"93","2014/04/02 01:08",816
"94","2014/04/02 01:13",822
"95","2014/04/02 01:18",720
"96","2014/04/02 01:23",767
