LDEV_Response_X205-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2C:06 X"
"1","2014/04/01 17:28",186
"2","2014/04/01 17:33",215
"3","2014/04/01 17:38",168
"4","2014/04/01 17:43",186
"5","2014/04/01 17:48",249
"6","2014/04/01 17:53",226
"7","2014/04/01 17:58",188
"8","2014/04/01 18:03",216
"9","2014/04/01 18:08",198
"10","2014/04/01 18:13",181
"11","2014/04/01 18:18",274
"12","2014/04/01 18:23",239
"13","2014/04/01 18:28",175
"14","2014/04/01 18:33",200
"15","2014/04/01 18:38",204
"16","2014/04/01 18:43",200
"17","2014/04/01 18:48",185
"18","2014/04/01 18:53",262
"19","2014/04/01 18:58",199
"20","2014/04/01 19:03",239
"21","2014/04/01 19:08",217
"22","2014/04/01 19:13",214
"23","2014/04/01 19:18",276
"24","2014/04/01 19:23",188
"25","2014/04/01 19:28",211
"26","2014/04/01 19:33",302
"27","2014/04/01 19:38",180
"28","2014/04/01 19:43",1092
"29","2014/04/01 19:48",196
"30","2014/04/01 19:53",234
"31","2014/04/01 19:58",180
"32","2014/04/01 20:03",260
"33","2014/04/01 20:08",360
"34","2014/04/01 20:13",218
"35","2014/04/01 20:18",246
"36","2014/04/01 20:23",180
"37","2014/04/01 20:28",191
"38","2014/04/01 20:33",292
"39","2014/04/01 20:38",228
"40","2014/04/01 20:43",242
"41","2014/04/01 20:48",181
"42","2014/04/01 20:53",205
"43","2014/04/01 20:58",164
"44","2014/04/01 21:03",189
"45","2014/04/01 21:08",176
"46","2014/04/01 21:13",231
"47","2014/04/01 21:18",186
"48","2014/04/01 21:23",190
"49","2014/04/01 21:28",178
"50","2014/04/01 21:33",183
"51","2014/04/01 21:38",190
"52","2014/04/01 21:43",238
"53","2014/04/01 21:48",176
"54","2014/04/01 21:53",182
"55","2014/04/01 21:58",209
"56","2014/04/01 22:03",216
"57","2014/04/01 22:08",179
"58","2014/04/01 22:13",168
"59","2014/04/01 22:18",187
"60","2014/04/01 22:23",190
"61","2014/04/01 22:28",175
"62","2014/04/01 22:33",338
"63","2014/04/01 22:38",280
"64","2014/04/01 22:43",223
"65","2014/04/01 22:48",192
"66","2014/04/01 22:53",183
"67","2014/04/01 22:58",195
"68","2014/04/01 23:03",308
"69","2014/04/01 23:08",201
"70","2014/04/01 23:13",481
"71","2014/04/01 23:18",338
"72","2014/04/01 23:23",251
"73","2014/04/01 23:28",224
"74","2014/04/01 23:33",282
"75","2014/04/01 23:38",431
"76","2014/04/01 23:43",230
"77","2014/04/01 23:48",294
"78","2014/04/01 23:53",328
"79","2014/04/01 23:58",384
"80","2014/04/02 00:03",217
"81","2014/04/02 00:08",240
"82","2014/04/02 00:13",302
"83","2014/04/02 00:18",257
"84","2014/04/02 00:23",324
"85","2014/04/02 00:28",371
"86","2014/04/02 00:33",360
"87","2014/04/02 00:38",249
"88","2014/04/02 00:43",219
"89","2014/04/02 00:48",284
"90","2014/04/02 00:53",211
"91","2014/04/02 00:58",221
"92","2014/04/02 01:03",431
"93","2014/04/02 01:08",301
"94","2014/04/02 01:13",216
"95","2014/04/02 01:18",244
"96","2014/04/02 01:23",244
