LDEV_Response_X208-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:3B X"
"1","2014/04/01 17:28",3402
"2","2014/04/01 17:33",6963
"3","2014/04/01 17:38",1970
"4","2014/04/01 17:43",-3
"5","2014/04/01 17:48",4713
"6","2014/04/01 17:53",-3
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",5135
"9","2014/04/01 18:08",3640
"10","2014/04/01 18:13",3848
"11","2014/04/01 18:18",-3
"12","2014/04/01 18:23",5277
"13","2014/04/01 18:28",4035
"14","2014/04/01 18:33",-3
"15","2014/04/01 18:38",6565
"16","2014/04/01 18:43",9018
"17","2014/04/01 18:48",5786
"18","2014/04/01 18:53",4171
"19","2014/04/01 18:58",-3
"20","2014/04/01 19:03",7813
"21","2014/04/01 19:08",2801
"22","2014/04/01 19:13",4064
"23","2014/04/01 19:18",-3
"24","2014/04/01 19:23",-3
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",9402
"27","2014/04/01 19:38",3925
"28","2014/04/01 19:43",23548
"29","2014/04/01 19:48",-3
"30","2014/04/01 19:53",-3
"31","2014/04/01 19:58",4177
"32","2014/04/01 20:03",8949
"33","2014/04/01 20:08",2274
"34","2014/04/01 20:13",7626
"35","2014/04/01 20:18",-3
"36","2014/04/01 20:23",6136
"37","2014/04/01 20:28",3597
"38","2014/04/01 20:33",6488
"39","2014/04/01 20:38",3563
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",3077
"42","2014/04/01 20:53",5663
"43","2014/04/01 20:58",5039
"44","2014/04/01 21:03",-3
"45","2014/04/01 21:08",2188
"46","2014/04/01 21:13",-3
"47","2014/04/01 21:18",-3
"48","2014/04/01 21:23",-3
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",-3
"51","2014/04/01 21:38",2381
"52","2014/04/01 21:43",-3
"53","2014/04/01 21:48",3855
"54","2014/04/01 21:53",-3
"55","2014/04/01 21:58",-3
"56","2014/04/01 22:03",5308
"57","2014/04/01 22:08",6344
"58","2014/04/01 22:13",5041
"59","2014/04/01 22:18",-3
"60","2014/04/01 22:23",4728
"61","2014/04/01 22:28",-3
"62","2014/04/01 22:33",4935
"63","2014/04/01 22:38",6135
"64","2014/04/01 22:43",4577
"65","2014/04/01 22:48",6022
"66","2014/04/01 22:53",5892
"67","2014/04/01 22:58",5028
"68","2014/04/01 23:03",6352
"69","2014/04/01 23:08",6425
"70","2014/04/01 23:13",5836
"71","2014/04/01 23:18",6750
"72","2014/04/01 23:23",5923
"73","2014/04/01 23:28",5910
"74","2014/04/01 23:33",7034
"75","2014/04/01 23:38",5811
"76","2014/04/01 23:43",6266
"77","2014/04/01 23:48",6590
"78","2014/04/01 23:53",6229
"79","2014/04/01 23:58",5557
"80","2014/04/02 00:03",5910
"81","2014/04/02 00:08",6537
"82","2014/04/02 00:13",5700
"83","2014/04/02 00:18",6102
"84","2014/04/02 00:23",6316
"85","2014/04/02 00:28",4994
"86","2014/04/02 00:33",5647
"87","2014/04/02 00:38",7018
"88","2014/04/02 00:43",5709
"89","2014/04/02 00:48",5736
"90","2014/04/02 00:53",5288
"91","2014/04/02 00:58",4977
"92","2014/04/02 01:03",4883
"93","2014/04/02 01:08",5827
"94","2014/04/02 01:13",5191
"95","2014/04/02 01:18",5834
"96","2014/04/02 01:23",5594
