LDEV_Response_X332-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:3E X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",-3
"3","2014/04/01 17:38",1809
"4","2014/04/01 17:43",-3
"5","2014/04/01 17:48",-3
"6","2014/04/01 17:53",-3
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",-3
"9","2014/04/01 18:08",3360
"10","2014/04/01 18:13",6089
"11","2014/04/01 18:18",-3
"12","2014/04/01 18:23",-3
"13","2014/04/01 18:28",4150
"14","2014/04/01 18:33",-3
"15","2014/04/01 18:38",7410
"16","2014/04/01 18:43",11537
"17","2014/04/01 18:48",-3
"18","2014/04/01 18:53",7306
"19","2014/04/01 18:58",-3
"20","2014/04/01 19:03",7600
"21","2014/04/01 19:08",24565
"22","2014/04/01 19:13",-3
"23","2014/04/01 19:18",-3
"24","2014/04/01 19:23",-3
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",5674
"27","2014/04/01 19:38",5035
"28","2014/04/01 19:43",-3
"29","2014/04/01 19:48",-3
"30","2014/04/01 19:53",-3
"31","2014/04/01 19:58",4494
"32","2014/04/01 20:03",11772
"33","2014/04/01 20:08",3161
"34","2014/04/01 20:13",9734
"35","2014/04/01 20:18",-3
"36","2014/04/01 20:23",7812
"37","2014/04/01 20:28",-3
"38","2014/04/01 20:33",-3
"39","2014/04/01 20:38",3662
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",-3
"42","2014/04/01 20:53",5435
"43","2014/04/01 20:58",-3
"44","2014/04/01 21:03",-3
"45","2014/04/01 21:08",4489
"46","2014/04/01 21:13",-3
"47","2014/04/01 21:18",-3
"48","2014/04/01 21:23",-3
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",-3
"51","2014/04/01 21:38",-3
"52","2014/04/01 21:43",-3
"53","2014/04/01 21:48",-3
"54","2014/04/01 21:53",-3
"55","2014/04/01 21:58",-3
"56","2014/04/01 22:03",4630
"57","2014/04/01 22:08",4793
"58","2014/04/01 22:13",5309
"59","2014/04/01 22:18",-3
"60","2014/04/01 22:23",6624
"61","2014/04/01 22:28",-3
"62","2014/04/01 22:33",4717
"63","2014/04/01 22:38",6743
"64","2014/04/01 22:43",4740
"65","2014/04/01 22:48",6078
"66","2014/04/01 22:53",5857
"67","2014/04/01 22:58",5833
"68","2014/04/01 23:03",6624
"69","2014/04/01 23:08",6668
"70","2014/04/01 23:13",5962
"71","2014/04/01 23:18",7289
"72","2014/04/01 23:23",6274
"73","2014/04/01 23:28",6118
"74","2014/04/01 23:33",7994
"75","2014/04/01 23:38",6025
"76","2014/04/01 23:43",5536
"77","2014/04/01 23:48",6763
"78","2014/04/01 23:53",5797
"79","2014/04/01 23:58",5933
"80","2014/04/02 00:03",6394
"81","2014/04/02 00:08",6169
"82","2014/04/02 00:13",5499
"83","2014/04/02 00:18",5908
"84","2014/04/02 00:23",5630
"85","2014/04/02 00:28",4481
"86","2014/04/02 00:33",6164
"87","2014/04/02 00:38",7463
"88","2014/04/02 00:43",5932
"89","2014/04/02 00:48",5620
"90","2014/04/02 00:53",5526
"91","2014/04/02 00:58",5252
"92","2014/04/02 01:03",6190
"93","2014/04/02 01:08",6845
"94","2014/04/02 01:13",5052
"95","2014/04/02 01:18",6233
"96","2014/04/02 01:23",6268
