LDEV_Response_X417-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:32:6A X"
"1","2014/04/01 17:28",26608
"2","2014/04/01 17:33",119203
"3","2014/04/01 17:38",19066
"4","2014/04/01 17:43",24413
"5","2014/04/01 17:48",138628
"6","2014/04/01 17:53",21302
"7","2014/04/01 17:58",32253
"8","2014/04/01 18:03",106176
"9","2014/04/01 18:08",38633
"10","2014/04/01 18:13",28205
"11","2014/04/01 18:18",89373
"12","2014/04/01 18:23",25049
"13","2014/04/01 18:28",17788
"14","2014/04/01 18:33",166107
"15","2014/04/01 18:38",10586
"16","2014/04/01 18:43",30408
"17","2014/04/01 18:48",121481
"18","2014/04/01 18:53",12418
"19","2014/04/01 18:58",8197
"20","2014/04/01 19:03",73446
"21","2014/04/01 19:08",41481
"22","2014/04/01 19:13",23335
"23","2014/04/01 19:18",201174
"24","2014/04/01 19:23",20171
"25","2014/04/01 19:28",24400
"26","2014/04/01 19:33",24283
"27","2014/04/01 19:38",22263
"28","2014/04/01 19:43",18741
"29","2014/04/01 19:48",22254
"30","2014/04/01 19:53",17465
"31","2014/04/01 19:58",20928
"32","2014/04/01 20:03",91721
"33","2014/04/01 20:08",27737
"34","2014/04/01 20:13",38444
"35","2014/04/01 20:18",85395
"36","2014/04/01 20:23",12530
"37","2014/04/01 20:28",28881
"38","2014/04/01 20:33",100010
"39","2014/04/01 20:38",16646
"40","2014/04/01 20:43",25328
"41","2014/04/01 20:48",89349
"42","2014/04/01 20:53",22101
"43","2014/04/01 20:58",28060
"44","2014/04/01 21:03",122352
"45","2014/04/01 21:08",23564
"46","2014/04/01 21:13",57240
"47","2014/04/01 21:18",123108
"48","2014/04/01 21:23",27391
"49","2014/04/01 21:28",34892
"50","2014/04/01 21:33",149845
"51","2014/04/01 21:38",18780
"52","2014/04/01 21:43",28392
"53","2014/04/01 21:48",62565
"54","2014/04/01 21:53",20041
"55","2014/04/01 21:58",29269
"56","2014/04/01 22:03",85972
"57","2014/04/01 22:08",32771
"58","2014/04/01 22:13",30018
"59","2014/04/01 22:18",75154
"60","2014/04/01 22:23",23357
"61","2014/04/01 22:28",16765
"62","2014/04/01 22:33",128954
"63","2014/04/01 22:38",19046
"64","2014/04/01 22:43",30088
"65","2014/04/01 22:48",89894
"66","2014/04/01 22:53",24555
"67","2014/04/01 22:58",23945
"68","2014/04/01 23:03",10846
"69","2014/04/01 23:08",10027
"70","2014/04/01 23:13",19742
"71","2014/04/01 23:18",2415
"72","2014/04/01 23:23",2057
"73","2014/04/01 23:28",3348
"74","2014/04/01 23:33",5270
"75","2014/04/01 23:38",17004
"76","2014/04/01 23:43",8608
"77","2014/04/01 23:48",144884
"78","2014/04/01 23:53",14919
"79","2014/04/01 23:58",35051
"80","2014/04/02 00:03",36070
"81","2014/04/02 00:08",11726
"82","2014/04/02 00:13",29488
"83","2014/04/02 00:18",154514
"84","2014/04/02 00:23",14846
"85","2014/04/02 00:28",18881
"86","2014/04/02 00:33",168749
"87","2014/04/02 00:38",13192
"88","2014/04/02 00:43",19945
"89","2014/04/02 00:48",141242
"90","2014/04/02 00:53",5314
"91","2014/04/02 00:58",15131
"92","2014/04/02 01:03",149615
"93","2014/04/02 01:08",8207
"94","2014/04/02 01:13",18669
"95","2014/04/02 01:18",144292
"96","2014/04/02 01:23",10202
