LDEV_Response_X434-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:0F X"
"1","2014/04/01 17:28",778
"2","2014/04/01 17:33",662
"3","2014/04/01 17:38",635
"4","2014/04/01 17:43",625
"5","2014/04/01 17:48",591
"6","2014/04/01 17:53",914
"7","2014/04/01 17:58",776
"8","2014/04/01 18:03",974
"9","2014/04/01 18:08",907
"10","2014/04/01 18:13",700
"11","2014/04/01 18:18",754
"12","2014/04/01 18:23",793
"13","2014/04/01 18:28",660
"14","2014/04/01 18:33",701
"15","2014/04/01 18:38",843
"16","2014/04/01 18:43",693
"17","2014/04/01 18:48",694
"18","2014/04/01 18:53",661
"19","2014/04/01 18:58",823
"20","2014/04/01 19:03",1401
"21","2014/04/01 19:08",724
"22","2014/04/01 19:13",641
"23","2014/04/01 19:18",826
"24","2014/04/01 19:23",687
"25","2014/04/01 19:28",698
"26","2014/04/01 19:33",908
"27","2014/04/01 19:38",673
"28","2014/04/01 19:43",652
"29","2014/04/01 19:48",546
"30","2014/04/01 19:53",557
"31","2014/04/01 19:58",637
"32","2014/04/01 20:03",1492
"33","2014/04/01 20:08",684
"34","2014/04/01 20:13",602
"35","2014/04/01 20:18",770
"36","2014/04/01 20:23",683
"37","2014/04/01 20:28",671
"38","2014/04/01 20:33",696
"39","2014/04/01 20:38",613
"40","2014/04/01 20:43",663
"41","2014/04/01 20:48",607
"42","2014/04/01 20:53",608
"43","2014/04/01 20:58",705
"44","2014/04/01 21:03",861
"45","2014/04/01 21:08",624
"46","2014/04/01 21:13",859
"47","2014/04/01 21:18",710
"48","2014/04/01 21:23",849
"49","2014/04/01 21:28",687
"50","2014/04/01 21:33",858
"51","2014/04/01 21:38",701
"52","2014/04/01 21:43",634
"53","2014/04/01 21:48",644
"54","2014/04/01 21:53",644
"55","2014/04/01 21:58",723
"56","2014/04/01 22:03",1089
"57","2014/04/01 22:08",778
"58","2014/04/01 22:13",580
"59","2014/04/01 22:18",600
"60","2014/04/01 22:23",698
"61","2014/04/01 22:28",817
"62","2014/04/01 22:33",691
"63","2014/04/01 22:38",648
"64","2014/04/01 22:43",705
"65","2014/04/01 22:48",615
"66","2014/04/01 22:53",813
"67","2014/04/01 22:58",763
"68","2014/04/01 23:03",972
"69","2014/04/01 23:08",716
"70","2014/04/01 23:13",1023
"71","2014/04/01 23:18",1151
"72","2014/04/01 23:23",711
"73","2014/04/01 23:28",788
"74","2014/04/01 23:33",982
"75","2014/04/01 23:38",1067
"76","2014/04/01 23:43",834
"77","2014/04/01 23:48",709
"78","2014/04/01 23:53",696
"79","2014/04/01 23:58",904
"80","2014/04/02 00:03",1082
"81","2014/04/02 00:08",716
"82","2014/04/02 00:13",803
"83","2014/04/02 00:18",832
"84","2014/04/02 00:23",840
"85","2014/04/02 00:28",736
"86","2014/04/02 00:33",740
"87","2014/04/02 00:38",919
"88","2014/04/02 00:43",721
"89","2014/04/02 00:48",761
"90","2014/04/02 00:53",658
"91","2014/04/02 00:58",848
"92","2014/04/02 01:03",1000
"93","2014/04/02 01:08",859
"94","2014/04/02 01:13",850
"95","2014/04/02 01:18",967
"96","2014/04/02 01:23",1353
