LDEV_Response_X436-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:51 X"
"1","2014/04/01 17:28",2847
"2","2014/04/01 17:33",1528
"3","2014/04/01 17:38",1521
"4","2014/04/01 17:43",1366
"5","2014/04/01 17:48",3101
"6","2014/04/01 17:53",1416
"7","2014/04/01 17:58",1164
"8","2014/04/01 18:03",1153
"9","2014/04/01 18:08",1457
"10","2014/04/01 18:13",1543
"11","2014/04/01 18:18",2297
"12","2014/04/01 18:23",1748
"13","2014/04/01 18:28",5077
"14","2014/04/01 18:33",2659
"15","2014/04/01 18:38",2656
"16","2014/04/01 18:43",2087
"17","2014/04/01 18:48",2412
"18","2014/04/01 18:53",1772
"19","2014/04/01 18:58",2258
"20","2014/04/01 19:03",1968
"21","2014/04/01 19:08",2786
"22","2014/04/01 19:13",2086
"23","2014/04/01 19:18",1789
"24","2014/04/01 19:23",2000
"25","2014/04/01 19:28",2184
"26","2014/04/01 19:33",2448
"27","2014/04/01 19:38",2116
"28","2014/04/01 19:43",27614
"29","2014/04/01 19:48",10610
"30","2014/04/01 19:53",8525
"31","2014/04/01 19:58",4222
"32","2014/04/01 20:03",2497
"33","2014/04/01 20:08",2403
"34","2014/04/01 20:13",1752
"35","2014/04/01 20:18",1368
"36","2014/04/01 20:23",1270
"37","2014/04/01 20:28",2424
"38","2014/04/01 20:33",2407
"39","2014/04/01 20:38",1065
"40","2014/04/01 20:43",1140
"41","2014/04/01 20:48",1275
"42","2014/04/01 20:53",1131
"43","2014/04/01 20:58",3043
"44","2014/04/01 21:03",1665
"45","2014/04/01 21:08",3953
"46","2014/04/01 21:13",2493
"47","2014/04/01 21:18",6431
"48","2014/04/01 21:23",3571
"49","2014/04/01 21:28",4023
"50","2014/04/01 21:33",3324
"51","2014/04/01 21:38",3434
"52","2014/04/01 21:43",3353
"53","2014/04/01 21:48",5401
"54","2014/04/01 21:53",3118
"55","2014/04/01 21:58",6497
"56","2014/04/01 22:03",3903
"57","2014/04/01 22:08",6948
"58","2014/04/01 22:13",3360
"59","2014/04/01 22:18",2230
"60","2014/04/01 22:23",2376
"61","2014/04/01 22:28",17318
"62","2014/04/01 22:33",10976
"63","2014/04/01 22:38",3959
"64","2014/04/01 22:43",1935
"65","2014/04/01 22:48",3325
"66","2014/04/01 22:53",3517
"67","2014/04/01 22:58",3704
"68","2014/04/01 23:03",6835
"69","2014/04/01 23:08",6776
"70","2014/04/01 23:13",6048
"71","2014/04/01 23:18",12754
"72","2014/04/01 23:23",7746
"73","2014/04/01 23:28",5016
"74","2014/04/01 23:33",5064
"75","2014/04/01 23:38",7055
"76","2014/04/01 23:43",18863
"77","2014/04/01 23:48",4822
"78","2014/04/01 23:53",5304
"79","2014/04/01 23:58",6470
"80","2014/04/02 00:03",5329
"81","2014/04/02 00:08",12249
"82","2014/04/02 00:13",17592
"83","2014/04/02 00:18",8618
"84","2014/04/02 00:23",4763
"85","2014/04/02 00:28",4632
"86","2014/04/02 00:33",7147
"87","2014/04/02 00:38",5775
"88","2014/04/02 00:43",4498
"89","2014/04/02 00:48",3271
"90","2014/04/02 00:53",29268
"91","2014/04/02 00:58",1374
"92","2014/04/02 01:03",2019
"93","2014/04/02 01:08",4240
"94","2014/04/02 01:13",2711
"95","2014/04/02 01:18",2669
"96","2014/04/02 01:23",1933
