LDEV_Response_X488-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:D3 X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",-3
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",-3
"5","2014/04/01 17:48",-3
"6","2014/04/01 17:53",-3
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",-3
"9","2014/04/01 18:08",-3
"10","2014/04/01 18:13",-3
"11","2014/04/01 18:18",-3
"12","2014/04/01 18:23",-3
"13","2014/04/01 18:28",-3
"14","2014/04/01 18:33",-3
"15","2014/04/01 18:38",-3
"16","2014/04/01 18:43",-3
"17","2014/04/01 18:48",-3
"18","2014/04/01 18:53",-3
"19","2014/04/01 18:58",-3
"20","2014/04/01 19:03",-3
"21","2014/04/01 19:08",-3
"22","2014/04/01 19:13",-3
"23","2014/04/01 19:18",-3
"24","2014/04/01 19:23",-3
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",-3
"27","2014/04/01 19:38",-3
"28","2014/04/01 19:43",-3
"29","2014/04/01 19:48",-3
"30","2014/04/01 19:53",-3
"31","2014/04/01 19:58",-3
"32","2014/04/01 20:03",-3
"33","2014/04/01 20:08",-3
"34","2014/04/01 20:13",-3
"35","2014/04/01 20:18",-3
"36","2014/04/01 20:23",-3
"37","2014/04/01 20:28",-3
"38","2014/04/01 20:33",-3
"39","2014/04/01 20:38",-3
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",-3
"42","2014/04/01 20:53",-3
"43","2014/04/01 20:58",-3
"44","2014/04/01 21:03",-3
"45","2014/04/01 21:08",-3
"46","2014/04/01 21:13",-3
"47","2014/04/01 21:18",-3
"48","2014/04/01 21:23",-3
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",7559
"51","2014/04/01 21:38",6783
"52","2014/04/01 21:43",6612
"53","2014/04/01 21:48",7188
"54","2014/04/01 21:53",6384
"55","2014/04/01 21:58",5638
"56","2014/04/01 22:03",6321
"57","2014/04/01 22:08",4680
"58","2014/04/01 22:13",8544
"59","2014/04/01 22:18",7503
"60","2014/04/01 22:23",8364
"61","2014/04/01 22:28",8490
"62","2014/04/01 22:33",8897
"63","2014/04/01 22:38",9288
"64","2014/04/01 22:43",8222
"65","2014/04/01 22:48",9173
"66","2014/04/01 22:53",9297
"67","2014/04/01 22:58",9547
"68","2014/04/01 23:03",12222
"69","2014/04/01 23:08",12909
"70","2014/04/01 23:13",11982
"71","2014/04/01 23:18",10780
"72","2014/04/01 23:23",9303
"73","2014/04/01 23:28",10793
"74","2014/04/01 23:33",10169
"75","2014/04/01 23:38",11013
"76","2014/04/01 23:43",10672
"77","2014/04/01 23:48",11038
"78","2014/04/01 23:53",9151
"79","2014/04/01 23:58",10445
"80","2014/04/02 00:03",9504
"81","2014/04/02 00:08",10608
"82","2014/04/02 00:13",8375
"83","2014/04/02 00:18",8789
"84","2014/04/02 00:23",8685
"85","2014/04/02 00:28",8117
"86","2014/04/02 00:33",8608
"87","2014/04/02 00:38",7392
"88","2014/04/02 00:43",7026
"89","2014/04/02 00:48",7664
"90","2014/04/02 00:53",8569
"91","2014/04/02 00:58",7686
"92","2014/04/02 01:03",8033
"93","2014/04/02 01:08",11796
"94","2014/04/02 01:13",7869
"95","2014/04/02 01:18",8894
"96","2014/04/02 01:23",9198
