LDEV_Response_X498-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:E9 X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",-3
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",2451
"5","2014/04/01 17:48",6869
"6","2014/04/01 17:53",8555
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",-3
"9","2014/04/01 18:08",3115
"10","2014/04/01 18:13",2185
"11","2014/04/01 18:18",3911
"12","2014/04/01 18:23",7853
"13","2014/04/01 18:28",-3
"14","2014/04/01 18:33",-3
"15","2014/04/01 18:38",-3
"16","2014/04/01 18:43",-3
"17","2014/04/01 18:48",6483
"18","2014/04/01 18:53",5550
"19","2014/04/01 18:58",-3
"20","2014/04/01 19:03",1929
"21","2014/04/01 19:08",2829
"22","2014/04/01 19:13",-3
"23","2014/04/01 19:18",8496
"24","2014/04/01 19:23",9409
"25","2014/04/01 19:28",1479
"26","2014/04/01 19:33",2489
"27","2014/04/01 19:38",-3
"28","2014/04/01 19:43",-3
"29","2014/04/01 19:48",9184
"30","2014/04/01 19:53",9221
"31","2014/04/01 19:58",9905
"32","2014/04/01 20:03",-3
"33","2014/04/01 20:08",2908
"34","2014/04/01 20:13",-3
"35","2014/04/01 20:18",10273
"36","2014/04/01 20:23",8664
"37","2014/04/01 20:28",9256
"38","2014/04/01 20:33",6977
"39","2014/04/01 20:38",-3
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",6013
"42","2014/04/01 20:53",8527
"43","2014/04/01 20:58",9541
"44","2014/04/01 21:03",1626
"45","2014/04/01 21:08",5291
"46","2014/04/01 21:13",8470
"47","2014/04/01 21:18",4232
"48","2014/04/01 21:23",9404
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",5717
"51","2014/04/01 21:38",-3
"52","2014/04/01 21:43",1713
"53","2014/04/01 21:48",-3
"54","2014/04/01 21:53",7433
"55","2014/04/01 21:58",8699
"56","2014/04/01 22:03",3648
"57","2014/04/01 22:08",5825
"58","2014/04/01 22:13",28448
"59","2014/04/01 22:18",2723
"60","2014/04/01 22:23",2660
"61","2014/04/01 22:28",3560
"62","2014/04/01 22:33",2880
"63","2014/04/01 22:38",3298
"64","2014/04/01 22:43",1488
"65","2014/04/01 22:48",4238
"66","2014/04/01 22:53",5462
"67","2014/04/01 22:58",8190
"68","2014/04/01 23:03",9183
"69","2014/04/01 23:08",8291
"70","2014/04/01 23:13",6253
"71","2014/04/01 23:18",9702
"72","2014/04/01 23:23",7510
"73","2014/04/01 23:28",29319
"74","2014/04/01 23:33",4868
"75","2014/04/01 23:38",12463
"76","2014/04/01 23:43",6688
"77","2014/04/01 23:48",9111
"78","2014/04/01 23:53",6200
"79","2014/04/01 23:58",21625
"80","2014/04/02 00:03",1819
"81","2014/04/02 00:08",12358
"82","2014/04/02 00:13",2154
"83","2014/04/02 00:18",2016
"84","2014/04/02 00:23",3307
"85","2014/04/02 00:28",2662
"86","2014/04/02 00:33",1394
"87","2014/04/02 00:38",2535
"88","2014/04/02 00:43",3940
"89","2014/04/02 00:48",955
"90","2014/04/02 00:53",6824
"91","2014/04/02 00:58",7494
"92","2014/04/02 01:03",2139
"93","2014/04/02 01:08",1935
"94","2014/04/02 01:13",6111
"95","2014/04/02 01:18",28920
"96","2014/04/02 01:23",12634
