LDEV_Response_X503-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EE X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",-3
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",2528
"5","2014/04/01 17:48",6492
"6","2014/04/01 17:53",7124
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",3697
"9","2014/04/01 18:08",2400
"10","2014/04/01 18:13",-3
"11","2014/04/01 18:18",7419
"12","2014/04/01 18:23",5488
"13","2014/04/01 18:28",-3
"14","2014/04/01 18:33",1207
"15","2014/04/01 18:38",-3
"16","2014/04/01 18:43",1774
"17","2014/04/01 18:48",6456
"18","2014/04/01 18:53",8025
"19","2014/04/01 18:58",3794
"20","2014/04/01 19:03",3354
"21","2014/04/01 19:08",1798
"22","2014/04/01 19:13",-3
"23","2014/04/01 19:18",4160
"24","2014/04/01 19:23",8984
"25","2014/04/01 19:28",1709
"26","2014/04/01 19:33",2948
"27","2014/04/01 19:38",6061
"28","2014/04/01 19:43",3275
"29","2014/04/01 19:48",6157
"30","2014/04/01 19:53",7789
"31","2014/04/01 19:58",10176
"32","2014/04/01 20:03",-3
"33","2014/04/01 20:08",2510
"34","2014/04/01 20:13",-3
"35","2014/04/01 20:18",7528
"36","2014/04/01 20:23",6462
"37","2014/04/01 20:28",6841
"38","2014/04/01 20:33",6410
"39","2014/04/01 20:38",-3
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",4771
"42","2014/04/01 20:53",7174
"43","2014/04/01 20:58",10336
"44","2014/04/01 21:03",1975
"45","2014/04/01 21:08",5692
"46","2014/04/01 21:13",9353
"47","2014/04/01 21:18",7759
"48","2014/04/01 21:23",9772
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",8640
"51","2014/04/01 21:38",-3
"52","2014/04/01 21:43",1928
"53","2014/04/01 21:48",-3
"54","2014/04/01 21:53",3903
"55","2014/04/01 21:58",7387
"56","2014/04/01 22:03",3647
"57","2014/04/01 22:08",5358
"58","2014/04/01 22:13",31151
"59","2014/04/01 22:18",2530
"60","2014/04/01 22:23",2717
"61","2014/04/01 22:28",3912
"62","2014/04/01 22:33",2857
"63","2014/04/01 22:38",3629
"64","2014/04/01 22:43",1376
"65","2014/04/01 22:48",3794
"66","2014/04/01 22:53",5330
"67","2014/04/01 22:58",7529
"68","2014/04/01 23:03",8966
"69","2014/04/01 23:08",7822
"70","2014/04/01 23:13",6878
"71","2014/04/01 23:18",12470
"72","2014/04/01 23:23",7218
"73","2014/04/01 23:28",24899
"74","2014/04/01 23:33",5288
"75","2014/04/01 23:38",13566
"76","2014/04/01 23:43",7080
"77","2014/04/01 23:48",9431
"78","2014/04/01 23:53",7570
"79","2014/04/01 23:58",18016
"80","2014/04/02 00:03",1851
"81","2014/04/02 00:08",10968
"82","2014/04/02 00:13",2314
"83","2014/04/02 00:18",2160
"84","2014/04/02 00:23",2949
"85","2014/04/02 00:28",2777
"86","2014/04/02 00:33",1076
"87","2014/04/02 00:38",1869
"88","2014/04/02 00:43",4855
"89","2014/04/02 00:48",940
"90","2014/04/02 00:53",7202
"91","2014/04/02 00:58",9610
"92","2014/04/02 01:03",2006
"93","2014/04/02 01:08",2328
"94","2014/04/02 01:13",7367
"95","2014/04/02 01:18",28850
"96","2014/04/02 01:23",10186
