LDEV_Response_X523-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:1D X"
"1","2014/04/01 17:28",971
"2","2014/04/01 17:33",730
"3","2014/04/01 17:38",984
"4","2014/04/01 17:43",1547
"5","2014/04/01 17:48",3210
"6","2014/04/01 17:53",2373
"7","2014/04/01 17:58",1116
"8","2014/04/01 18:03",1058
"9","2014/04/01 18:08",890
"10","2014/04/01 18:13",1105
"11","2014/04/01 18:18",3078
"12","2014/04/01 18:23",3206
"13","2014/04/01 18:28",774
"14","2014/04/01 18:33",722
"15","2014/04/01 18:38",782
"16","2014/04/01 18:43",1015
"17","2014/04/01 18:48",2504
"18","2014/04/01 18:53",3757
"19","2014/04/01 18:58",1802
"20","2014/04/01 19:03",1245
"21","2014/04/01 19:08",917
"22","2014/04/01 19:13",1317
"23","2014/04/01 19:18",3251
"24","2014/04/01 19:23",3457
"25","2014/04/01 19:28",855
"26","2014/04/01 19:33",1697
"27","2014/04/01 19:38",2399
"28","2014/04/01 19:43",3246
"29","2014/04/01 19:48",6328
"30","2014/04/01 19:53",4690
"31","2014/04/01 19:58",3508
"32","2014/04/01 20:03",1511
"33","2014/04/01 20:08",1245
"34","2014/04/01 20:13",1108
"35","2014/04/01 20:18",3392
"36","2014/04/01 20:23",2872
"37","2014/04/01 20:28",3016
"38","2014/04/01 20:33",3778
"39","2014/04/01 20:38",2453
"40","2014/04/01 20:43",627
"41","2014/04/01 20:48",1446
"42","2014/04/01 20:53",3916
"43","2014/04/01 20:58",2701
"44","2014/04/01 21:03",1134
"45","2014/04/01 21:08",2560
"46","2014/04/01 21:13",2677
"47","2014/04/01 21:18",3548
"48","2014/04/01 21:23",4680
"49","2014/04/01 21:28",1416
"50","2014/04/01 21:33",2704
"51","2014/04/01 21:38",1803
"52","2014/04/01 21:43",1021
"53","2014/04/01 21:48",1565
"54","2014/04/01 21:53",2215
"55","2014/04/01 21:58",3236
"56","2014/04/01 22:03",3140
"57","2014/04/01 22:08",5497
"58","2014/04/01 22:13",21707
"59","2014/04/01 22:18",2435
"60","2014/04/01 22:23",2711
"61","2014/04/01 22:28",4024
"62","2014/04/01 22:33",3024
"63","2014/04/01 22:38",2886
"64","2014/04/01 22:43",1171
"65","2014/04/01 22:48",5130
"66","2014/04/01 22:53",5198
"67","2014/04/01 22:58",7331
"68","2014/04/01 23:03",8347
"69","2014/04/01 23:08",7220
"70","2014/04/01 23:13",6987
"71","2014/04/01 23:18",9556
"72","2014/04/01 23:23",6470
"73","2014/04/01 23:28",29224
"74","2014/04/01 23:33",4551
"75","2014/04/01 23:38",10486
"76","2014/04/01 23:43",6366
"77","2014/04/01 23:48",10760
"78","2014/04/01 23:53",6469
"79","2014/04/01 23:58",20933
"80","2014/04/02 00:03",1719
"81","2014/04/02 00:08",10780
"82","2014/04/02 00:13",1971
"83","2014/04/02 00:18",1699
"84","2014/04/02 00:23",3007
"85","2014/04/02 00:28",2017
"86","2014/04/02 00:33",1142
"87","2014/04/02 00:38",1541
"88","2014/04/02 00:43",3107
"89","2014/04/02 00:48",838
"90","2014/04/02 00:53",2444
"91","2014/04/02 00:58",4779
"92","2014/04/02 01:03",1793
"93","2014/04/02 01:08",991
"94","2014/04/02 01:13",6000
"95","2014/04/02 01:18",28203
"96","2014/04/02 01:23",7429
