LDEV_Response_X527-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:21 X"
"1","2014/04/01 17:28",1608
"2","2014/04/01 17:33",643
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",2940
"5","2014/04/01 17:48",6549
"6","2014/04/01 17:53",7407
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",883
"9","2014/04/01 18:08",2688
"10","2014/04/01 18:13",3683
"11","2014/04/01 18:18",7327
"12","2014/04/01 18:23",10485
"13","2014/04/01 18:28",-3
"14","2014/04/01 18:33",784
"15","2014/04/01 18:38",-3
"16","2014/04/01 18:43",2968
"17","2014/04/01 18:48",6271
"18","2014/04/01 18:53",10537
"19","2014/04/01 18:58",4162
"20","2014/04/01 19:03",792
"21","2014/04/01 19:08",2358
"22","2014/04/01 19:13",1004
"23","2014/04/01 19:18",4506
"24","2014/04/01 19:23",11695
"25","2014/04/01 19:28",946
"26","2014/04/01 19:33",1128
"27","2014/04/01 19:38",-3
"28","2014/04/01 19:43",6062
"29","2014/04/01 19:48",10661
"30","2014/04/01 19:53",11393
"31","2014/04/01 19:58",7665
"32","2014/04/01 20:03",1150
"33","2014/04/01 20:08",2704
"34","2014/04/01 20:13",1750
"35","2014/04/01 20:18",7296
"36","2014/04/01 20:23",5694
"37","2014/04/01 20:28",3725
"38","2014/04/01 20:33",2201
"39","2014/04/01 20:38",-3
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",5341
"42","2014/04/01 20:53",8170
"43","2014/04/01 20:58",6372
"44","2014/04/01 21:03",1150
"45","2014/04/01 21:08",5604
"46","2014/04/01 21:13",5933
"47","2014/04/01 21:18",7336
"48","2014/04/01 21:23",9688
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",2133
"51","2014/04/01 21:38",-3
"52","2014/04/01 21:43",2104
"53","2014/04/01 21:48",5404
"54","2014/04/01 21:53",6843
"55","2014/04/01 21:58",5974
"56","2014/04/01 22:03",3136
"57","2014/04/01 22:08",6295
"58","2014/04/01 22:13",32945
"59","2014/04/01 22:18",2866
"60","2014/04/01 22:23",2567
"61","2014/04/01 22:28",3285
"62","2014/04/01 22:33",2788
"63","2014/04/01 22:38",3222
"64","2014/04/01 22:43",1430
"65","2014/04/01 22:48",3848
"66","2014/04/01 22:53",4777
"67","2014/04/01 22:58",7086
"68","2014/04/01 23:03",7174
"69","2014/04/01 23:08",8132
"70","2014/04/01 23:13",6058
"71","2014/04/01 23:18",13120
"72","2014/04/01 23:23",6925
"73","2014/04/01 23:28",26385
"74","2014/04/01 23:33",5579
"75","2014/04/01 23:38",15653
"76","2014/04/01 23:43",7417
"77","2014/04/01 23:48",8362
"78","2014/04/01 23:53",8179
"79","2014/04/01 23:58",21357
"80","2014/04/02 00:03",1900
"81","2014/04/02 00:08",13370
"82","2014/04/02 00:13",2320
"83","2014/04/02 00:18",2954
"84","2014/04/02 00:23",3209
"85","2014/04/02 00:28",2350
"86","2014/04/02 00:33",1172
"87","2014/04/02 00:38",3202
"88","2014/04/02 00:43",2693
"89","2014/04/02 00:48",1012
"90","2014/04/02 00:53",11486
"91","2014/04/02 00:58",8165
"92","2014/04/02 01:03",1878
"93","2014/04/02 01:08",2002
"94","2014/04/02 01:13",6076
"95","2014/04/02 01:18",24971
"96","2014/04/02 01:23",13296
