LDEV_Response_X67-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:FF X"
"1","2014/04/01 17:28",296
"2","2014/04/01 17:33",2118
"3","2014/04/01 17:38",2590
"4","2014/04/01 17:43",405
"5","2014/04/01 17:48",2595
"6","2014/04/01 17:53",4512
"7","2014/04/01 17:58",548
"8","2014/04/01 18:03",1304
"9","2014/04/01 18:08",1321
"10","2014/04/01 18:13",320
"11","2014/04/01 18:18",1381
"12","2014/04/01 18:23",1244
"13","2014/04/01 18:28",420
"14","2014/04/01 18:33",1427
"15","2014/04/01 18:38",1162
"16","2014/04/01 18:43",323
"17","2014/04/01 18:48",757
"18","2014/04/01 18:53",424
"19","2014/04/01 18:58",2170
"20","2014/04/01 19:03",1510
"21","2014/04/01 19:08",2868
"22","2014/04/01 19:13",382
"23","2014/04/01 19:18",1936
"24","2014/04/01 19:23",1030
"25","2014/04/01 19:28",1565
"26","2014/04/01 19:33",1086
"27","2014/04/01 19:38",321
"28","2014/04/01 19:43",1502
"29","2014/04/01 19:48",1383
"30","2014/04/01 19:53",514
"31","2014/04/01 19:58",773
"32","2014/04/01 20:03",720
"33","2014/04/01 20:08",375
"34","2014/04/01 20:13",1190
"35","2014/04/01 20:18",1494
"36","2014/04/01 20:23",336
"37","2014/04/01 20:28",1730
"38","2014/04/01 20:33",433
"39","2014/04/01 20:38",1843
"40","2014/04/01 20:43",2232
"41","2014/04/01 20:48",462
"42","2014/04/01 20:53",1975
"43","2014/04/01 20:58",1602
"44","2014/04/01 21:03",375
"45","2014/04/01 21:08",2409
"46","2014/04/01 21:13",2578
"47","2014/04/01 21:18",409
"48","2014/04/01 21:23",2782
"49","2014/04/01 21:28",373
"50","2014/04/01 21:33",1575
"51","2014/04/01 21:38",1658
"52","2014/04/01 21:43",395
"53","2014/04/01 21:48",1439
"54","2014/04/01 21:53",1465
"55","2014/04/01 21:58",427
"56","2014/04/01 22:03",1583
"57","2014/04/01 22:08",1563
"58","2014/04/01 22:13",710
"59","2014/04/01 22:18",1992
"60","2014/04/01 22:23",1144
"61","2014/04/01 22:28",607
"62","2014/04/01 22:33",838
"63","2014/04/01 22:38",792
"64","2014/04/01 22:43",1609
"65","2014/04/01 22:48",1532
"66","2014/04/01 22:53",606
"67","2014/04/01 22:58",1569
"68","2014/04/01 23:03",768
"69","2014/04/01 23:08",1536
"70","2014/04/01 23:13",12091
"71","2014/04/01 23:18",2714
"72","2014/04/01 23:23",1644
"73","2014/04/01 23:28",336
"74","2014/04/01 23:33",2359
"75","2014/04/01 23:38",1918
"76","2014/04/01 23:43",742
"77","2014/04/01 23:48",1464
"78","2014/04/01 23:53",2463
"79","2014/04/01 23:58",744
"80","2014/04/02 00:03",1318
"81","2014/04/02 00:08",1857
"82","2014/04/02 00:13",616
"83","2014/04/02 00:18",1927
"84","2014/04/02 00:23",815
"85","2014/04/02 00:28",2955
"86","2014/04/02 00:33",1945
"87","2014/04/02 00:38",923
"88","2014/04/02 00:43",1928
"89","2014/04/02 00:48",803
"90","2014/04/02 00:53",3002
"91","2014/04/02 00:58",760
"92","2014/04/02 01:03",2036
"93","2014/04/02 01:08",2801
"94","2014/04/02 01:13",652
"95","2014/04/02 01:18",2640
"96","2014/04/02 01:23",1832
