LDEV_Response_X671-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:6B X"
"1","2014/04/01 17:28",2444
"2","2014/04/01 17:33",1466
"3","2014/04/01 17:38",1438
"4","2014/04/01 17:43",1320
"5","2014/04/01 17:48",3270
"6","2014/04/01 17:53",1698
"7","2014/04/01 17:58",1411
"8","2014/04/01 18:03",1324
"9","2014/04/01 18:08",1072
"10","2014/04/01 18:13",1238
"11","2014/04/01 18:18",1882
"12","2014/04/01 18:23",1513
"13","2014/04/01 18:28",3076
"14","2014/04/01 18:33",1933
"15","2014/04/01 18:38",2305
"16","2014/04/01 18:43",1865
"17","2014/04/01 18:48",2049
"18","2014/04/01 18:53",1784
"19","2014/04/01 18:58",2045
"20","2014/04/01 19:03",1871
"21","2014/04/01 19:08",2288
"22","2014/04/01 19:13",1901
"23","2014/04/01 19:18",1941
"24","2014/04/01 19:23",1822
"25","2014/04/01 19:28",2260
"26","2014/04/01 19:33",2384
"27","2014/04/01 19:38",2479
"28","2014/04/01 19:43",27207
"29","2014/04/01 19:48",8300
"30","2014/04/01 19:53",7973
"31","2014/04/01 19:58",3787
"32","2014/04/01 20:03",2952
"33","2014/04/01 20:08",1886
"34","2014/04/01 20:13",1567
"35","2014/04/01 20:18",1488
"36","2014/04/01 20:23",1210
"37","2014/04/01 20:28",2197
"38","2014/04/01 20:33",2135
"39","2014/04/01 20:38",1046
"40","2014/04/01 20:43",1209
"41","2014/04/01 20:48",1195
"42","2014/04/01 20:53",1332
"43","2014/04/01 20:58",2540
"44","2014/04/01 21:03",2032
"45","2014/04/01 21:08",3832
"46","2014/04/01 21:13",2970
"47","2014/04/01 21:18",5429
"48","2014/04/01 21:23",4213
"49","2014/04/01 21:28",3648
"50","2014/04/01 21:33",3208
"51","2014/04/01 21:38",3455
"52","2014/04/01 21:43",3202
"53","2014/04/01 21:48",4816
"54","2014/04/01 21:53",2815
"55","2014/04/01 21:58",4544
"56","2014/04/01 22:03",3744
"57","2014/04/01 22:08",5122
"58","2014/04/01 22:13",3328
"59","2014/04/01 22:18",1994
"60","2014/04/01 22:23",2211
"61","2014/04/01 22:28",9652
"62","2014/04/01 22:33",6411
"63","2014/04/01 22:38",4041
"64","2014/04/01 22:43",1901
"65","2014/04/01 22:48",2855
"66","2014/04/01 22:53",3175
"67","2014/04/01 22:58",3754
"68","2014/04/01 23:03",5868
"69","2014/04/01 23:08",7243
"70","2014/04/01 23:13",6266
"71","2014/04/01 23:18",8699
"72","2014/04/01 23:23",9458
"73","2014/04/01 23:28",6135
"74","2014/04/01 23:33",5829
"75","2014/04/01 23:38",6582
"76","2014/04/01 23:43",21561
"77","2014/04/01 23:48",5833
"78","2014/04/01 23:53",6127
"79","2014/04/01 23:58",10301
"80","2014/04/02 00:03",6341
"81","2014/04/02 00:08",13286
"82","2014/04/02 00:13",16455
"83","2014/04/02 00:18",12160
"84","2014/04/02 00:23",5928
"85","2014/04/02 00:28",4950
"86","2014/04/02 00:33",5398
"87","2014/04/02 00:38",8081
"88","2014/04/02 00:43",6548
"89","2014/04/02 00:48",5098
"90","2014/04/02 00:53",21893
"91","2014/04/02 00:58",1592
"92","2014/04/02 01:03",1739
"93","2014/04/02 01:08",5362
"94","2014/04/02 01:13",3006
"95","2014/04/02 01:18",2858
"96","2014/04/02 01:23",1788
