LDEV_Response_X718-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:1A X"
"1","2014/04/01 17:28",2445
"2","2014/04/01 17:33",1551
"3","2014/04/01 17:38",1395
"4","2014/04/01 17:43",1372
"5","2014/04/01 17:48",2363
"6","2014/04/01 17:53",1563
"7","2014/04/01 17:58",1392
"8","2014/04/01 18:03",1160
"9","2014/04/01 18:08",1098
"10","2014/04/01 18:13",1469
"11","2014/04/01 18:18",2021
"12","2014/04/01 18:23",1760
"13","2014/04/01 18:28",3207
"14","2014/04/01 18:33",2025
"15","2014/04/01 18:38",2138
"16","2014/04/01 18:43",1717
"17","2014/04/01 18:48",1638
"18","2014/04/01 18:53",1604
"19","2014/04/01 18:58",2062
"20","2014/04/01 19:03",1623
"21","2014/04/01 19:08",2142
"22","2014/04/01 19:13",1632
"23","2014/04/01 19:18",1683
"24","2014/04/01 19:23",1840
"25","2014/04/01 19:28",1999
"26","2014/04/01 19:33",2293
"27","2014/04/01 19:38",2224
"28","2014/04/01 19:43",29459
"29","2014/04/01 19:48",10804
"30","2014/04/01 19:53",7633
"31","2014/04/01 19:58",3231
"32","2014/04/01 20:03",2720
"33","2014/04/01 20:08",1929
"34","2014/04/01 20:13",1694
"35","2014/04/01 20:18",1464
"36","2014/04/01 20:23",1215
"37","2014/04/01 20:28",1901
"38","2014/04/01 20:33",1671
"39","2014/04/01 20:38",1307
"40","2014/04/01 20:43",1110
"41","2014/04/01 20:48",1307
"42","2014/04/01 20:53",1013
"43","2014/04/01 20:58",2539
"44","2014/04/01 21:03",1760
"45","2014/04/01 21:08",3976
"46","2014/04/01 21:13",2460
"47","2014/04/01 21:18",5759
"48","2014/04/01 21:23",4506
"49","2014/04/01 21:28",3517
"50","2014/04/01 21:33",4353
"51","2014/04/01 21:38",3634
"52","2014/04/01 21:43",3160
"53","2014/04/01 21:48",5004
"54","2014/04/01 21:53",3064
"55","2014/04/01 21:58",5781
"56","2014/04/01 22:03",3881
"57","2014/04/01 22:08",5804
"58","2014/04/01 22:13",3037
"59","2014/04/01 22:18",2216
"60","2014/04/01 22:23",2227
"61","2014/04/01 22:28",13581
"62","2014/04/01 22:33",5443
"63","2014/04/01 22:38",3708
"64","2014/04/01 22:43",2030
"65","2014/04/01 22:48",3790
"66","2014/04/01 22:53",2841
"67","2014/04/01 22:58",3733
"68","2014/04/01 23:03",6932
"69","2014/04/01 23:08",6498
"70","2014/04/01 23:13",5466
"71","2014/04/01 23:18",7941
"72","2014/04/01 23:23",8343
"73","2014/04/01 23:28",6068
"74","2014/04/01 23:33",5203
"75","2014/04/01 23:38",9565
"76","2014/04/01 23:43",18438
"77","2014/04/01 23:48",5189
"78","2014/04/01 23:53",4719
"79","2014/04/01 23:58",8997
"80","2014/04/02 00:03",5745
"81","2014/04/02 00:08",8966
"82","2014/04/02 00:13",16589
"83","2014/04/02 00:18",8270
"84","2014/04/02 00:23",5023
"85","2014/04/02 00:28",4725
"86","2014/04/02 00:33",5239
"87","2014/04/02 00:38",5668
"88","2014/04/02 00:43",7406
"89","2014/04/02 00:48",5154
"90","2014/04/02 00:53",19074
"91","2014/04/02 00:58",1221
"92","2014/04/02 01:03",2160
"93","2014/04/02 01:08",5088
"94","2014/04/02 01:13",2874
"95","2014/04/02 01:18",2943
"96","2014/04/02 01:23",1704
