LDEV_Response_X729-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:0F X"
"1","2014/04/01 17:28",3340
"2","2014/04/01 17:33",2050
"3","2014/04/01 17:38",1704
"4","2014/04/01 17:43",1143
"5","2014/04/01 17:48",2836
"6","2014/04/01 17:53",1710
"7","2014/04/01 17:58",1320
"8","2014/04/01 18:03",1331
"9","2014/04/01 18:08",1493
"10","2014/04/01 18:13",1561
"11","2014/04/01 18:18",2334
"12","2014/04/01 18:23",1998
"13","2014/04/01 18:28",3468
"14","2014/04/01 18:33",2248
"15","2014/04/01 18:38",2436
"16","2014/04/01 18:43",1656
"17","2014/04/01 18:48",2012
"18","2014/04/01 18:53",1700
"19","2014/04/01 18:58",2573
"20","2014/04/01 19:03",1795
"21","2014/04/01 19:08",2120
"22","2014/04/01 19:13",2328
"23","2014/04/01 19:18",2171
"24","2014/04/01 19:23",2567
"25","2014/04/01 19:28",2591
"26","2014/04/01 19:33",3109
"27","2014/04/01 19:38",2758
"28","2014/04/01 19:43",30461
"29","2014/04/01 19:48",9693
"30","2014/04/01 19:53",9914
"31","2014/04/01 19:58",4212
"32","2014/04/01 20:03",2783
"33","2014/04/01 20:08",2354
"34","2014/04/01 20:13",2034
"35","2014/04/01 20:18",1522
"36","2014/04/01 20:23",1571
"37","2014/04/01 20:28",1968
"38","2014/04/01 20:33",2356
"39","2014/04/01 20:38",1130
"40","2014/04/01 20:43",1081
"41","2014/04/01 20:48",1415
"42","2014/04/01 20:53",1473
"43","2014/04/01 20:58",3221
"44","2014/04/01 21:03",2226
"45","2014/04/01 21:08",4303
"46","2014/04/01 21:13",3151
"47","2014/04/01 21:18",5748
"48","2014/04/01 21:23",4238
"49","2014/04/01 21:28",3859
"50","2014/04/01 21:33",4253
"51","2014/04/01 21:38",3582
"52","2014/04/01 21:43",3504
"53","2014/04/01 21:48",5694
"54","2014/04/01 21:53",3737
"55","2014/04/01 21:58",6574
"56","2014/04/01 22:03",3456
"57","2014/04/01 22:08",5546
"58","2014/04/01 22:13",4752
"59","2014/04/01 22:18",2418
"60","2014/04/01 22:23",2560
"61","2014/04/01 22:28",9185
"62","2014/04/01 22:33",7011
"63","2014/04/01 22:38",4096
"64","2014/04/01 22:43",1980
"65","2014/04/01 22:48",3525
"66","2014/04/01 22:53",3794
"67","2014/04/01 22:58",3700
"68","2014/04/01 23:03",6698
"69","2014/04/01 23:08",7115
"70","2014/04/01 23:13",6252
"71","2014/04/01 23:18",8007
"72","2014/04/01 23:23",7552
"73","2014/04/01 23:28",5505
"74","2014/04/01 23:33",4866
"75","2014/04/01 23:38",6265
"76","2014/04/01 23:43",15675
"77","2014/04/01 23:48",5292
"78","2014/04/01 23:53",8194
"79","2014/04/01 23:58",9720
"80","2014/04/02 00:03",8462
"81","2014/04/02 00:08",12257
"82","2014/04/02 00:13",15229
"83","2014/04/02 00:18",12336
"84","2014/04/02 00:23",5533
"85","2014/04/02 00:28",4502
"86","2014/04/02 00:33",5096
"87","2014/04/02 00:38",4259
"88","2014/04/02 00:43",5639
"89","2014/04/02 00:48",4972
"90","2014/04/02 00:53",39159
"91","2014/04/02 00:58",1469
"92","2014/04/02 01:03",1768
"93","2014/04/02 01:08",4364
"94","2014/04/02 01:13",3018
"95","2014/04/02 01:18",2801
"96","2014/04/02 01:23",2016
