LDEV_Response_X739-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:5C X"
"1","2014/04/01 17:28",4384
"2","2014/04/01 17:33",1872
"3","2014/04/01 17:38",1704
"4","2014/04/01 17:43",1598
"5","2014/04/01 17:48",3022
"6","2014/04/01 17:53",2211
"7","2014/04/01 17:58",1363
"8","2014/04/01 18:03",1534
"9","2014/04/01 18:08",1799
"10","2014/04/01 18:13",1704
"11","2014/04/01 18:18",2314
"12","2014/04/01 18:23",2345
"13","2014/04/01 18:28",2397
"14","2014/04/01 18:33",2550
"15","2014/04/01 18:38",3168
"16","2014/04/01 18:43",2264
"17","2014/04/01 18:48",1354
"18","2014/04/01 18:53",1882
"19","2014/04/01 18:58",2691
"20","2014/04/01 19:03",2050
"21","2014/04/01 19:08",3035
"22","2014/04/01 19:13",2465
"23","2014/04/01 19:18",2074
"24","2014/04/01 19:23",2844
"25","2014/04/01 19:28",2496
"26","2014/04/01 19:33",2393
"27","2014/04/01 19:38",2472
"28","2014/04/01 19:43",31048
"29","2014/04/01 19:48",10724
"30","2014/04/01 19:53",7943
"31","2014/04/01 19:58",4503
"32","2014/04/01 20:03",2750
"33","2014/04/01 20:08",2954
"34","2014/04/01 20:13",2378
"35","2014/04/01 20:18",1709
"36","2014/04/01 20:23",1545
"37","2014/04/01 20:28",2856
"38","2014/04/01 20:33",2800
"39","2014/04/01 20:38",1215
"40","2014/04/01 20:43",1118
"41","2014/04/01 20:48",1507
"42","2014/04/01 20:53",1884
"43","2014/04/01 20:58",2826
"44","2014/04/01 21:03",2259
"45","2014/04/01 21:08",4080
"46","2014/04/01 21:13",3727
"47","2014/04/01 21:18",6659
"48","2014/04/01 21:23",5624
"49","2014/04/01 21:28",3414
"50","2014/04/01 21:33",5361
"51","2014/04/01 21:38",3989
"52","2014/04/01 21:43",3525
"53","2014/04/01 21:48",6411
"54","2014/04/01 21:53",4975
"55","2014/04/01 21:58",7617
"56","2014/04/01 22:03",4234
"57","2014/04/01 22:08",6852
"58","2014/04/01 22:13",4254
"59","2014/04/01 22:18",2341
"60","2014/04/01 22:23",2859
"61","2014/04/01 22:28",9963
"62","2014/04/01 22:33",8818
"63","2014/04/01 22:38",3857
"64","2014/04/01 22:43",2804
"65","2014/04/01 22:48",2853
"66","2014/04/01 22:53",3912
"67","2014/04/01 22:58",4752
"68","2014/04/01 23:03",7076
"69","2014/04/01 23:08",6768
"70","2014/04/01 23:13",6170
"71","2014/04/01 23:18",8992
"72","2014/04/01 23:23",9079
"73","2014/04/01 23:28",5128
"74","2014/04/01 23:33",5948
"75","2014/04/01 23:38",7883
"76","2014/04/01 23:43",15751
"77","2014/04/01 23:48",6251
"78","2014/04/01 23:53",6788
"79","2014/04/01 23:58",9471
"80","2014/04/02 00:03",7493
"81","2014/04/02 00:08",13530
"82","2014/04/02 00:13",16859
"83","2014/04/02 00:18",7710
"84","2014/04/02 00:23",6777
"85","2014/04/02 00:28",4671
"86","2014/04/02 00:33",5969
"87","2014/04/02 00:38",6264
"88","2014/04/02 00:43",5759
"89","2014/04/02 00:48",4354
"90","2014/04/02 00:53",24007
"91","2014/04/02 00:58",2067
"92","2014/04/02 01:03",2396
"93","2014/04/02 01:08",4568
"94","2014/04/02 01:13",3121
"95","2014/04/02 01:18",3662
"96","2014/04/02 01:23",1764
