LDEV_Response_X751-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:0E X"
"1","2014/04/01 17:28",2866
"2","2014/04/01 17:33",1283
"3","2014/04/01 17:38",1327
"4","2014/04/01 17:43",1294
"5","2014/04/01 17:48",2990
"6","2014/04/01 17:53",1598
"7","2014/04/01 17:58",1363
"8","2014/04/01 18:03",1141
"9","2014/04/01 18:08",1632
"10","2014/04/01 18:13",1529
"11","2014/04/01 18:18",2499
"12","2014/04/01 18:23",1681
"13","2014/04/01 18:28",4258
"14","2014/04/01 18:33",2896
"15","2014/04/01 18:38",2352
"16","2014/04/01 18:43",1638
"17","2014/04/01 18:48",2029
"18","2014/04/01 18:53",1882
"19","2014/04/01 18:58",3053
"20","2014/04/01 19:03",1834
"21","2014/04/01 19:08",2728
"22","2014/04/01 19:13",1608
"23","2014/04/01 19:18",1746
"24","2014/04/01 19:23",2002
"25","2014/04/01 19:28",1816
"26","2014/04/01 19:33",2105
"27","2014/04/01 19:38",2477
"28","2014/04/01 19:43",27605
"29","2014/04/01 19:48",9313
"30","2014/04/01 19:53",8109
"31","2014/04/01 19:58",4527
"32","2014/04/01 20:03",2966
"33","2014/04/01 20:08",1941
"34","2014/04/01 20:13",1888
"35","2014/04/01 20:18",1189
"36","2014/04/01 20:23",1292
"37","2014/04/01 20:28",2389
"38","2014/04/01 20:33",2298
"39","2014/04/01 20:38",1051
"40","2014/04/01 20:43",1266
"41","2014/04/01 20:48",1266
"42","2014/04/01 20:53",1297
"43","2014/04/01 20:58",2966
"44","2014/04/01 21:03",1918
"45","2014/04/01 21:08",3177
"46","2014/04/01 21:13",2804
"47","2014/04/01 21:18",5840
"48","2014/04/01 21:23",4347
"49","2014/04/01 21:28",3342
"50","2014/04/01 21:33",4497
"51","2014/04/01 21:38",3544
"52","2014/04/01 21:43",3429
"53","2014/04/01 21:48",4485
"54","2014/04/01 21:53",3098
"55","2014/04/01 21:58",5424
"56","2014/04/01 22:03",3442
"57","2014/04/01 22:08",6241
"58","2014/04/01 22:13",4367
"59","2014/04/01 22:18",2164
"60","2014/04/01 22:23",2456
"61","2014/04/01 22:28",10634
"62","2014/04/01 22:33",6222
"63","2014/04/01 22:38",4508
"64","2014/04/01 22:43",2252
"65","2014/04/01 22:48",3011
"66","2014/04/01 22:53",3681
"67","2014/04/01 22:58",3646
"68","2014/04/01 23:03",6401
"69","2014/04/01 23:08",7522
"70","2014/04/01 23:13",5877
"71","2014/04/01 23:18",9330
"72","2014/04/01 23:23",6654
"73","2014/04/01 23:28",5749
"74","2014/04/01 23:33",6358
"75","2014/04/01 23:38",6375
"76","2014/04/01 23:43",16325
"77","2014/04/01 23:48",6162
"78","2014/04/01 23:53",4772
"79","2014/04/01 23:58",7466
"80","2014/04/02 00:03",6530
"81","2014/04/02 00:08",12750
"82","2014/04/02 00:13",19754
"83","2014/04/02 00:18",10055
"84","2014/04/02 00:23",4108
"85","2014/04/02 00:28",5790
"86","2014/04/02 00:33",5971
"87","2014/04/02 00:38",6190
"88","2014/04/02 00:43",4880
"89","2014/04/02 00:48",2966
"90","2014/04/02 00:53",23837
"91","2014/04/02 00:58",1949
"92","2014/04/02 01:03",1889
"93","2014/04/02 01:08",4378
"94","2014/04/02 01:13",2882
"95","2014/04/02 01:18",2737
"96","2014/04/02 01:23",2379
