LDEV_Response_X765-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:0D X"
"1","2014/04/01 17:28",2409
"2","2014/04/01 17:33",1576
"3","2014/04/01 17:38",1268
"4","2014/04/01 17:43",1425
"5","2014/04/01 17:48",2499
"6","2014/04/01 17:53",1217
"7","2014/04/01 17:58",1028
"8","2014/04/01 18:03",1324
"9","2014/04/01 18:08",1080
"10","2014/04/01 18:13",1322
"11","2014/04/01 18:18",2573
"12","2014/04/01 18:23",1934
"13","2014/04/01 18:28",3864
"14","2014/04/01 18:33",2107
"15","2014/04/01 18:38",2562
"16","2014/04/01 18:43",1811
"17","2014/04/01 18:48",2153
"18","2014/04/01 18:53",1393
"19","2014/04/01 18:58",2177
"20","2014/04/01 19:03",1910
"21","2014/04/01 19:08",2307
"22","2014/04/01 19:13",1871
"23","2014/04/01 19:18",2120
"24","2014/04/01 19:23",1655
"25","2014/04/01 19:28",2071
"26","2014/04/01 19:33",2536
"27","2014/04/01 19:38",2270
"28","2014/04/01 19:43",31210
"29","2014/04/01 19:48",9699
"30","2014/04/01 19:53",7217
"31","2014/04/01 19:58",3815
"32","2014/04/01 20:03",2983
"33","2014/04/01 20:08",2186
"34","2014/04/01 20:13",1706
"35","2014/04/01 20:18",1274
"36","2014/04/01 20:23",1223
"37","2014/04/01 20:28",1840
"38","2014/04/01 20:33",2311
"39","2014/04/01 20:38",958
"40","2014/04/01 20:43",1207
"41","2014/04/01 20:48",1396
"42","2014/04/01 20:53",1007
"43","2014/04/01 20:58",2601
"44","2014/04/01 21:03",2075
"45","2014/04/01 21:08",3853
"46","2014/04/01 21:13",2597
"47","2014/04/01 21:18",5806
"48","2014/04/01 21:23",3711
"49","2014/04/01 21:28",3429
"50","2014/04/01 21:33",5294
"51","2014/04/01 21:38",4082
"52","2014/04/01 21:43",3269
"53","2014/04/01 21:48",5272
"54","2014/04/01 21:53",2865
"55","2014/04/01 21:58",5473
"56","2014/04/01 22:03",4285
"57","2014/04/01 22:08",8408
"58","2014/04/01 22:13",3439
"59","2014/04/01 22:18",2281
"60","2014/04/01 22:23",2573
"61","2014/04/01 22:28",9933
"62","2014/04/01 22:33",6214
"63","2014/04/01 22:38",3360
"64","2014/04/01 22:43",1792
"65","2014/04/01 22:48",3072
"66","2014/04/01 22:53",3521
"67","2014/04/01 22:58",3667
"68","2014/04/01 23:03",6466
"69","2014/04/01 23:08",7691
"70","2014/04/01 23:13",5458
"71","2014/04/01 23:18",9265
"72","2014/04/01 23:23",7201
"73","2014/04/01 23:28",4920
"74","2014/04/01 23:33",5932
"75","2014/04/01 23:38",7053
"76","2014/04/01 23:43",18262
"77","2014/04/01 23:48",6001
"78","2014/04/01 23:53",8531
"79","2014/04/01 23:58",8785
"80","2014/04/02 00:03",5975
"81","2014/04/02 00:08",14052
"82","2014/04/02 00:13",19327
"83","2014/04/02 00:18",8056
"84","2014/04/02 00:23",5757
"85","2014/04/02 00:28",5567
"86","2014/04/02 00:33",5382
"87","2014/04/02 00:38",6977
"88","2014/04/02 00:43",4420
"89","2014/04/02 00:48",3836
"90","2014/04/02 00:53",21315
"91","2014/04/02 00:58",1320
"92","2014/04/02 01:03",2189
"93","2014/04/02 01:08",5464
"94","2014/04/02 01:13",3171
"95","2014/04/02 01:18",2894
"96","2014/04/02 01:23",2163
