LDEV_Rnd_Read_Hit_1-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:F2","00:00:F3","00:00:F9","00:00:FA","00:00:FB","00:00:FC","00:00:FD","00:00:FE","00:00:FF","00:01:00","00:01:01","00:01:02","00:01:03","00:20:18","00:20:19"
"1","2014/04/01 17:28",0,0,0,0,0,0,100,90,0,0,0,0,0,0,45
"2","2014/04/01 17:33",0,0,0,0,0,0,100,86,0,0,0,0,0,0,62
"3","2014/04/01 17:38",0,0,0,0,0,0,100,99,0,0,0,0,0,0,51
"4","2014/04/01 17:43",0,0,1,0,0,0,100,80,0,100,100,0,0,0,45
"5","2014/04/01 17:48",0,0,0,0,0,0,27,76,0,0,0,0,0,0,100
"6","2014/04/01 17:53",0,27,0,0,0,0,4,74,0,0,0,0,0,0,42
"7","2014/04/01 17:58",0,2,0,0,0,0,100,91,0,0,0,0,0,0,79
"8","2014/04/01 18:03",0,0,0,0,0,0,0,86,0,0,0,0,0,0,100
"9","2014/04/01 18:08",0,72,0,0,0,0,0,93,0,60,0,0,0,0,80
"10","2014/04/01 18:13",9,6,0,0,0,0,0,76,0,0,0,0,0,0,82
"11","2014/04/01 18:18",0,0,0,0,0,0,71,84,0,100,0,0,0,0,100
"12","2014/04/01 18:23",0,0,0,0,0,0,100,90,0,0,100,0,0,0,100
"13","2014/04/01 18:28",0,0,0,0,0,0,100,97,0,0,0,0,0,0,45
"14","2014/04/01 18:33",0,0,0,0,0,0,100,75,0,75,0,0,0,0,57
"15","2014/04/01 18:38",0,0,0,0,0,0,0,67,0,0,0,0,0,0,42
"16","2014/04/01 18:43",0,0,0,0,0,0,0,66,0,100,0,0,0,0,40
"17","2014/04/01 18:48",0,11,0,0,0,0,30,58,0,0,0,0,0,0,100
"18","2014/04/01 18:53",0,0,0,0,0,0,100,55,0,0,0,0,0,0,42
"19","2014/04/01 18:58",0,0,0,0,0,0,100,93,0,0,0,0,0,0,79
"20","2014/04/01 19:03",20,0,0,0,0,0,100,88,0,8,0,0,0,0,100
"21","2014/04/01 19:08",2,0,4,0,0,0,0,83,0,0,0,0,0,0,52
"22","2014/04/01 19:13",0,0,0,0,0,0,0,75,0,2,0,7,0,0,70
"23","2014/04/01 19:18",0,1,0,0,0,0,57,84,0,7,7,10,8,0,66
"24","2014/04/01 19:23",0,0,0,0,0,0,0,80,0,10,10,9,16,0,66
"25","2014/04/01 19:28",12,2,0,0,0,0,100,85,0,14,11,12,18,0,36
"26","2014/04/01 19:33",0,0,0,0,0,0,100,81,0,23,41,0,0,0,62
"27","2014/04/01 19:38",0,0,0,0,0,0,100,90,0,15,49,12,0,0,55
