LDEV_Rnd_Read_Hit_X272-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:0E X"
"1","2014/04/01 17:28",22
"2","2014/04/01 17:33",8
"3","2014/04/01 17:38",23
"4","2014/04/01 17:43",10
"5","2014/04/01 17:48",44
"6","2014/04/01 17:53",8
"7","2014/04/01 17:58",6
"8","2014/04/01 18:03",33
"9","2014/04/01 18:08",7
"10","2014/04/01 18:13",30
"11","2014/04/01 18:18",28
"12","2014/04/01 18:23",33
"13","2014/04/01 18:28",15
"14","2014/04/01 18:33",14
"15","2014/04/01 18:38",4
"16","2014/04/01 18:43",77
"17","2014/04/01 18:48",91
"18","2014/04/01 18:53",57
"19","2014/04/01 18:58",57
"20","2014/04/01 19:03",5
"21","2014/04/01 19:08",6
"22","2014/04/01 19:13",21
"23","2014/04/01 19:18",3
"24","2014/04/01 19:23",33
"25","2014/04/01 19:28",19
"26","2014/04/01 19:33",25
"27","2014/04/01 19:38",11
"28","2014/04/01 19:43",11
"29","2014/04/01 19:48",10
"30","2014/04/01 19:53",29
"31","2014/04/01 19:58",63
"32","2014/04/01 20:03",57
"33","2014/04/01 20:08",4
"34","2014/04/01 20:13",17
"35","2014/04/01 20:18",34
"36","2014/04/01 20:23",20
"37","2014/04/01 20:28",0
"38","2014/04/01 20:33",13
"39","2014/04/01 20:38",65
"40","2014/04/01 20:43",33
"41","2014/04/01 20:48",7
"42","2014/04/01 20:53",0
"43","2014/04/01 20:58",23
"44","2014/04/01 21:03",23
"45","2014/04/01 21:08",33
"46","2014/04/01 21:13",18
"47","2014/04/01 21:18",44
"48","2014/04/01 21:23",66
"49","2014/04/01 21:28",60
"50","2014/04/01 21:33",0
"51","2014/04/01 21:38",33
"52","2014/04/01 21:43",25
"53","2014/04/01 21:48",66
"54","2014/04/01 21:53",0
"55","2014/04/01 21:58",100
"56","2014/04/01 22:03",55
"57","2014/04/01 22:08",68
"58","2014/04/01 22:13",88
"59","2014/04/01 22:18",94
"60","2014/04/01 22:23",91
"61","2014/04/01 22:28",90
"62","2014/04/01 22:33",89
"63","2014/04/01 22:38",77
"64","2014/04/01 22:43",90
"65","2014/04/01 22:48",75
"66","2014/04/01 22:53",71
"67","2014/04/01 22:58",83
"68","2014/04/01 23:03",53
"69","2014/04/01 23:08",37
"70","2014/04/01 23:13",27
"71","2014/04/01 23:18",72
"72","2014/04/01 23:23",52
"73","2014/04/01 23:28",36
"74","2014/04/01 23:33",32
"75","2014/04/01 23:38",57
"76","2014/04/01 23:43",52
"77","2014/04/01 23:48",48
"78","2014/04/01 23:53",30
"79","2014/04/01 23:58",29
"80","2014/04/02 00:03",31
"81","2014/04/02 00:08",12
"82","2014/04/02 00:13",12
"83","2014/04/02 00:18",48
"84","2014/04/02 00:23",52
"85","2014/04/02 00:28",75
"86","2014/04/02 00:33",34
"87","2014/04/02 00:38",68
"88","2014/04/02 00:43",58
"89","2014/04/02 00:48",53
"90","2014/04/02 00:53",80
"91","2014/04/02 00:58",54
"92","2014/04/02 01:03",4
"93","2014/04/02 01:08",13
"94","2014/04/02 01:13",5
"95","2014/04/02 01:18",20
"96","2014/04/02 01:23",37
