LDEV_Rnd_Read_Hit_X306-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:3C X"
"1","2014/04/01 17:28",88
"2","2014/04/01 17:33",42
"3","2014/04/01 17:38",41
"4","2014/04/01 17:43",92
"5","2014/04/01 17:48",50
"6","2014/04/01 17:53",0
"7","2014/04/01 17:58",91
"8","2014/04/01 18:03",33
"9","2014/04/01 18:08",25
"10","2014/04/01 18:13",90
"11","2014/04/01 18:18",33
"12","2014/04/01 18:23",20
"13","2014/04/01 18:28",93
"14","2014/04/01 18:33",50
"15","2014/04/01 18:38",18
"16","2014/04/01 18:43",86
"17","2014/04/01 18:48",60
"18","2014/04/01 18:53",55
"19","2014/04/01 18:58",95
"20","2014/04/01 19:03",66
"21","2014/04/01 19:08",27
"22","2014/04/01 19:13",87
"23","2014/04/01 19:18",35
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",94
"26","2014/04/01 19:33",76
"27","2014/04/01 19:38",32
"28","2014/04/01 19:43",89
"29","2014/04/01 19:48",0
"30","2014/04/01 19:53",11
"31","2014/04/01 19:58",90
"32","2014/04/01 20:03",45
"33","2014/04/01 20:08",21
"34","2014/04/01 20:13",89
"35","2014/04/01 20:18",43
"36","2014/04/01 20:23",11
"37","2014/04/01 20:28",89
"38","2014/04/01 20:33",78
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",90
"41","2014/04/01 20:48",44
"42","2014/04/01 20:53",0
"43","2014/04/01 20:58",87
"44","2014/04/01 21:03",46
"45","2014/04/01 21:08",12
"46","2014/04/01 21:13",90
"47","2014/04/01 21:18",50
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",87
"50","2014/04/01 21:33",47
"51","2014/04/01 21:38",31
"52","2014/04/01 21:43",91
"53","2014/04/01 21:48",40
"54","2014/04/01 21:53",0
"55","2014/04/01 21:58",95
"56","2014/04/01 22:03",50
"57","2014/04/01 22:08",21
"58","2014/04/01 22:13",89
"59","2014/04/01 22:18",71
"60","2014/04/01 22:23",37
"61","2014/04/01 22:28",90
"62","2014/04/01 22:33",15
"63","2014/04/01 22:38",33
"64","2014/04/01 22:43",89
"65","2014/04/01 22:48",33
"66","2014/04/01 22:53",7
"67","2014/04/01 22:58",93
"68","2014/04/01 23:03",0
"69","2014/04/01 23:08",8
"70","2014/04/01 23:13",93
"71","2014/04/01 23:18",15
"72","2014/04/01 23:23",21
"73","2014/04/01 23:28",90
"74","2014/04/01 23:33",29
"75","2014/04/01 23:38",11
"76","2014/04/01 23:43",88
"77","2014/04/01 23:48",20
"78","2014/04/01 23:53",28
"79","2014/04/01 23:58",86
"80","2014/04/02 00:03",13
"81","2014/04/02 00:08",35
"82","2014/04/02 00:13",88
"83","2014/04/02 00:18",20
"84","2014/04/02 00:23",22
"85","2014/04/02 00:28",89
"86","2014/04/02 00:33",31
"87","2014/04/02 00:38",23
"88","2014/04/02 00:43",89
"89","2014/04/02 00:48",57
"90","2014/04/02 00:53",15
"91","2014/04/02 00:58",88
"92","2014/04/02 01:03",35
"93","2014/04/02 01:08",35
"94","2014/04/02 01:13",86
"95","2014/04/02 01:18",50
"96","2014/04/02 01:23",36
