LDEV_Rnd_Read_Hit_X490-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:DB X"
"1","2014/04/01 17:28",57
"2","2014/04/01 17:33",80
"3","2014/04/01 17:38",62
"4","2014/04/01 17:43",76
"5","2014/04/01 17:48",13
"6","2014/04/01 17:53",27
"7","2014/04/01 17:58",57
"8","2014/04/01 18:03",82
"9","2014/04/01 18:08",46
"10","2014/04/01 18:13",52
"11","2014/04/01 18:18",8
"12","2014/04/01 18:23",14
"13","2014/04/01 18:28",57
"14","2014/04/01 18:33",68
"15","2014/04/01 18:38",53
"16","2014/04/01 18:43",85
"17","2014/04/01 18:48",15
"18","2014/04/01 18:53",13
"19","2014/04/01 18:58",42
"20","2014/04/01 19:03",83
"21","2014/04/01 19:08",44
"22","2014/04/01 19:13",40
"23","2014/04/01 19:18",12
"24","2014/04/01 19:23",12
"25","2014/04/01 19:28",58
"26","2014/04/01 19:33",65
"27","2014/04/01 19:38",15
"28","2014/04/01 19:43",20
"29","2014/04/01 19:48",34
"30","2014/04/01 19:53",27
"31","2014/04/01 19:58",19
"32","2014/04/01 20:03",81
"33","2014/04/01 20:08",34
"34","2014/04/01 20:13",58
"35","2014/04/01 20:18",8
"36","2014/04/01 20:23",10
"37","2014/04/01 20:28",7
"38","2014/04/01 20:33",11
"39","2014/04/01 20:38",18
"40","2014/04/01 20:43",67
"41","2014/04/01 20:48",22
"42","2014/04/01 20:53",5
"43","2014/04/01 20:58",24
"44","2014/04/01 21:03",81
"45","2014/04/01 21:08",5
"46","2014/04/01 21:13",13
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",13
"49","2014/04/01 21:28",42
"50","2014/04/01 21:33",18
"51","2014/04/01 21:38",16
"52","2014/04/01 21:43",79
"53","2014/04/01 21:48",36
"54","2014/04/01 21:53",19
"55","2014/04/01 21:58",19
"56","2014/04/01 22:03",52
"57","2014/04/01 22:08",53
"58","2014/04/01 22:13",57
"59","2014/04/01 22:18",51
"60","2014/04/01 22:23",40
"61","2014/04/01 22:28",56
"62","2014/04/01 22:33",59
"63","2014/04/01 22:38",63
"64","2014/04/01 22:43",77
"65","2014/04/01 22:48",80
"66","2014/04/01 22:53",63
"67","2014/04/01 22:58",67
"68","2014/04/01 23:03",55
"69","2014/04/01 23:08",65
"70","2014/04/01 23:13",68
"71","2014/04/01 23:18",67
"72","2014/04/01 23:23",73
"73","2014/04/01 23:28",70
"74","2014/04/01 23:33",81
"75","2014/04/01 23:38",85
"76","2014/04/01 23:43",79
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",61
"79","2014/04/01 23:58",66
"80","2014/04/02 00:03",67
"81","2014/04/02 00:08",78
"82","2014/04/02 00:13",77
"83","2014/04/02 00:18",49
"84","2014/04/02 00:23",43
"85","2014/04/02 00:28",58
"86","2014/04/02 00:33",82
"87","2014/04/02 00:38",49
"88","2014/04/02 00:43",72
"89","2014/04/02 00:48",84
"90","2014/04/02 00:53",51
"91","2014/04/02 00:58",41
"92","2014/04/02 01:03",65
"93","2014/04/02 01:08",65
"94","2014/04/02 01:13",37
"95","2014/04/02 01:18",22
"96","2014/04/02 01:23",14
