LDEV_Rnd_Read_Hit_X500-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EB X"
"1","2014/04/01 17:28",78
"2","2014/04/01 17:33",80
"3","2014/04/01 17:38",70
"4","2014/04/01 17:43",77
"5","2014/04/01 17:48",30
"6","2014/04/01 17:53",20
"7","2014/04/01 17:58",51
"8","2014/04/01 18:03",71
"9","2014/04/01 18:08",71
"10","2014/04/01 18:13",43
"11","2014/04/01 18:18",21
"12","2014/04/01 18:23",28
"13","2014/04/01 18:28",78
"14","2014/04/01 18:33",88
"15","2014/04/01 18:38",81
"16","2014/04/01 18:43",91
"17","2014/04/01 18:48",23
"18","2014/04/01 18:53",20
"19","2014/04/01 18:58",34
"20","2014/04/01 19:03",74
"21","2014/04/01 19:08",73
"22","2014/04/01 19:13",45
"23","2014/04/01 19:18",28
"24","2014/04/01 19:23",49
"25","2014/04/01 19:28",73
"26","2014/04/01 19:33",73
"27","2014/04/01 19:38",28
"28","2014/04/01 19:43",32
"29","2014/04/01 19:48",28
"30","2014/04/01 19:53",23
"31","2014/04/01 19:58",19
"32","2014/04/01 20:03",69
"33","2014/04/01 20:08",63
"34","2014/04/01 20:13",68
"35","2014/04/01 20:18",19
"36","2014/04/01 20:23",26
"37","2014/04/01 20:28",24
"38","2014/04/01 20:33",22
"39","2014/04/01 20:38",32
"40","2014/04/01 20:43",80
"41","2014/04/01 20:48",34
"42","2014/04/01 20:53",12
"43","2014/04/01 20:58",17
"44","2014/04/01 21:03",62
"45","2014/04/01 21:08",19
"46","2014/04/01 21:13",37
"47","2014/04/01 21:18",16
"48","2014/04/01 21:23",15
"49","2014/04/01 21:28",67
"50","2014/04/01 21:33",29
"51","2014/04/01 21:38",38
"52","2014/04/01 21:43",82
"53","2014/04/01 21:48",55
"54","2014/04/01 21:53",20
"55","2014/04/01 21:58",15
"56","2014/04/01 22:03",49
"57","2014/04/01 22:08",58
"58","2014/04/01 22:13",60
"59","2014/04/01 22:18",59
"60","2014/04/01 22:23",49
"61","2014/04/01 22:28",56
"62","2014/04/01 22:33",64
"63","2014/04/01 22:38",61
"64","2014/04/01 22:43",77
"65","2014/04/01 22:48",76
"66","2014/04/01 22:53",68
"67","2014/04/01 22:58",69
"68","2014/04/01 23:03",53
"69","2014/04/01 23:08",58
"70","2014/04/01 23:13",65
"71","2014/04/01 23:18",65
"72","2014/04/01 23:23",77
"73","2014/04/01 23:28",75
"74","2014/04/01 23:33",80
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",75
"77","2014/04/01 23:48",80
"78","2014/04/01 23:53",68
"79","2014/04/01 23:58",60
"80","2014/04/02 00:03",67
"81","2014/04/02 00:08",79
"82","2014/04/02 00:13",78
"83","2014/04/02 00:18",37
"84","2014/04/02 00:23",45
"85","2014/04/02 00:28",62
"86","2014/04/02 00:33",81
"87","2014/04/02 00:38",61
"88","2014/04/02 00:43",81
"89","2014/04/02 00:48",83
"90","2014/04/02 00:53",40
"91","2014/04/02 00:58",53
"92","2014/04/02 01:03",53
"93","2014/04/02 01:08",75
"94","2014/04/02 01:13",38
"95","2014/04/02 01:18",25
"96","2014/04/02 01:23",22
