LDEV_Rnd_Read_Hit_X505-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:F0 X"
"1","2014/04/01 17:28",80
"2","2014/04/01 17:33",82
"3","2014/04/01 17:38",77
"4","2014/04/01 17:43",87
"5","2014/04/01 17:48",18
"6","2014/04/01 17:53",51
"7","2014/04/01 17:58",47
"8","2014/04/01 18:03",74
"9","2014/04/01 18:08",74
"10","2014/04/01 18:13",58
"11","2014/04/01 18:18",15
"12","2014/04/01 18:23",24
"13","2014/04/01 18:28",85
"14","2014/04/01 18:33",91
"15","2014/04/01 18:38",80
"16","2014/04/01 18:43",81
"17","2014/04/01 18:48",53
"18","2014/04/01 18:53",22
"19","2014/04/01 18:58",38
"20","2014/04/01 19:03",72
"21","2014/04/01 19:08",74
"22","2014/04/01 19:13",65
"23","2014/04/01 19:18",15
"24","2014/04/01 19:23",22
"25","2014/04/01 19:28",83
"26","2014/04/01 19:33",76
"27","2014/04/01 19:38",28
"28","2014/04/01 19:43",33
"29","2014/04/01 19:48",29
"30","2014/04/01 19:53",25
"31","2014/04/01 19:58",16
"32","2014/04/01 20:03",62
"33","2014/04/01 20:08",57
"34","2014/04/01 20:13",80
"35","2014/04/01 20:18",14
"36","2014/04/01 20:23",23
"37","2014/04/01 20:28",24
"38","2014/04/01 20:33",18
"39","2014/04/01 20:38",23
"40","2014/04/01 20:43",89
"41","2014/04/01 20:48",32
"42","2014/04/01 20:53",12
"43","2014/04/01 20:58",19
"44","2014/04/01 21:03",71
"45","2014/04/01 21:08",20
"46","2014/04/01 21:13",29
"47","2014/04/01 21:18",11
"48","2014/04/01 21:23",13
"49","2014/04/01 21:28",74
"50","2014/04/01 21:33",24
"51","2014/04/01 21:38",32
"52","2014/04/01 21:43",87
"53","2014/04/01 21:48",42
"54","2014/04/01 21:53",43
"55","2014/04/01 21:58",16
"56","2014/04/01 22:03",61
"57","2014/04/01 22:08",63
"58","2014/04/01 22:13",65
"59","2014/04/01 22:18",63
"60","2014/04/01 22:23",45
"61","2014/04/01 22:28",61
"62","2014/04/01 22:33",70
"63","2014/04/01 22:38",67
"64","2014/04/01 22:43",71
"65","2014/04/01 22:48",82
"66","2014/04/01 22:53",68
"67","2014/04/01 22:58",74
"68","2014/04/01 23:03",54
"69","2014/04/01 23:08",68
"70","2014/04/01 23:13",71
"71","2014/04/01 23:18",63
"72","2014/04/01 23:23",66
"73","2014/04/01 23:28",71
"74","2014/04/01 23:33",83
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",79
"77","2014/04/01 23:48",80
"78","2014/04/01 23:53",59
"79","2014/04/01 23:58",69
"80","2014/04/02 00:03",63
"81","2014/04/02 00:08",75
"82","2014/04/02 00:13",76
"83","2014/04/02 00:18",55
"84","2014/04/02 00:23",43
"85","2014/04/02 00:28",60
"86","2014/04/02 00:33",84
"87","2014/04/02 00:38",65
"88","2014/04/02 00:43",87
"89","2014/04/02 00:48",80
"90","2014/04/02 00:53",57
"91","2014/04/02 00:58",66
"92","2014/04/02 01:03",59
"93","2014/04/02 01:08",66
"94","2014/04/02 01:13",45
"95","2014/04/02 01:18",34
"96","2014/04/02 01:23",25
