LDEV_Rnd_Read_Hit_X525-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:1F X"
"1","2014/04/01 17:28",68
"2","2014/04/01 17:33",94
"3","2014/04/01 17:38",67
"4","2014/04/01 17:43",64
"5","2014/04/01 17:48",20
"6","2014/04/01 17:53",37
"7","2014/04/01 17:58",42
"8","2014/04/01 18:03",67
"9","2014/04/01 18:08",62
"10","2014/04/01 18:13",48
"11","2014/04/01 18:18",12
"12","2014/04/01 18:23",33
"13","2014/04/01 18:28",65
"14","2014/04/01 18:33",74
"15","2014/04/01 18:38",69
"16","2014/04/01 18:43",82
"17","2014/04/01 18:48",22
"18","2014/04/01 18:53",23
"19","2014/04/01 18:58",34
"20","2014/04/01 19:03",64
"21","2014/04/01 19:08",65
"22","2014/04/01 19:13",44
"23","2014/04/01 19:18",44
"24","2014/04/01 19:23",17
"25","2014/04/01 19:28",73
"26","2014/04/01 19:33",73
"27","2014/04/01 19:38",22
"28","2014/04/01 19:43",30
"29","2014/04/01 19:48",24
"30","2014/04/01 19:53",23
"31","2014/04/01 19:58",11
"32","2014/04/01 20:03",61
"33","2014/04/01 20:08",59
"34","2014/04/01 20:13",62
"35","2014/04/01 20:18",13
"36","2014/04/01 20:23",17
"37","2014/04/01 20:28",18
"38","2014/04/01 20:33",13
"39","2014/04/01 20:38",21
"40","2014/04/01 20:43",71
"41","2014/04/01 20:48",32
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",16
"44","2014/04/01 21:03",64
"45","2014/04/01 21:08",15
"46","2014/04/01 21:13",16
"47","2014/04/01 21:18",11
"48","2014/04/01 21:23",9
"49","2014/04/01 21:28",56
"50","2014/04/01 21:33",55
"51","2014/04/01 21:38",28
"52","2014/04/01 21:43",78
"53","2014/04/01 21:48",50
"54","2014/04/01 21:53",25
"55","2014/04/01 21:58",14
"56","2014/04/01 22:03",56
"57","2014/04/01 22:08",45
"58","2014/04/01 22:13",56
"59","2014/04/01 22:18",55
"60","2014/04/01 22:23",38
"61","2014/04/01 22:28",48
"62","2014/04/01 22:33",65
"63","2014/04/01 22:38",71
"64","2014/04/01 22:43",74
"65","2014/04/01 22:48",73
"66","2014/04/01 22:53",69
"67","2014/04/01 22:58",70
"68","2014/04/01 23:03",58
"69","2014/04/01 23:08",57
"70","2014/04/01 23:13",68
"71","2014/04/01 23:18",69
"72","2014/04/01 23:23",72
"73","2014/04/01 23:28",67
"74","2014/04/01 23:33",82
"75","2014/04/01 23:38",85
"76","2014/04/01 23:43",77
"77","2014/04/01 23:48",79
"78","2014/04/01 23:53",70
"79","2014/04/01 23:58",65
"80","2014/04/02 00:03",66
"81","2014/04/02 00:08",80
"82","2014/04/02 00:13",77
"83","2014/04/02 00:18",55
"84","2014/04/02 00:23",54
"85","2014/04/02 00:28",55
"86","2014/04/02 00:33",76
"87","2014/04/02 00:38",60
"88","2014/04/02 00:43",75
"89","2014/04/02 00:48",78
"90","2014/04/02 00:53",58
"91","2014/04/02 00:58",48
"92","2014/04/02 01:03",69
"93","2014/04/02 01:08",77
"94","2014/04/02 01:13",50
"95","2014/04/02 01:18",19
"96","2014/04/02 01:23",19
