LDEV_Rnd_Read_Hit_X532-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:E5 X"
"1","2014/04/01 17:28",25
"2","2014/04/01 17:33",17
"3","2014/04/01 17:38",65
"4","2014/04/01 17:43",39
"5","2014/04/01 17:48",33
"6","2014/04/01 17:53",33
"7","2014/04/01 17:58",55
"8","2014/04/01 18:03",90
"9","2014/04/01 18:08",53
"10","2014/04/01 18:13",69
"11","2014/04/01 18:18",56
"12","2014/04/01 18:23",47
"13","2014/04/01 18:28",39
"14","2014/04/01 18:33",36
"15","2014/04/01 18:38",77
"16","2014/04/01 18:43",44
"17","2014/04/01 18:48",90
"18","2014/04/01 18:53",68
"19","2014/04/01 18:58",48
"20","2014/04/01 19:03",28
"21","2014/04/01 19:08",53
"22","2014/04/01 19:13",59
"23","2014/04/01 19:18",32
"24","2014/04/01 19:23",19
"25","2014/04/01 19:28",30
"26","2014/04/01 19:33",10
"27","2014/04/01 19:38",68
"28","2014/04/01 19:43",26
"29","2014/04/01 19:48",10
"30","2014/04/01 19:53",67
"31","2014/04/01 19:58",13
"32","2014/04/01 20:03",72
"33","2014/04/01 20:08",52
"34","2014/04/01 20:13",33
"35","2014/04/01 20:18",42
"36","2014/04/01 20:23",40
"37","2014/04/01 20:28",33
"38","2014/04/01 20:33",28
"39","2014/04/01 20:38",67
"40","2014/04/01 20:43",46
"41","2014/04/01 20:48",40
"42","2014/04/01 20:53",36
"43","2014/04/01 20:58",43
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",52
"46","2014/04/01 21:13",26
"47","2014/04/01 21:18",14
"48","2014/04/01 21:23",12
"49","2014/04/01 21:28",14
"50","2014/04/01 21:33",11
"51","2014/04/01 21:38",74
"52","2014/04/01 21:43",40
"53","2014/04/01 21:48",91
"54","2014/04/01 21:53",55
"55","2014/04/01 21:58",26
"56","2014/04/01 22:03",22
"57","2014/04/01 22:08",46
"58","2014/04/01 22:13",13
"59","2014/04/01 22:18",29
"60","2014/04/01 22:23",25
"61","2014/04/01 22:28",23
"62","2014/04/01 22:33",14
"63","2014/04/01 22:38",62
"64","2014/04/01 22:43",34
"65","2014/04/01 22:48",19
"66","2014/04/01 22:53",14
"67","2014/04/01 22:58",12
"68","2014/04/01 23:03",61
"69","2014/04/01 23:08",46
"70","2014/04/01 23:13",43
"71","2014/04/01 23:18",31
"72","2014/04/01 23:23",13
"73","2014/04/01 23:28",15
"74","2014/04/01 23:33",12
"75","2014/04/01 23:38",61
"76","2014/04/01 23:43",17
"77","2014/04/01 23:48",12
"78","2014/04/01 23:53",16
"79","2014/04/01 23:58",13
"80","2014/04/02 00:03",72
"81","2014/04/02 00:08",42
"82","2014/04/02 00:13",9
"83","2014/04/02 00:18",14
"84","2014/04/02 00:23",16
"85","2014/04/02 00:28",57
"86","2014/04/02 00:33",18
"87","2014/04/02 00:38",73
"88","2014/04/02 00:43",29
"89","2014/04/02 00:48",82
"90","2014/04/02 00:53",68
"91","2014/04/02 00:58",18
"92","2014/04/02 01:03",18
"93","2014/04/02 01:08",50
"94","2014/04/02 01:13",24
"95","2014/04/02 01:18",20
"96","2014/04/02 01:23",11
