LDEV_Rnd_Read_Hit_X578-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:05 X"
"1","2014/04/01 17:28",94
"2","2014/04/01 17:33",90
"3","2014/04/01 17:38",91
"4","2014/04/01 17:43",90
"5","2014/04/01 17:48",85
"6","2014/04/01 17:53",88
"7","2014/04/01 17:58",96
"8","2014/04/01 18:03",89
"9","2014/04/01 18:08",93
"10","2014/04/01 18:13",90
"11","2014/04/01 18:18",90
"12","2014/04/01 18:23",91
"13","2014/04/01 18:28",87
"14","2014/04/01 18:33",85
"15","2014/04/01 18:38",89
"16","2014/04/01 18:43",90
"17","2014/04/01 18:48",90
"18","2014/04/01 18:53",88
"19","2014/04/01 18:58",88
"20","2014/04/01 19:03",84
"21","2014/04/01 19:08",83
"22","2014/04/01 19:13",90
"23","2014/04/01 19:18",86
"24","2014/04/01 19:23",87
"25","2014/04/01 19:28",88
"26","2014/04/01 19:33",78
"27","2014/04/01 19:38",89
"28","2014/04/01 19:43",60
"29","2014/04/01 19:48",61
"30","2014/04/01 19:53",61
"31","2014/04/01 19:58",86
"32","2014/04/01 20:03",86
"33","2014/04/01 20:08",88
"34","2014/04/01 20:13",92
"35","2014/04/01 20:18",96
"36","2014/04/01 20:23",96
"37","2014/04/01 20:28",94
"38","2014/04/01 20:33",93
"39","2014/04/01 20:38",96
"40","2014/04/01 20:43",95
"41","2014/04/01 20:48",95
"42","2014/04/01 20:53",94
"43","2014/04/01 20:58",95
"44","2014/04/01 21:03",92
"45","2014/04/01 21:08",73
"46","2014/04/01 21:13",84
"47","2014/04/01 21:18",87
"48","2014/04/01 21:23",78
"49","2014/04/01 21:28",91
"50","2014/04/01 21:33",72
"51","2014/04/01 21:38",87
"52","2014/04/01 21:43",88
"53","2014/04/01 21:48",82
"54","2014/04/01 21:53",86
"55","2014/04/01 21:58",83
"56","2014/04/01 22:03",74
"57","2014/04/01 22:08",62
"58","2014/04/01 22:13",65
"59","2014/04/01 22:18",84
"60","2014/04/01 22:23",78
"61","2014/04/01 22:28",72
"62","2014/04/01 22:33",65
"63","2014/04/01 22:38",71
"64","2014/04/01 22:43",80
"65","2014/04/01 22:48",70
"66","2014/04/01 22:53",59
"67","2014/04/01 22:58",68
"68","2014/04/01 23:03",55
"69","2014/04/01 23:08",59
"70","2014/04/01 23:13",73
"71","2014/04/01 23:18",70
"72","2014/04/01 23:23",72
"73","2014/04/01 23:28",74
"74","2014/04/01 23:33",71
"75","2014/04/01 23:38",69
"76","2014/04/01 23:43",74
"77","2014/04/01 23:48",69
"78","2014/04/01 23:53",78
"79","2014/04/01 23:58",77
"80","2014/04/02 00:03",77
"81","2014/04/02 00:08",72
"82","2014/04/02 00:13",74
"83","2014/04/02 00:18",79
"84","2014/04/02 00:23",76
"85","2014/04/02 00:28",77
"86","2014/04/02 00:33",78
"87","2014/04/02 00:38",80
"88","2014/04/02 00:43",83
"89","2014/04/02 00:48",90
"90","2014/04/02 00:53",82
"91","2014/04/02 00:58",91
"92","2014/04/02 01:03",86
"93","2014/04/02 01:08",71
"94","2014/04/02 01:13",84
"95","2014/04/02 01:18",85
"96","2014/04/02 01:23",80
