LDEV_Rnd_Read_Hit_X613-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:7E X"
"1","2014/04/01 17:28",91
"2","2014/04/01 17:33",85
"3","2014/04/01 17:38",85
"4","2014/04/01 17:43",88
"5","2014/04/01 17:48",72
"6","2014/04/01 17:53",81
"7","2014/04/01 17:58",91
"8","2014/04/01 18:03",89
"9","2014/04/01 18:08",90
"10","2014/04/01 18:13",92
"11","2014/04/01 18:18",84
"12","2014/04/01 18:23",88
"13","2014/04/01 18:28",84
"14","2014/04/01 18:33",86
"15","2014/04/01 18:38",85
"16","2014/04/01 18:43",83
"17","2014/04/01 18:48",84
"18","2014/04/01 18:53",79
"19","2014/04/01 18:58",82
"20","2014/04/01 19:03",82
"21","2014/04/01 19:08",75
"22","2014/04/01 19:13",88
"23","2014/04/01 19:18",78
"24","2014/04/01 19:23",82
"25","2014/04/01 19:28",81
"26","2014/04/01 19:33",73
"27","2014/04/01 19:38",82
"28","2014/04/01 19:43",47
"29","2014/04/01 19:48",46
"30","2014/04/01 19:53",45
"31","2014/04/01 19:58",77
"32","2014/04/01 20:03",83
"33","2014/04/01 20:08",83
"34","2014/04/01 20:13",92
"35","2014/04/01 20:18",96
"36","2014/04/01 20:23",95
"37","2014/04/01 20:28",92
"38","2014/04/01 20:33",93
"39","2014/04/01 20:38",97
"40","2014/04/01 20:43",93
"41","2014/04/01 20:48",94
"42","2014/04/01 20:53",88
"43","2014/04/01 20:58",91
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",64
"46","2014/04/01 21:13",81
"47","2014/04/01 21:18",79
"48","2014/04/01 21:23",75
"49","2014/04/01 21:28",86
"50","2014/04/01 21:33",72
"51","2014/04/01 21:38",78
"52","2014/04/01 21:43",86
"53","2014/04/01 21:48",71
"54","2014/04/01 21:53",85
"55","2014/04/01 21:58",71
"56","2014/04/01 22:03",61
"57","2014/04/01 22:08",59
"58","2014/04/01 22:13",66
"59","2014/04/01 22:18",75
"60","2014/04/01 22:23",73
"61","2014/04/01 22:28",64
"62","2014/04/01 22:33",59
"63","2014/04/01 22:38",58
"64","2014/04/01 22:43",70
"65","2014/04/01 22:48",61
"66","2014/04/01 22:53",56
"67","2014/04/01 22:58",55
"68","2014/04/01 23:03",54
"69","2014/04/01 23:08",58
"70","2014/04/01 23:13",70
"71","2014/04/01 23:18",62
"72","2014/04/01 23:23",70
"73","2014/04/01 23:28",74
"74","2014/04/01 23:33",75
"75","2014/04/01 23:38",63
"76","2014/04/01 23:43",77
"77","2014/04/01 23:48",64
"78","2014/04/01 23:53",70
"79","2014/04/01 23:58",76
"80","2014/04/02 00:03",63
"81","2014/04/02 00:08",68
"82","2014/04/02 00:13",76
"83","2014/04/02 00:18",79
"84","2014/04/02 00:23",78
"85","2014/04/02 00:28",79
"86","2014/04/02 00:33",81
"87","2014/04/02 00:38",79
"88","2014/04/02 00:43",78
"89","2014/04/02 00:48",87
"90","2014/04/02 00:53",79
"91","2014/04/02 00:58",86
"92","2014/04/02 01:03",82
"93","2014/04/02 01:08",62
"94","2014/04/02 01:13",83
"95","2014/04/02 01:18",80
"96","2014/04/02 01:23",79
