LDEV_Rnd_Read_Hit_X65-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:3A X"
"1","2014/04/01 17:28",85
"2","2014/04/01 17:33",68
"3","2014/04/01 17:38",37
"4","2014/04/01 17:43",78
"5","2014/04/01 17:48",72
"6","2014/04/01 17:53",54
"7","2014/04/01 17:58",76
"8","2014/04/01 18:03",66
"9","2014/04/01 18:08",42
"10","2014/04/01 18:13",83
"11","2014/04/01 18:18",58
"12","2014/04/01 18:23",54
"13","2014/04/01 18:28",82
"14","2014/04/01 18:33",58
"15","2014/04/01 18:38",55
"16","2014/04/01 18:43",80
"17","2014/04/01 18:48",76
"18","2014/04/01 18:53",60
"19","2014/04/01 18:58",81
"20","2014/04/01 19:03",68
"21","2014/04/01 19:08",46
"22","2014/04/01 19:13",100
"23","2014/04/01 19:18",50
"24","2014/04/01 19:23",36
"25","2014/04/01 19:28",85
"26","2014/04/01 19:33",70
"27","2014/04/01 19:38",41
"28","2014/04/01 19:43",79
"29","2014/04/01 19:48",33
"30","2014/04/01 19:53",33
"31","2014/04/01 19:58",76
"32","2014/04/01 20:03",100
"33","2014/04/01 20:08",38
"34","2014/04/01 20:13",93
"35","2014/04/01 20:18",25
"36","2014/04/01 20:23",68
"37","2014/04/01 20:28",82
"38","2014/04/01 20:33",75
"39","2014/04/01 20:38",46
"40","2014/04/01 20:43",77
"41","2014/04/01 20:48",61
"42","2014/04/01 20:53",47
"43","2014/04/01 20:58",82
"44","2014/04/01 21:03",66
"45","2014/04/01 21:08",41
"46","2014/04/01 21:13",83
"47","2014/04/01 21:18",66
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",86
"50","2014/04/01 21:33",60
"51","2014/04/01 21:38",40
"52","2014/04/01 21:43",82
"53","2014/04/01 21:48",72
"54","2014/04/01 21:53",30
"55","2014/04/01 21:58",84
"56","2014/04/01 22:03",83
"57","2014/04/01 22:08",60
"58","2014/04/01 22:13",90
"59","2014/04/01 22:18",55
"60","2014/04/01 22:23",76
"61","2014/04/01 22:28",83
"62","2014/04/01 22:33",80
"63","2014/04/01 22:38",77
"64","2014/04/01 22:43",88
"65","2014/04/01 22:48",84
"66","2014/04/01 22:53",85
"67","2014/04/01 22:58",92
"68","2014/04/01 23:03",90
"69","2014/04/01 23:08",83
"70","2014/04/01 23:13",90
"71","2014/04/01 23:18",84
"72","2014/04/01 23:23",83
"73","2014/04/01 23:28",88
"74","2014/04/01 23:33",87
"75","2014/04/01 23:38",89
"76","2014/04/01 23:43",90
"77","2014/04/01 23:48",89
"78","2014/04/01 23:53",87
"79","2014/04/01 23:58",86
"80","2014/04/02 00:03",87
"81","2014/04/02 00:08",90
"82","2014/04/02 00:13",88
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",90
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",94
"87","2014/04/02 00:38",82
"88","2014/04/02 00:43",92
"89","2014/04/02 00:48",94
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",92
"92","2014/04/02 01:03",78
"93","2014/04/02 01:08",88
"94","2014/04/02 01:13",89
"95","2014/04/02 01:18",98
"96","2014/04/02 01:23",86
