LDEV_Rnd_Read_Hit_X702-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:2A X"
"1","2014/04/01 17:28",85
"2","2014/04/01 17:33",86
"3","2014/04/01 17:38",82
"4","2014/04/01 17:43",83
"5","2014/04/01 17:48",68
"6","2014/04/01 17:53",79
"7","2014/04/01 17:58",85
"8","2014/04/01 18:03",83
"9","2014/04/01 18:08",88
"10","2014/04/01 18:13",83
"11","2014/04/01 18:18",71
"12","2014/04/01 18:23",81
"13","2014/04/01 18:28",78
"14","2014/04/01 18:33",78
"15","2014/04/01 18:38",79
"16","2014/04/01 18:43",76
"17","2014/04/01 18:48",77
"18","2014/04/01 18:53",74
"19","2014/04/01 18:58",77
"20","2014/04/01 19:03",78
"21","2014/04/01 19:08",70
"22","2014/04/01 19:13",82
"23","2014/04/01 19:18",77
"24","2014/04/01 19:23",74
"25","2014/04/01 19:28",78
"26","2014/04/01 19:33",76
"27","2014/04/01 19:38",75
"28","2014/04/01 19:43",36
"29","2014/04/01 19:48",35
"30","2014/04/01 19:53",48
"31","2014/04/01 19:58",75
"32","2014/04/01 20:03",71
"33","2014/04/01 20:08",77
"34","2014/04/01 20:13",84
"35","2014/04/01 20:18",90
"36","2014/04/01 20:23",87
"37","2014/04/01 20:28",83
"38","2014/04/01 20:33",85
"39","2014/04/01 20:38",93
"40","2014/04/01 20:43",90
"41","2014/04/01 20:48",87
"42","2014/04/01 20:53",88
"43","2014/04/01 20:58",85
"44","2014/04/01 21:03",82
"45","2014/04/01 21:08",57
"46","2014/04/01 21:13",74
"47","2014/04/01 21:18",70
"48","2014/04/01 21:23",73
"49","2014/04/01 21:28",77
"50","2014/04/01 21:33",72
"51","2014/04/01 21:38",72
"52","2014/04/01 21:43",73
"53","2014/04/01 21:48",62
"54","2014/04/01 21:53",71
"55","2014/04/01 21:58",59
"56","2014/04/01 22:03",50
"57","2014/04/01 22:08",54
"58","2014/04/01 22:13",55
"59","2014/04/01 22:18",69
"60","2014/04/01 22:23",63
"61","2014/04/01 22:28",56
"62","2014/04/01 22:33",56
"63","2014/04/01 22:38",48
"64","2014/04/01 22:43",62
"65","2014/04/01 22:48",57
"66","2014/04/01 22:53",47
"67","2014/04/01 22:58",54
"68","2014/04/01 23:03",54
"69","2014/04/01 23:08",52
"70","2014/04/01 23:13",68
"71","2014/04/01 23:18",68
"72","2014/04/01 23:23",72
"73","2014/04/01 23:28",74
"74","2014/04/01 23:33",70
"75","2014/04/01 23:38",66
"76","2014/04/01 23:43",77
"77","2014/04/01 23:48",68
"78","2014/04/01 23:53",78
"79","2014/04/01 23:58",81
"80","2014/04/02 00:03",66
"81","2014/04/02 00:08",76
"82","2014/04/02 00:13",68
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",73
"85","2014/04/02 00:28",74
"86","2014/04/02 00:33",81
"87","2014/04/02 00:38",81
"88","2014/04/02 00:43",83
"89","2014/04/02 00:48",83
"90","2014/04/02 00:53",79
"91","2014/04/02 00:58",82
"92","2014/04/02 01:03",80
"93","2014/04/02 01:08",59
"94","2014/04/02 01:13",73
"95","2014/04/02 01:18",76
"96","2014/04/02 01:23",74
