LDEV_Rnd_Read_Hit_X71-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D9 X"
"1","2014/04/01 17:28",97
"2","2014/04/01 17:33",88
"3","2014/04/01 17:38",85
"4","2014/04/01 17:43",85
"5","2014/04/01 17:48",80
"6","2014/04/01 17:53",87
"7","2014/04/01 17:58",79
"8","2014/04/01 18:03",85
"9","2014/04/01 18:08",85
"10","2014/04/01 18:13",83
"11","2014/04/01 18:18",87
"12","2014/04/01 18:23",92
"13","2014/04/01 18:28",82
"14","2014/04/01 18:33",84
"15","2014/04/01 18:38",75
"16","2014/04/01 18:43",74
"17","2014/04/01 18:48",79
"18","2014/04/01 18:53",80
"19","2014/04/01 18:58",87
"20","2014/04/01 19:03",80
"21","2014/04/01 19:08",75
"22","2014/04/01 19:13",64
"23","2014/04/01 19:18",81
"24","2014/04/01 19:23",81
"25","2014/04/01 19:28",53
"26","2014/04/01 19:33",62
"27","2014/04/01 19:38",84
"28","2014/04/01 19:43",60
"29","2014/04/01 19:48",53
"30","2014/04/01 19:53",87
"31","2014/04/01 19:58",75
"32","2014/04/01 20:03",60
"33","2014/04/01 20:08",73
"34","2014/04/01 20:13",78
"35","2014/04/01 20:18",83
"36","2014/04/01 20:23",75
"37","2014/04/01 20:28",73
"38","2014/04/01 20:33",53
"39","2014/04/01 20:38",80
"40","2014/04/01 20:43",81
"41","2014/04/01 20:48",81
"42","2014/04/01 20:53",81
"43","2014/04/01 20:58",79
"44","2014/04/01 21:03",59
"45","2014/04/01 21:08",55
"46","2014/04/01 21:13",37
"47","2014/04/01 21:18",86
"48","2014/04/01 21:23",46
"49","2014/04/01 21:28",70
"50","2014/04/01 21:33",28
"51","2014/04/01 21:38",76
"52","2014/04/01 21:43",80
"53","2014/04/01 21:48",87
"54","2014/04/01 21:53",70
"55","2014/04/01 21:58",63
"56","2014/04/01 22:03",66
"57","2014/04/01 22:08",65
"58","2014/04/01 22:13",76
"59","2014/04/01 22:18",82
"60","2014/04/01 22:23",97
"61","2014/04/01 22:28",94
"62","2014/04/01 22:33",61
"63","2014/04/01 22:38",100
"64","2014/04/01 22:43",80
"65","2014/04/01 22:48",95
"66","2014/04/01 22:53",74
"67","2014/04/01 22:58",87
"68","2014/04/01 23:03",74
"69","2014/04/01 23:08",88
"70","2014/04/01 23:13",75
"71","2014/04/01 23:18",81
"72","2014/04/01 23:23",80
"73","2014/04/01 23:28",74
"74","2014/04/01 23:33",91
"75","2014/04/01 23:38",77
"76","2014/04/01 23:43",83
"77","2014/04/01 23:48",72
"78","2014/04/01 23:53",69
"79","2014/04/01 23:58",69
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",60
"82","2014/04/02 00:13",80
"83","2014/04/02 00:18",47
"84","2014/04/02 00:23",38
"85","2014/04/02 00:28",100
"86","2014/04/02 00:33",24
"87","2014/04/02 00:38",68
"88","2014/04/02 00:43",100
"89","2014/04/02 00:48",46
"90","2014/04/02 00:53",73
"91","2014/04/02 00:58",83
"92","2014/04/02 01:03",78
"93","2014/04/02 01:08",82
"94","2014/04/02 01:13",100
"95","2014/04/02 01:18",61
"96","2014/04/02 01:23",89
