LDEV_Rnd_Read_Hit_X724-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:1C X"
"1","2014/04/01 17:28",81
"2","2014/04/01 17:33",82
"3","2014/04/01 17:38",86
"4","2014/04/01 17:43",83
"5","2014/04/01 17:48",58
"6","2014/04/01 17:53",81
"7","2014/04/01 17:58",84
"8","2014/04/01 18:03",88
"9","2014/04/01 18:08",80
"10","2014/04/01 18:13",84
"11","2014/04/01 18:18",60
"12","2014/04/01 18:23",79
"13","2014/04/01 18:28",74
"14","2014/04/01 18:33",77
"15","2014/04/01 18:38",80
"16","2014/04/01 18:43",80
"17","2014/04/01 18:48",79
"18","2014/04/01 18:53",82
"19","2014/04/01 18:58",80
"20","2014/04/01 19:03",81
"21","2014/04/01 19:08",71
"22","2014/04/01 19:13",82
"23","2014/04/01 19:18",80
"24","2014/04/01 19:23",79
"25","2014/04/01 19:28",80
"26","2014/04/01 19:33",71
"27","2014/04/01 19:38",78
"28","2014/04/01 19:43",33
"29","2014/04/01 19:48",40
"30","2014/04/01 19:53",46
"31","2014/04/01 19:58",75
"32","2014/04/01 20:03",76
"33","2014/04/01 20:08",74
"34","2014/04/01 20:13",86
"35","2014/04/01 20:18",91
"36","2014/04/01 20:23",91
"37","2014/04/01 20:28",82
"38","2014/04/01 20:33",85
"39","2014/04/01 20:38",94
"40","2014/04/01 20:43",88
"41","2014/04/01 20:48",90
"42","2014/04/01 20:53",87
"43","2014/04/01 20:58",87
"44","2014/04/01 21:03",86
"45","2014/04/01 21:08",58
"46","2014/04/01 21:13",78
"47","2014/04/01 21:18",67
"48","2014/04/01 21:23",71
"49","2014/04/01 21:28",71
"50","2014/04/01 21:33",62
"51","2014/04/01 21:38",67
"52","2014/04/01 21:43",77
"53","2014/04/01 21:48",60
"54","2014/04/01 21:53",77
"55","2014/04/01 21:58",61
"56","2014/04/01 22:03",51
"57","2014/04/01 22:08",51
"58","2014/04/01 22:13",57
"59","2014/04/01 22:18",64
"60","2014/04/01 22:23",62
"61","2014/04/01 22:28",57
"62","2014/04/01 22:33",55
"63","2014/04/01 22:38",55
"64","2014/04/01 22:43",64
"65","2014/04/01 22:48",45
"66","2014/04/01 22:53",54
"67","2014/04/01 22:58",56
"68","2014/04/01 23:03",43
"69","2014/04/01 23:08",55
"70","2014/04/01 23:13",60
"71","2014/04/01 23:18",68
"72","2014/04/01 23:23",65
"73","2014/04/01 23:28",68
"74","2014/04/01 23:33",77
"75","2014/04/01 23:38",69
"76","2014/04/01 23:43",71
"77","2014/04/01 23:48",65
"78","2014/04/01 23:53",69
"79","2014/04/01 23:58",77
"80","2014/04/02 00:03",70
"81","2014/04/02 00:08",74
"82","2014/04/02 00:13",73
"83","2014/04/02 00:18",80
"84","2014/04/02 00:23",77
"85","2014/04/02 00:28",79
"86","2014/04/02 00:33",84
"87","2014/04/02 00:38",79
"88","2014/04/02 00:43",78
"89","2014/04/02 00:48",81
"90","2014/04/02 00:53",79
"91","2014/04/02 00:58",83
"92","2014/04/02 01:03",78
"93","2014/04/02 01:08",66
"94","2014/04/02 01:13",76
"95","2014/04/02 01:18",77
"96","2014/04/02 01:23",76
