LDEV_Rnd_Read_Hit_X731-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:11 X"
"1","2014/04/01 17:28",85
"2","2014/04/01 17:33",81
"3","2014/04/01 17:38",81
"4","2014/04/01 17:43",84
"5","2014/04/01 17:48",73
"6","2014/04/01 17:53",81
"7","2014/04/01 17:58",88
"8","2014/04/01 18:03",85
"9","2014/04/01 18:08",84
"10","2014/04/01 18:13",87
"11","2014/04/01 18:18",67
"12","2014/04/01 18:23",89
"13","2014/04/01 18:28",77
"14","2014/04/01 18:33",80
"15","2014/04/01 18:38",80
"16","2014/04/01 18:43",77
"17","2014/04/01 18:48",80
"18","2014/04/01 18:53",75
"19","2014/04/01 18:58",70
"20","2014/04/01 19:03",80
"21","2014/04/01 19:08",73
"22","2014/04/01 19:13",83
"23","2014/04/01 19:18",72
"24","2014/04/01 19:23",75
"25","2014/04/01 19:28",80
"26","2014/04/01 19:33",93
"27","2014/04/01 19:38",78
"28","2014/04/01 19:43",37
"29","2014/04/01 19:48",48
"30","2014/04/01 19:53",49
"31","2014/04/01 19:58",72
"32","2014/04/01 20:03",74
"33","2014/04/01 20:08",79
"34","2014/04/01 20:13",88
"35","2014/04/01 20:18",93
"36","2014/04/01 20:23",91
"37","2014/04/01 20:28",92
"38","2014/04/01 20:33",87
"39","2014/04/01 20:38",94
"40","2014/04/01 20:43",90
"41","2014/04/01 20:48",92
"42","2014/04/01 20:53",87
"43","2014/04/01 20:58",87
"44","2014/04/01 21:03",89
"45","2014/04/01 21:08",62
"46","2014/04/01 21:13",79
"47","2014/04/01 21:18",69
"48","2014/04/01 21:23",75
"49","2014/04/01 21:28",76
"50","2014/04/01 21:33",68
"51","2014/04/01 21:38",72
"52","2014/04/01 21:43",82
"53","2014/04/01 21:48",61
"54","2014/04/01 21:53",76
"55","2014/04/01 21:58",63
"56","2014/04/01 22:03",79
"57","2014/04/01 22:08",50
"58","2014/04/01 22:13",71
"59","2014/04/01 22:18",80
"60","2014/04/01 22:23",65
"61","2014/04/01 22:28",58
"62","2014/04/01 22:33",86
"63","2014/04/01 22:38",63
"64","2014/04/01 22:43",67
"65","2014/04/01 22:48",57
"66","2014/04/01 22:53",72
"67","2014/04/01 22:58",56
"68","2014/04/01 23:03",53
"69","2014/04/01 23:08",56
"70","2014/04/01 23:13",74
"71","2014/04/01 23:18",67
"72","2014/04/01 23:23",66
"73","2014/04/01 23:28",74
"74","2014/04/01 23:33",78
"75","2014/04/01 23:38",69
"76","2014/04/01 23:43",74
"77","2014/04/01 23:48",64
"78","2014/04/01 23:53",75
"79","2014/04/01 23:58",80
"80","2014/04/02 00:03",76
"81","2014/04/02 00:08",74
"82","2014/04/02 00:13",75
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",77
"85","2014/04/02 00:28",80
"86","2014/04/02 00:33",86
"87","2014/04/02 00:38",82
"88","2014/04/02 00:43",77
"89","2014/04/02 00:48",82
"90","2014/04/02 00:53",76
"91","2014/04/02 00:58",82
"92","2014/04/02 01:03",80
"93","2014/04/02 01:08",61
"94","2014/04/02 01:13",75
"95","2014/04/02 01:18",74
"96","2014/04/02 01:23",80
