LDEV_Rnd_Read_Hit_X741-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:5F X"
"1","2014/04/01 17:28",87
"2","2014/04/01 17:33",87
"3","2014/04/01 17:38",88
"4","2014/04/01 17:43",86
"5","2014/04/01 17:48",75
"6","2014/04/01 17:53",86
"7","2014/04/01 17:58",84
"8","2014/04/01 18:03",89
"9","2014/04/01 18:08",86
"10","2014/04/01 18:13",90
"11","2014/04/01 18:18",75
"12","2014/04/01 18:23",86
"13","2014/04/01 18:28",81
"14","2014/04/01 18:33",81
"15","2014/04/01 18:38",86
"16","2014/04/01 18:43",80
"17","2014/04/01 18:48",82
"18","2014/04/01 18:53",82
"19","2014/04/01 18:58",85
"20","2014/04/01 19:03",83
"21","2014/04/01 19:08",80
"22","2014/04/01 19:13",87
"23","2014/04/01 19:18",86
"24","2014/04/01 19:23",86
"25","2014/04/01 19:28",83
"26","2014/04/01 19:33",77
"27","2014/04/01 19:38",85
"28","2014/04/01 19:43",35
"29","2014/04/01 19:48",46
"30","2014/04/01 19:53",52
"31","2014/04/01 19:58",79
"32","2014/04/01 20:03",80
"33","2014/04/01 20:08",84
"34","2014/04/01 20:13",89
"35","2014/04/01 20:18",92
"36","2014/04/01 20:23",92
"37","2014/04/01 20:28",89
"38","2014/04/01 20:33",88
"39","2014/04/01 20:38",94
"40","2014/04/01 20:43",92
"41","2014/04/01 20:48",88
"42","2014/04/01 20:53",91
"43","2014/04/01 20:58",87
"44","2014/04/01 21:03",89
"45","2014/04/01 21:08",69
"46","2014/04/01 21:13",81
"47","2014/04/01 21:18",77
"48","2014/04/01 21:23",82
"49","2014/04/01 21:28",80
"50","2014/04/01 21:33",69
"51","2014/04/01 21:38",78
"52","2014/04/01 21:43",81
"53","2014/04/01 21:48",69
"54","2014/04/01 21:53",80
"55","2014/04/01 21:58",69
"56","2014/04/01 22:03",58
"57","2014/04/01 22:08",54
"58","2014/04/01 22:13",64
"59","2014/04/01 22:18",74
"60","2014/04/01 22:23",67
"61","2014/04/01 22:28",55
"62","2014/04/01 22:33",57
"63","2014/04/01 22:38",58
"64","2014/04/01 22:43",68
"65","2014/04/01 22:48",57
"66","2014/04/01 22:53",53
"67","2014/04/01 22:58",59
"68","2014/04/01 23:03",57
"69","2014/04/01 23:08",57
"70","2014/04/01 23:13",70
"71","2014/04/01 23:18",71
"72","2014/04/01 23:23",73
"73","2014/04/01 23:28",75
"74","2014/04/01 23:33",76
"75","2014/04/01 23:38",69
"76","2014/04/01 23:43",81
"77","2014/04/01 23:48",68
"78","2014/04/01 23:53",80
"79","2014/04/01 23:58",82
"80","2014/04/02 00:03",72
"81","2014/04/02 00:08",76
"82","2014/04/02 00:13",77
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",77
"85","2014/04/02 00:28",80
"86","2014/04/02 00:33",83
"87","2014/04/02 00:38",79
"88","2014/04/02 00:43",80
"89","2014/04/02 00:48",85
"90","2014/04/02 00:53",79
"91","2014/04/02 00:58",84
"92","2014/04/02 01:03",80
"93","2014/04/02 01:08",71
"94","2014/04/02 01:13",81
"95","2014/04/02 01:18",78
"96","2014/04/02 01:23",79
