LDEV_Rnd_Read_Hit_X825-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:0B X"
"1","2014/04/01 17:28",21
"2","2014/04/01 17:33",36
"3","2014/04/01 17:38",34
"4","2014/04/01 17:43",18
"5","2014/04/01 17:48",27
"6","2014/04/01 17:53",24
"7","2014/04/01 17:58",24
"8","2014/04/01 18:03",37
"9","2014/04/01 18:08",60
"10","2014/04/01 18:13",44
"11","2014/04/01 18:18",30
"12","2014/04/01 18:23",33
"13","2014/04/01 18:28",43
"14","2014/04/01 18:33",30
"15","2014/04/01 18:38",58
"16","2014/04/01 18:43",57
"17","2014/04/01 18:48",50
"18","2014/04/01 18:53",38
"19","2014/04/01 18:58",26
"20","2014/04/01 19:03",43
"21","2014/04/01 19:08",37
"22","2014/04/01 19:13",32
"23","2014/04/01 19:18",20
"24","2014/04/01 19:23",25
"25","2014/04/01 19:28",21
"26","2014/04/01 19:33",59
"27","2014/04/01 19:38",46
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",8
"30","2014/04/01 19:53",19
"31","2014/04/01 19:58",26
"32","2014/04/01 20:03",45
"33","2014/04/01 20:08",51
"34","2014/04/01 20:13",63
"35","2014/04/01 20:18",45
"36","2014/04/01 20:23",52
"37","2014/04/01 20:28",37
"38","2014/04/01 20:33",49
"39","2014/04/01 20:38",53
"40","2014/04/01 20:43",55
"41","2014/04/01 20:48",47
"42","2014/04/01 20:53",47
"43","2014/04/01 20:58",43
"44","2014/04/01 21:03",28
"45","2014/04/01 21:08",42
"46","2014/04/01 21:13",5
"47","2014/04/01 21:18",48
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",39
"50","2014/04/01 21:33",37
"51","2014/04/01 21:38",31
"52","2014/04/01 21:43",29
"53","2014/04/01 21:48",33
"54","2014/04/01 21:53",33
"55","2014/04/01 21:58",64
"56","2014/04/01 22:03",88
"57","2014/04/01 22:08",63
"58","2014/04/01 22:13",56
"59","2014/04/01 22:18",80
"60","2014/04/01 22:23",79
"61","2014/04/01 22:28",97
"62","2014/04/01 22:33",87
"63","2014/04/01 22:38",92
"64","2014/04/01 22:43",99
"65","2014/04/01 22:48",98
"66","2014/04/01 22:53",100
"67","2014/04/01 22:58",97
"68","2014/04/01 23:03",78
"69","2014/04/01 23:08",77
"70","2014/04/01 23:13",79
"71","2014/04/01 23:18",88
"72","2014/04/01 23:23",90
"73","2014/04/01 23:28",98
"74","2014/04/01 23:33",85
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",84
"77","2014/04/01 23:48",91
"78","2014/04/01 23:53",94
"79","2014/04/01 23:58",91
"80","2014/04/02 00:03",98
"81","2014/04/02 00:08",91
"82","2014/04/02 00:13",98
"83","2014/04/02 00:18",99
"84","2014/04/02 00:23",99
"85","2014/04/02 00:28",99
"86","2014/04/02 00:33",100
"87","2014/04/02 00:38",95
"88","2014/04/02 00:43",99
"89","2014/04/02 00:48",98
"90","2014/04/02 00:53",99
"91","2014/04/02 00:58",99
"92","2014/04/02 01:03",97
"93","2014/04/02 01:08",96
"94","2014/04/02 01:13",97
"95","2014/04/02 01:18",91
"96","2014/04/02 01:23",94
