LDEV_Rnd_Read_Hit_X84-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:2D X"
"1","2014/04/01 17:28",97
"2","2014/04/01 17:33",98
"3","2014/04/01 17:38",92
"4","2014/04/01 17:43",86
"5","2014/04/01 17:48",86
"6","2014/04/01 17:53",88
"7","2014/04/01 17:58",87
"8","2014/04/01 18:03",90
"9","2014/04/01 18:08",96
"10","2014/04/01 18:13",92
"11","2014/04/01 18:18",94
"12","2014/04/01 18:23",94
"13","2014/04/01 18:28",95
"14","2014/04/01 18:33",96
"15","2014/04/01 18:38",98
"16","2014/04/01 18:43",93
"17","2014/04/01 18:48",85
"18","2014/04/01 18:53",94
"19","2014/04/01 18:58",93
"20","2014/04/01 19:03",88
"21","2014/04/01 19:08",82
"22","2014/04/01 19:13",98
"23","2014/04/01 19:18",86
"24","2014/04/01 19:23",81
"25","2014/04/01 19:28",94
"26","2014/04/01 19:33",91
"27","2014/04/01 19:38",97
"28","2014/04/01 19:43",94
"29","2014/04/01 19:48",97
"30","2014/04/01 19:53",98
"31","2014/04/01 19:58",96
"32","2014/04/01 20:03",79
"33","2014/04/01 20:08",95
"34","2014/04/01 20:13",93
"35","2014/04/01 20:18",87
"36","2014/04/01 20:23",96
"37","2014/04/01 20:28",95
"38","2014/04/01 20:33",97
"39","2014/04/01 20:38",98
"40","2014/04/01 20:43",89
"41","2014/04/01 20:48",97
"42","2014/04/01 20:53",91
"43","2014/04/01 20:58",91
"44","2014/04/01 21:03",83
"45","2014/04/01 21:08",88
"46","2014/04/01 21:13",85
"47","2014/04/01 21:18",98
"48","2014/04/01 21:23",84
"49","2014/04/01 21:28",94
"50","2014/04/01 21:33",85
"51","2014/04/01 21:38",93
"52","2014/04/01 21:43",94
"53","2014/04/01 21:48",92
"54","2014/04/01 21:53",96
"55","2014/04/01 21:58",97
"56","2014/04/01 22:03",82
"57","2014/04/01 22:08",84
"58","2014/04/01 22:13",93
"59","2014/04/01 22:18",97
"60","2014/04/01 22:23",95
"61","2014/04/01 22:28",97
"62","2014/04/01 22:33",86
"63","2014/04/01 22:38",95
"64","2014/04/01 22:43",97
"65","2014/04/01 22:48",93
"66","2014/04/01 22:53",95
"67","2014/04/01 22:58",96
"68","2014/04/01 23:03",92
"69","2014/04/01 23:08",99
"70","2014/04/01 23:13",83
"71","2014/04/01 23:18",88
"72","2014/04/01 23:23",86
"73","2014/04/01 23:28",81
"74","2014/04/01 23:33",93
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",85
"77","2014/04/01 23:48",90
"78","2014/04/01 23:53",89
"79","2014/04/01 23:58",93
"80","2014/04/02 00:03",98
"81","2014/04/02 00:08",92
"82","2014/04/02 00:13",89
"83","2014/04/02 00:18",96
"84","2014/04/02 00:23",71
"85","2014/04/02 00:28",94
"86","2014/04/02 00:33",96
"87","2014/04/02 00:38",87
"88","2014/04/02 00:43",94
"89","2014/04/02 00:48",89
"90","2014/04/02 00:53",97
"91","2014/04/02 00:58",85
"92","2014/04/02 01:03",87
"93","2014/04/02 01:08",85
"94","2014/04/02 01:13",94
"95","2014/04/02 01:18",93
"96","2014/04/02 01:23",90
