LDEV_Rnd_Read_IOPS_X15-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:0D X"
"1","2014/04/01 17:28",123
"2","2014/04/01 17:33",123
"3","2014/04/01 17:38",120
"4","2014/04/01 17:43",124
"5","2014/04/01 17:48",156
"6","2014/04/01 17:53",128
"7","2014/04/01 17:58",139
"8","2014/04/01 18:03",192
"9","2014/04/01 18:08",167
"10","2014/04/01 18:13",145
"11","2014/04/01 18:18",157
"12","2014/04/01 18:23",206
"13","2014/04/01 18:28",235
"14","2014/04/01 18:33",229
"15","2014/04/01 18:38",187
"16","2014/04/01 18:43",202
"17","2014/04/01 18:48",220
"18","2014/04/01 18:53",81
"19","2014/04/01 18:58",82
"20","2014/04/01 19:03",99
"21","2014/04/01 19:08",112
"22","2014/04/01 19:13",124
"23","2014/04/01 19:18",99
"24","2014/04/01 19:23",138
"25","2014/04/01 19:28",136
"26","2014/04/01 19:33",154
"27","2014/04/01 19:38",117
"28","2014/04/01 19:43",129
"29","2014/04/01 19:48",140
"30","2014/04/01 19:53",139
"31","2014/04/01 19:58",228
"32","2014/04/01 20:03",210
"33","2014/04/01 20:08",107
"34","2014/04/01 20:13",79
"35","2014/04/01 20:18",74
"36","2014/04/01 20:23",114
"37","2014/04/01 20:28",183
"38","2014/04/01 20:33",89
"39","2014/04/01 20:38",71
"40","2014/04/01 20:43",94
"41","2014/04/01 20:48",108
"42","2014/04/01 20:53",87
"43","2014/04/01 20:58",84
"44","2014/04/01 21:03",103
"45","2014/04/01 21:08",89
"46","2014/04/01 21:13",102
"47","2014/04/01 21:18",82
"48","2014/04/01 21:23",84
"49","2014/04/01 21:28",89
"50","2014/04/01 21:33",110
"51","2014/04/01 21:38",127
"52","2014/04/01 21:43",143
"53","2014/04/01 21:48",127
"54","2014/04/01 21:53",94
"55","2014/04/01 21:58",78
"56","2014/04/01 22:03",114
"57","2014/04/01 22:08",93
"58","2014/04/01 22:13",95
"59","2014/04/01 22:18",98
"60","2014/04/01 22:23",82
"61","2014/04/01 22:28",85
"62","2014/04/01 22:33",87
"63","2014/04/01 22:38",71
"64","2014/04/01 22:43",82
"65","2014/04/01 22:48",102
"66","2014/04/01 22:53",77
"67","2014/04/01 22:58",166
"68","2014/04/01 23:03",93
"69","2014/04/01 23:08",73
"70","2014/04/01 23:13",84
"71","2014/04/01 23:18",68
"72","2014/04/01 23:23",87
"73","2014/04/01 23:28",74
"74","2014/04/01 23:33",138
"75","2014/04/01 23:38",131
"76","2014/04/01 23:43",140
"77","2014/04/01 23:48",199
"78","2014/04/01 23:53",207
"79","2014/04/01 23:58",194
"80","2014/04/02 00:03",158
"81","2014/04/02 00:08",106
"82","2014/04/02 00:13",92
"83","2014/04/02 00:18",119
"84","2014/04/02 00:23",115
"85","2014/04/02 00:28",207
"86","2014/04/02 00:33",190
"87","2014/04/02 00:38",179
"88","2014/04/02 00:43",238
"89","2014/04/02 00:48",271
"90","2014/04/02 00:53",232
"91","2014/04/02 00:58",258
"92","2014/04/02 01:03",212
"93","2014/04/02 01:08",170
"94","2014/04/02 01:13",223
"95","2014/04/02 01:18",166
"96","2014/04/02 01:23",239
