LDEV_Rnd_Read_IOPS_X284-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:12 X"
"1","2014/04/01 17:28",7
"2","2014/04/01 17:33",7
"3","2014/04/01 17:38",7
"4","2014/04/01 17:43",8
"5","2014/04/01 17:48",9
"6","2014/04/01 17:53",16
"7","2014/04/01 17:58",7
"8","2014/04/01 18:03",14
"9","2014/04/01 18:08",7
"10","2014/04/01 18:13",7
"11","2014/04/01 18:18",8
"12","2014/04/01 18:23",9
"13","2014/04/01 18:28",7
"14","2014/04/01 18:33",7
"15","2014/04/01 18:38",7
"16","2014/04/01 18:43",16
"17","2014/04/01 18:48",8
"18","2014/04/01 18:53",10
"19","2014/04/01 18:58",7
"20","2014/04/01 19:03",15
"21","2014/04/01 19:08",7
"22","2014/04/01 19:13",7
"23","2014/04/01 19:18",10
"24","2014/04/01 19:23",8
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",8
"27","2014/04/01 19:38",8
"28","2014/04/01 19:43",7
"29","2014/04/01 19:48",10
"30","2014/04/01 19:53",17
"31","2014/04/01 19:58",8
"32","2014/04/01 20:03",17
"33","2014/04/01 20:08",7
"34","2014/04/01 20:13",7
"35","2014/04/01 20:18",8
"36","2014/04/01 20:23",9
"37","2014/04/01 20:28",8
"38","2014/04/01 20:33",11
"39","2014/04/01 20:38",13
"40","2014/04/01 20:43",6
"41","2014/04/01 20:48",10
"42","2014/04/01 20:53",12
"43","2014/04/01 20:58",11
"44","2014/04/01 21:03",16
"45","2014/04/01 21:08",9
"46","2014/04/01 21:13",8
"47","2014/04/01 21:18",9
"48","2014/04/01 21:23",10
"49","2014/04/01 21:28",7
"50","2014/04/01 21:33",9
"51","2014/04/01 21:38",8
"52","2014/04/01 21:43",8
"53","2014/04/01 21:48",7
"54","2014/04/01 21:53",16
"55","2014/04/01 21:58",12
"56","2014/04/01 22:03",25
"57","2014/04/01 22:08",18
"58","2014/04/01 22:13",18
"59","2014/04/01 22:18",19
"60","2014/04/01 22:23",16
"61","2014/04/01 22:28",12
"62","2014/04/01 22:33",13
"63","2014/04/01 22:38",13
"64","2014/04/01 22:43",20
"65","2014/04/01 22:48",14
"66","2014/04/01 22:53",16
"67","2014/04/01 22:58",17
"68","2014/04/01 23:03",22
"69","2014/04/01 23:08",17
"70","2014/04/01 23:13",18
"71","2014/04/01 23:18",17
"72","2014/04/01 23:23",18
"73","2014/04/01 23:28",14
"74","2014/04/01 23:33",12
"75","2014/04/01 23:38",13
"76","2014/04/01 23:43",12
"77","2014/04/01 23:48",12
"78","2014/04/01 23:53",19
"79","2014/04/01 23:58",11
"80","2014/04/02 00:03",18
"81","2014/04/02 00:08",10
"82","2014/04/02 00:13",18
"83","2014/04/02 00:18",9
"84","2014/04/02 00:23",10
"85","2014/04/02 00:28",9
"86","2014/04/02 00:33",8
"87","2014/04/02 00:38",7
"88","2014/04/02 00:43",7
"89","2014/04/02 00:48",8
"90","2014/04/02 00:53",9
"91","2014/04/02 00:58",10
"92","2014/04/02 01:03",19
"93","2014/04/02 01:08",9
"94","2014/04/02 01:13",8
"95","2014/04/02 01:18",10
"96","2014/04/02 01:23",10
