LDEV_Rnd_Read_IOPS_X471-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:0F X"
"1","2014/04/01 17:28",4
"2","2014/04/01 17:33",3
"3","2014/04/01 17:38",3
"4","2014/04/01 17:43",4
"5","2014/04/01 17:48",3
"6","2014/04/01 17:53",3
"7","2014/04/01 17:58",4
"8","2014/04/01 18:03",3
"9","2014/04/01 18:08",3
"10","2014/04/01 18:13",4
"11","2014/04/01 18:18",4
"12","2014/04/01 18:23",3
"13","2014/04/01 18:28",3
"14","2014/04/01 18:33",4
"15","2014/04/01 18:38",3
"16","2014/04/01 18:43",3
"17","2014/04/01 18:48",4
"18","2014/04/01 18:53",3
"19","2014/04/01 18:58",4
"20","2014/04/01 19:03",3
"21","2014/04/01 19:08",4
"22","2014/04/01 19:13",3
"23","2014/04/01 19:18",4
"24","2014/04/01 19:23",3
"25","2014/04/01 19:28",4
"26","2014/04/01 19:33",4
"27","2014/04/01 19:38",3
"28","2014/04/01 19:43",4
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",3
"32","2014/04/01 20:03",3
"33","2014/04/01 20:08",3
"34","2014/04/01 20:13",4
"35","2014/04/01 20:18",4
"36","2014/04/01 20:23",4
"37","2014/04/01 20:28",4
"38","2014/04/01 20:33",4
"39","2014/04/01 20:38",3
"40","2014/04/01 20:43",4
"41","2014/04/01 20:48",4
"42","2014/04/01 20:53",3
"43","2014/04/01 20:58",4
"44","2014/04/01 21:03",4
"45","2014/04/01 21:08",3
"46","2014/04/01 21:13",4
"47","2014/04/01 21:18",3
"48","2014/04/01 21:23",4
"49","2014/04/01 21:28",3
"50","2014/04/01 21:33",3
"51","2014/04/01 21:38",3
"52","2014/04/01 21:43",3
"53","2014/04/01 21:48",4
"54","2014/04/01 21:53",3
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",4
"57","2014/04/01 22:08",3
"58","2014/04/01 22:13",3
"59","2014/04/01 22:18",3
"60","2014/04/01 22:23",4
"61","2014/04/01 22:28",3
"62","2014/04/01 22:33",3
"63","2014/04/01 22:38",4
"64","2014/04/01 22:43",4
"65","2014/04/01 22:48",3
"66","2014/04/01 22:53",3
"67","2014/04/01 22:58",3
"68","2014/04/01 23:03",3
"69","2014/04/01 23:08",3
"70","2014/04/01 23:13",3
"71","2014/04/01 23:18",3
"72","2014/04/01 23:23",3
"73","2014/04/01 23:28",3
"74","2014/04/01 23:33",3
"75","2014/04/01 23:38",3
"76","2014/04/01 23:43",4
"77","2014/04/01 23:48",3
"78","2014/04/01 23:53",3
"79","2014/04/01 23:58",3
"80","2014/04/02 00:03",3
"81","2014/04/02 00:08",4
"82","2014/04/02 00:13",3
"83","2014/04/02 00:18",4
"84","2014/04/02 00:23",3
"85","2014/04/02 00:28",3
"86","2014/04/02 00:33",4
"87","2014/04/02 00:38",3
"88","2014/04/02 00:43",3
"89","2014/04/02 00:48",3
"90","2014/04/02 00:53",3
"91","2014/04/02 00:58",3
"92","2014/04/02 01:03",3
"93","2014/04/02 01:08",4
"94","2014/04/02 01:13",3
"95","2014/04/02 01:18",3
"96","2014/04/02 01:23",4
