LDEV_Rnd_Read_IOPS_X485-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:68 X"
"1","2014/04/01 17:28",109
"2","2014/04/01 17:33",120
"3","2014/04/01 17:38",114
"4","2014/04/01 17:43",123
"5","2014/04/01 17:48",149
"6","2014/04/01 17:53",133
"7","2014/04/01 17:58",143
"8","2014/04/01 18:03",187
"9","2014/04/01 18:08",157
"10","2014/04/01 18:13",136
"11","2014/04/01 18:18",142
"12","2014/04/01 18:23",192
"13","2014/04/01 18:28",222
"14","2014/04/01 18:33",227
"15","2014/04/01 18:38",179
"16","2014/04/01 18:43",193
"17","2014/04/01 18:48",226
"18","2014/04/01 18:53",78
"19","2014/04/01 18:58",82
"20","2014/04/01 19:03",90
"21","2014/04/01 19:08",104
"22","2014/04/01 19:13",116
"23","2014/04/01 19:18",90
"24","2014/04/01 19:23",130
"25","2014/04/01 19:28",135
"26","2014/04/01 19:33",149
"27","2014/04/01 19:38",110
"28","2014/04/01 19:43",119
"29","2014/04/01 19:48",142
"30","2014/04/01 19:53",149
"31","2014/04/01 19:58",213
"32","2014/04/01 20:03",206
"33","2014/04/01 20:08",99
"34","2014/04/01 20:13",71
"35","2014/04/01 20:18",66
"36","2014/04/01 20:23",103
"37","2014/04/01 20:28",142
"38","2014/04/01 20:33",79
"39","2014/04/01 20:38",63
"40","2014/04/01 20:43",88
"41","2014/04/01 20:48",97
"42","2014/04/01 20:53",75
"43","2014/04/01 20:58",81
"44","2014/04/01 21:03",104
"45","2014/04/01 21:08",81
"46","2014/04/01 21:13",105
"47","2014/04/01 21:18",90
"48","2014/04/01 21:23",74
"49","2014/04/01 21:28",83
"50","2014/04/01 21:33",104
"51","2014/04/01 21:38",120
"52","2014/04/01 21:43",151
"53","2014/04/01 21:48",123
"54","2014/04/01 21:53",102
"55","2014/04/01 21:58",81
"56","2014/04/01 22:03",106
"57","2014/04/01 22:08",90
"58","2014/04/01 22:13",102
"59","2014/04/01 22:18",131
"60","2014/04/01 22:23",91
"61","2014/04/01 22:28",87
"62","2014/04/01 22:33",88
"63","2014/04/01 22:38",62
"64","2014/04/01 22:43",78
"65","2014/04/01 22:48",95
"66","2014/04/01 22:53",67
"67","2014/04/01 22:58",143
"68","2014/04/01 23:03",85
"69","2014/04/01 23:08",76
"70","2014/04/01 23:13",84
"71","2014/04/01 23:18",69
"72","2014/04/01 23:23",76
"73","2014/04/01 23:28",66
"74","2014/04/01 23:33",129
"75","2014/04/01 23:38",125
"76","2014/04/01 23:43",133
"77","2014/04/01 23:48",187
"78","2014/04/01 23:53",199
"79","2014/04/01 23:58",190
"80","2014/04/02 00:03",173
"81","2014/04/02 00:08",119
"82","2014/04/02 00:13",83
"83","2014/04/02 00:18",117
"84","2014/04/02 00:23",135
"85","2014/04/02 00:28",192
"86","2014/04/02 00:33",178
"87","2014/04/02 00:38",178
"88","2014/04/02 00:43",229
"89","2014/04/02 00:48",274
"90","2014/04/02 00:53",237
"91","2014/04/02 00:58",261
"92","2014/04/02 01:03",203
"93","2014/04/02 01:08",166
"94","2014/04/02 01:13",216
"95","2014/04/02 01:18",166
"96","2014/04/02 01:23",167
