LDEV_Rnd_Read_IOPS_X726-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:10 X"
"1","2014/04/01 17:28",60
"2","2014/04/01 17:33",60
"3","2014/04/01 17:38",59
"4","2014/04/01 17:43",59
"5","2014/04/01 17:48",56
"6","2014/04/01 17:53",59
"7","2014/04/01 17:58",56
"8","2014/04/01 18:03",60
"9","2014/04/01 18:08",57
"10","2014/04/01 18:13",59
"11","2014/04/01 18:18",57
"12","2014/04/01 18:23",61
"13","2014/04/01 18:28",59
"14","2014/04/01 18:33",59
"15","2014/04/01 18:38",60
"16","2014/04/01 18:43",61
"17","2014/04/01 18:48",58
"18","2014/04/01 18:53",60
"19","2014/04/01 18:58",58
"20","2014/04/01 19:03",60
"21","2014/04/01 19:08",59
"22","2014/04/01 19:13",61
"23","2014/04/01 19:18",60
"24","2014/04/01 19:23",60
"25","2014/04/01 19:28",59
"26","2014/04/01 19:33",59
"27","2014/04/01 19:38",62
"28","2014/04/01 19:43",57
"29","2014/04/01 19:48",57
"30","2014/04/01 19:53",59
"31","2014/04/01 19:58",62
"32","2014/04/01 20:03",61
"33","2014/04/01 20:08",60
"34","2014/04/01 20:13",60
"35","2014/04/01 20:18",60
"36","2014/04/01 20:23",60
"37","2014/04/01 20:28",60
"38","2014/04/01 20:33",60
"39","2014/04/01 20:38",60
"40","2014/04/01 20:43",61
"41","2014/04/01 20:48",60
"42","2014/04/01 20:53",61
"43","2014/04/01 20:58",60
"44","2014/04/01 21:03",63
"45","2014/04/01 21:08",58
"46","2014/04/01 21:13",59
"47","2014/04/01 21:18",59
"48","2014/04/01 21:23",59
"49","2014/04/01 21:28",58
"50","2014/04/01 21:33",59
"51","2014/04/01 21:38",59
"52","2014/04/01 21:43",60
"53","2014/04/01 21:48",58
"54","2014/04/01 21:53",60
"55","2014/04/01 21:58",60
"56","2014/04/01 22:03",62
"57","2014/04/01 22:08",59
"58","2014/04/01 22:13",63
"59","2014/04/01 22:18",62
"60","2014/04/01 22:23",65
"61","2014/04/01 22:28",60
"62","2014/04/01 22:33",61
"63","2014/04/01 22:38",63
"64","2014/04/01 22:43",63
"65","2014/04/01 22:48",62
"66","2014/04/01 22:53",62
"67","2014/04/01 22:58",64
"68","2014/04/01 23:03",61
"69","2014/04/01 23:08",61
"70","2014/04/01 23:13",59
"71","2014/04/01 23:18",61
"72","2014/04/01 23:23",61
"73","2014/04/01 23:28",60
"74","2014/04/01 23:33",59
"75","2014/04/01 23:38",57
"76","2014/04/01 23:43",56
"77","2014/04/01 23:48",63
"78","2014/04/01 23:53",62
"79","2014/04/01 23:58",61
"80","2014/04/02 00:03",60
"81","2014/04/02 00:08",60
"82","2014/04/02 00:13",58
"83","2014/04/02 00:18",60
"84","2014/04/02 00:23",59
"85","2014/04/02 00:28",60
"86","2014/04/02 00:33",63
"87","2014/04/02 00:38",63
"88","2014/04/02 00:43",64
"89","2014/04/02 00:48",65
"90","2014/04/02 00:53",59
"91","2014/04/02 00:58",61
"92","2014/04/02 01:03",64
"93","2014/04/02 01:08",59
"94","2014/04/02 01:13",63
"95","2014/04/02 01:18",61
"96","2014/04/02 01:23",60
