LDEV_Rnd_Read_IOPS_X847-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:1E X"
"1","2014/04/01 17:28",35
"2","2014/04/01 17:33",39
"3","2014/04/01 17:38",37
"4","2014/04/01 17:43",41
"5","2014/04/01 17:48",40
"6","2014/04/01 17:53",47
"7","2014/04/01 17:58",37
"8","2014/04/01 18:03",41
"9","2014/04/01 18:08",41
"10","2014/04/01 18:13",43
"11","2014/04/01 18:18",48
"12","2014/04/01 18:23",38
"13","2014/04/01 18:28",47
"14","2014/04/01 18:33",44
"15","2014/04/01 18:38",38
"16","2014/04/01 18:43",41
"17","2014/04/01 18:48",43
"18","2014/04/01 18:53",45
"19","2014/04/01 18:58",42
"20","2014/04/01 19:03",40
"21","2014/04/01 19:08",45
"22","2014/04/01 19:13",47
"23","2014/04/01 19:18",47
"24","2014/04/01 19:23",41
"25","2014/04/01 19:28",38
"26","2014/04/01 19:33",46
"27","2014/04/01 19:38",39
"28","2014/04/01 19:43",38
"29","2014/04/01 19:48",43
"30","2014/04/01 19:53",39
"31","2014/04/01 19:58",40
"32","2014/04/01 20:03",43
"33","2014/04/01 20:08",46
"34","2014/04/01 20:13",42
"35","2014/04/01 20:18",42
"36","2014/04/01 20:23",41
"37","2014/04/01 20:28",38
"38","2014/04/01 20:33",36
"39","2014/04/01 20:38",38
"40","2014/04/01 20:43",43
"41","2014/04/01 20:48",42
"42","2014/04/01 20:53",35
"43","2014/04/01 20:58",46
"44","2014/04/01 21:03",34
"45","2014/04/01 21:08",32
"46","2014/04/01 21:13",35
"47","2014/04/01 21:18",28
"48","2014/04/01 21:23",29
"49","2014/04/01 21:28",36
"50","2014/04/01 21:33",40
"51","2014/04/01 21:38",25
"52","2014/04/01 21:43",28
"53","2014/04/01 21:48",30
"54","2014/04/01 21:53",30
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",2
"57","2014/04/01 22:08",4
"58","2014/04/01 22:13",2
"59","2014/04/01 22:18",1
"60","2014/04/01 22:23",1
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",4
"63","2014/04/01 22:38",6
"64","2014/04/01 22:43",8
"65","2014/04/01 22:48",6
"66","2014/04/01 22:53",7
"67","2014/04/01 22:58",8
"68","2014/04/01 23:03",9
"69","2014/04/01 23:08",12
"70","2014/04/01 23:13",10
"71","2014/04/01 23:18",6
"72","2014/04/01 23:23",6
"73","2014/04/01 23:28",8
"74","2014/04/01 23:33",6
"75","2014/04/01 23:38",9
"76","2014/04/01 23:43",13
"77","2014/04/01 23:48",9
"78","2014/04/01 23:53",12
"79","2014/04/01 23:58",7
"80","2014/04/02 00:03",8
"81","2014/04/02 00:08",10
"82","2014/04/02 00:13",8
"83","2014/04/02 00:18",6
"84","2014/04/02 00:23",8
"85","2014/04/02 00:28",7
"86","2014/04/02 00:33",9
"87","2014/04/02 00:38",7
"88","2014/04/02 00:43",6
"89","2014/04/02 00:48",7
"90","2014/04/02 00:53",5
"91","2014/04/02 00:58",8
"92","2014/04/02 01:03",7
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",13
"95","2014/04/02 01:18",11
"96","2014/04/02 01:23",9
