LDEV_Rnd_Write_Hit_1-14.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:0B","00:01:0C","00:01:0D","00:01:0E","00:01:0F","00:01:10","00:01:11","00:01:12","00:01:13","00:01:14","00:01:15","00:20:1A","00:20:1B","00:AB:0C"
"1","2014/04/01 17:28",100,98,100,100,98,96,0,100,100,100,0,98,86,0
"2","2014/04/01 17:33",100,99,100,66,86,83,100,76,80,99,0,98,100,0
"3","2014/04/01 17:38",100,99,100,100,97,100,100,100,100,99,0,99,100,0
"4","2014/04/01 17:43",100,99,75,100,94,100,100,92,83,100,0,98,90,0
"5","2014/04/01 17:48",91,98,100,80,84,80,100,100,100,99,0,98,95,0
"6","2014/04/01 17:53",100,97,100,100,82,89,100,78,100,99,0,96,98,0
"7","2014/04/01 17:58",92,99,100,100,97,100,100,100,100,99,0,96,92,0
"8","2014/04/01 18:03",0,96,100,100,91,96,0,77,100,100,0,98,95,0
"9","2014/04/01 18:08",50,99,71,100,97,87,75,75,83,100,0,97,97,0
"10","2014/04/01 18:13",72,99,100,100,84,95,100,100,100,100,0,94,83,0
"11","2014/04/01 18:18",100,99,100,100,100,83,100,94,100,99,0,98,100,0
"12","2014/04/01 18:23",81,99,100,100,91,92,100,100,100,99,0,98,96,0
"13","2014/04/01 18:28",100,98,100,75,100,100,100,100,100,85,0,97,92,0
"14","2014/04/01 18:33",100,99,66,100,90,100,100,87,100,71,100,98,100,0
"15","2014/04/01 18:38",33,98,100,57,96,81,100,100,100,83,0,96,93,0
"16","2014/04/01 18:43",100,99,66,100,91,96,100,100,100,100,0,96,84,0
"17","2014/04/01 18:48",62,99,100,100,100,92,0,100,100,100,0,97,98,0
"18","2014/04/01 18:53",100,99,100,100,73,100,100,61,100,59,0,98,95,0
"19","2014/04/01 18:58",100,98,0,80,96,88,0,100,100,71,0,98,100,0
"20","2014/04/01 19:03",83,98,20,75,83,91,90,70,100,62,0,98,96,0
"21","2014/04/01 19:08",77,99,75,100,96,98,100,50,100,80,0,97,97,0
"22","2014/04/01 19:13",100,99,100,100,76,86,100,75,100,83,0,97,93,0
"23","2014/04/01 19:18",84,94,82,79,81,83,76,75,73,61,58,98,98,0
"24","2014/04/01 19:23",94,95,93,95,90,85,78,85,86,73,71,98,98,0
