LDEV_Rnd_Write_Hit_13-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:B9","00:3A:9D","00:3A:9E","00:3A:9F","00:3A:A0","00:4A:1E","00:4A:1F","00:4A:20","00:5D:01","00:5D:02","00:5D:03","00:5D:04","00:5D:05","00:5D:06"
"1","2014/04/01 17:28",0,89,0,0,70,50,0,0,0,0,0,0,0,0
"2","2014/04/01 17:33",0,85,0,0,67,0,0,0,0,0,0,0,0,0
"3","2014/04/01 17:38",0,88,0,0,65,50,71,0,0,0,0,0,0,0
"4","2014/04/01 17:43",0,90,0,0,81,0,0,0,0,0,0,0,0,0
"5","2014/04/01 17:48",0,88,0,0,73,0,71,0,0,0,0,0,0,0
"6","2014/04/01 17:53",0,92,0,0,67,50,0,0,0,0,0,0,0,0
"7","2014/04/01 17:58",0,96,0,0,78,50,50,0,0,0,0,0,0,0
"8","2014/04/01 18:03",0,90,0,0,74,0,70,0,0,0,0,0,0,0
"9","2014/04/01 18:08",0,83,0,0,70,0,70,0,0,0,0,0,0,0
"10","2014/04/01 18:13",0,95,0,0,81,50,0,0,0,0,0,0,0,0
"11","2014/04/01 18:18",0,91,0,0,81,93,75,0,0,0,0,0,0,0
"12","2014/04/01 18:23",0,95,0,0,76,0,0,0,0,0,0,0,0,0
"13","2014/04/01 18:28",0,92,0,0,66,50,0,0,0,0,0,0,0,0
"14","2014/04/01 18:33",0,94,0,0,70,92,70,0,0,0,0,0,0,0
"15","2014/04/01 18:38",0,90,0,0,73,50,0,0,0,0,0,0,0,0
"16","2014/04/01 18:43",0,87,0,0,76,0,0,0,0,0,0,0,0,0
"17","2014/04/01 18:48",0,86,0,0,76,0,65,0,0,0,0,0,0,0
"18","2014/04/01 18:53",0,90,0,0,70,50,0,0,0,0,0,0,0,0
"19","2014/04/01 18:58",0,95,0,0,51,93,66,0,0,0,0,0,0,0
"20","2014/04/01 19:03",0,88,0,0,76,0,69,0,0,0,0,0,0,0
"21","2014/04/01 19:08",0,85,0,0,77,0,0,0,0,0,0,0,0,0
"22","2014/04/01 19:13",0,89,0,0,73,50,70,0,0,0,0,0,0,0
"23","2014/04/01 19:18",0,93,0,0,68,0,0,0,0,0,0,0,0,0
"24","2014/04/01 19:23",0,86,0,0,68,0,0,0,0,0,0,0,0,0
"25","2014/04/01 19:28",0,86,0,0,84,50,70,0,0,0,0,0,0,0
"26","2014/04/01 19:33",0,80,0,0,58,0,0,0,0,0,0,0,0,0
"27","2014/04/01 19:38",0,95,0,0,73,80,0,0,0,0,0,0,0,0
"28","2014/04/01 19:43",0,87,0,0,82,95,70,0,66,0,0,42,0,0
"29","2014/04/01 19:48",0,84,0,0,85,92,76,0,0,0,0,0,0,0
"30","2014/04/01 19:53",0,89,0,0,50,88,68,0,0,0,0,0,67,0
"31","2014/04/01 19:58",0,92,0,0,70,50,69,0,0,0,0,0,0,0
"32","2014/04/01 20:03",0,90,0,0,59,0,66,0,0,0,0,0,0,0
"33","2014/04/01 20:08",0,90,0,0,71,0,71,0,0,0,0,0,0,0
"34","2014/04/01 20:13",0,87,0,0,70,50,68,0,0,0,0,0,0,0
"35","2014/04/01 20:18",0,93,0,0,70,0,74,0,0,0,0,0,0,0
"36","2014/04/01 20:23",0,89,0,0,70,0,74,0,0,0,0,0,0,0
"37","2014/04/01 20:28",0,90,0,0,70,66,75,0,0,0,0,0,65,0
"38","2014/04/01 20:33",0,89,0,0,77,0,72,0,0,0,0,0,0,0
"39","2014/04/01 20:38",0,93,0,0,70,50,80,0,0,0,0,0,69,0
"40","2014/04/01 20:43",0,92,0,0,62,0,73,0,0,0,0,0,74,0
"41","2014/04/01 20:48",0,95,0,0,70,0,85,0,0,0,0,0,80,0
