LDEV_Rnd_Write_Hit_X221-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:10:0D X"
"1","2014/04/01 17:28",87
"2","2014/04/01 17:33",72
"3","2014/04/01 17:38",44
"4","2014/04/01 17:43",88
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",14
"7","2014/04/01 17:58",60
"8","2014/04/01 18:03",80
"9","2014/04/01 18:08",66
"10","2014/04/01 18:13",83
"11","2014/04/01 18:18",70
"12","2014/04/01 18:23",91
"13","2014/04/01 18:28",59
"14","2014/04/01 18:33",90
"15","2014/04/01 18:38",80
"16","2014/04/01 18:43",60
"17","2014/04/01 18:48",68
"18","2014/04/01 18:53",78
"19","2014/04/01 18:58",88
"20","2014/04/01 19:03",61
"21","2014/04/01 19:08",46
"22","2014/04/01 19:13",76
"23","2014/04/01 19:18",77
"24","2014/04/01 19:23",72
"25","2014/04/01 19:28",94
"26","2014/04/01 19:33",66
"27","2014/04/01 19:38",83
"28","2014/04/01 19:43",50
"29","2014/04/01 19:48",30
"30","2014/04/01 19:53",52
"31","2014/04/01 19:58",78
"32","2014/04/01 20:03",55
"33","2014/04/01 20:08",50
"34","2014/04/01 20:13",73
"35","2014/04/01 20:18",69
"36","2014/04/01 20:23",91
"37","2014/04/01 20:28",66
"38","2014/04/01 20:33",66
"39","2014/04/01 20:38",75
"40","2014/04/01 20:43",92
"41","2014/04/01 20:48",76
"42","2014/04/01 20:53",81
"43","2014/04/01 20:58",92
"44","2014/04/01 21:03",35
"45","2014/04/01 21:08",22
"46","2014/04/01 21:13",85
"47","2014/04/01 21:18",60
"48","2014/04/01 21:23",47
"49","2014/04/01 21:28",56
"50","2014/04/01 21:33",50
"51","2014/04/01 21:38",78
"52","2014/04/01 21:43",88
"53","2014/04/01 21:48",64
"54","2014/04/01 21:53",46
"55","2014/04/01 21:58",46
"56","2014/04/01 22:03",68
"57","2014/04/01 22:08",0
"58","2014/04/01 22:13",46
"59","2014/04/01 22:18",72
"60","2014/04/01 22:23",50
"61","2014/04/01 22:28",91
"62","2014/04/01 22:33",10
"63","2014/04/01 22:38",25
"64","2014/04/01 22:43",83
"65","2014/04/01 22:48",58
"66","2014/04/01 22:53",18
"67","2014/04/01 22:58",37
"68","2014/04/01 23:03",25
"69","2014/04/01 23:08",27
"70","2014/04/01 23:13",40
"71","2014/04/01 23:18",16
"72","2014/04/01 23:23",25
"73","2014/04/01 23:28",53
"74","2014/04/01 23:33",10
"75","2014/04/01 23:38",15
"76","2014/04/01 23:43",63
"77","2014/04/01 23:48",43
"78","2014/04/01 23:53",25
"79","2014/04/01 23:58",47
"80","2014/04/02 00:03",21
"81","2014/04/02 00:08",28
"82","2014/04/02 00:13",58
"83","2014/04/02 00:18",55
"84","2014/04/02 00:23",53
"85","2014/04/02 00:28",65
"86","2014/04/02 00:33",38
"87","2014/04/02 00:38",30
"88","2014/04/02 00:43",63
"89","2014/04/02 00:48",36
"90","2014/04/02 00:53",33
"91","2014/04/02 00:58",76
"92","2014/04/02 01:03",65
"93","2014/04/02 01:08",46
"94","2014/04/02 01:13",42
"95","2014/04/02 01:18",66
"96","2014/04/02 01:23",27
