LDEV_Rnd_Write_Hit_X285-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:13 X"
"1","2014/04/01 17:28",84
"2","2014/04/01 17:33",79
"3","2014/04/01 17:38",72
"4","2014/04/01 17:43",89
"5","2014/04/01 17:48",86
"6","2014/04/01 17:53",97
"7","2014/04/01 17:58",94
"8","2014/04/01 18:03",88
"9","2014/04/01 18:08",60
"10","2014/04/01 18:13",94
"11","2014/04/01 18:18",85
"12","2014/04/01 18:23",89
"13","2014/04/01 18:28",77
"14","2014/04/01 18:33",61
"15","2014/04/01 18:38",59
"16","2014/04/01 18:43",88
"17","2014/04/01 18:48",76
"18","2014/04/01 18:53",80
"19","2014/04/01 18:58",84
"20","2014/04/01 19:03",93
"21","2014/04/01 19:08",73
"22","2014/04/01 19:13",85
"23","2014/04/01 19:18",84
"24","2014/04/01 19:23",86
"25","2014/04/01 19:28",85
"26","2014/04/01 19:33",98
"27","2014/04/01 19:38",81
"28","2014/04/01 19:43",90
"29","2014/04/01 19:48",92
"30","2014/04/01 19:53",93
"31","2014/04/01 19:58",87
"32","2014/04/01 20:03",84
"33","2014/04/01 20:08",60
"34","2014/04/01 20:13",86
"35","2014/04/01 20:18",83
"36","2014/04/01 20:23",89
"37","2014/04/01 20:28",86
"38","2014/04/01 20:33",90
"39","2014/04/01 20:38",80
"40","2014/04/01 20:43",93
"41","2014/04/01 20:48",87
"42","2014/04/01 20:53",89
"43","2014/04/01 20:58",95
"44","2014/04/01 21:03",82
"45","2014/04/01 21:08",55
"46","2014/04/01 21:13",83
"47","2014/04/01 21:18",82
"48","2014/04/01 21:23",53
"49","2014/04/01 21:28",70
"50","2014/04/01 21:33",54
"51","2014/04/01 21:38",47
"52","2014/04/01 21:43",95
"53","2014/04/01 21:48",77
"54","2014/04/01 21:53",95
"55","2014/04/01 21:58",96
"56","2014/04/01 22:03",94
"57","2014/04/01 22:08",63
"58","2014/04/01 22:13",90
"59","2014/04/01 22:18",84
"60","2014/04/01 22:23",65
"61","2014/04/01 22:28",73
"62","2014/04/01 22:33",95
"63","2014/04/01 22:38",69
"64","2014/04/01 22:43",67
"65","2014/04/01 22:48",82
"66","2014/04/01 22:53",83
"67","2014/04/01 22:58",84
"68","2014/04/01 23:03",81
"69","2014/04/01 23:08",79
"70","2014/04/01 23:13",78
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",80
"73","2014/04/01 23:28",85
"74","2014/04/01 23:33",80
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",81
"77","2014/04/01 23:48",84
"78","2014/04/01 23:53",81
"79","2014/04/01 23:58",80
"80","2014/04/02 00:03",67
"81","2014/04/02 00:08",67
"82","2014/04/02 00:13",71
"83","2014/04/02 00:18",61
"84","2014/04/02 00:23",65
"85","2014/04/02 00:28",61
"86","2014/04/02 00:33",55
"87","2014/04/02 00:38",64
"88","2014/04/02 00:43",70
"89","2014/04/02 00:48",41
"90","2014/04/02 00:53",76
"91","2014/04/02 00:58",75
"92","2014/04/02 01:03",78
"93","2014/04/02 01:08",51
"94","2014/04/02 01:13",76
"95","2014/04/02 01:18",83
"96","2014/04/02 01:23",67
