LDEV_Rnd_Write_Hit_X503-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EE X"
"1","2014/04/01 17:28",16
"2","2014/04/01 17:33",88
"3","2014/04/01 17:38",28
"4","2014/04/01 17:43",26
"5","2014/04/01 17:48",62
"6","2014/04/01 17:53",45
"7","2014/04/01 17:58",63
"8","2014/04/01 18:03",57
"9","2014/04/01 18:08",42
"10","2014/04/01 18:13",42
"11","2014/04/01 18:18",33
"12","2014/04/01 18:23",88
"13","2014/04/01 18:28",84
"14","2014/04/01 18:33",94
"15","2014/04/01 18:38",75
"16","2014/04/01 18:43",86
"17","2014/04/01 18:48",33
"18","2014/04/01 18:53",27
"19","2014/04/01 18:58",96
"20","2014/04/01 19:03",87
"21","2014/04/01 19:08",57
"22","2014/04/01 19:13",91
"23","2014/04/01 19:18",87
"24","2014/04/01 19:23",79
"25","2014/04/01 19:28",97
"26","2014/04/01 19:33",85
"27","2014/04/01 19:38",81
"28","2014/04/01 19:43",97
"29","2014/04/01 19:48",97
"30","2014/04/01 19:53",93
"31","2014/04/01 19:58",83
"32","2014/04/01 20:03",89
"33","2014/04/01 20:08",43
"34","2014/04/01 20:13",94
"35","2014/04/01 20:18",87
"36","2014/04/01 20:23",90
"37","2014/04/01 20:28",89
"38","2014/04/01 20:33",87
"39","2014/04/01 20:38",34
"40","2014/04/01 20:43",87
"41","2014/04/01 20:48",41
"42","2014/04/01 20:53",25
"43","2014/04/01 20:58",31
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",42
"46","2014/04/01 21:13",21
"47","2014/04/01 21:18",26
"48","2014/04/01 21:23",9
"49","2014/04/01 21:28",22
"50","2014/04/01 21:33",10
"51","2014/04/01 21:38",29
"52","2014/04/01 21:43",50
"53","2014/04/01 21:48",93
"54","2014/04/01 21:53",97
"55","2014/04/01 21:58",54
"56","2014/04/01 22:03",92
"57","2014/04/01 22:08",75
"58","2014/04/01 22:13",87
"59","2014/04/01 22:18",90
"60","2014/04/01 22:23",82
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",75
"63","2014/04/01 22:38",61
"64","2014/04/01 22:43",61
"65","2014/04/01 22:48",80
"66","2014/04/01 22:53",82
"67","2014/04/01 22:58",83
"68","2014/04/01 23:03",77
"69","2014/04/01 23:08",75
"70","2014/04/01 23:13",76
"71","2014/04/01 23:18",81
"72","2014/04/01 23:23",81
"73","2014/04/01 23:28",85
"74","2014/04/01 23:33",79
"75","2014/04/01 23:38",82
"76","2014/04/01 23:43",80
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",79
"79","2014/04/01 23:58",80
"80","2014/04/02 00:03",54
"81","2014/04/02 00:08",66
"82","2014/04/02 00:13",43
"83","2014/04/02 00:18",51
"84","2014/04/02 00:23",59
"85","2014/04/02 00:28",61
"86","2014/04/02 00:33",48
"87","2014/04/02 00:38",65
"88","2014/04/02 00:43",79
"89","2014/04/02 00:48",57
"90","2014/04/02 00:53",89
"91","2014/04/02 00:58",74
"92","2014/04/02 01:03",67
"93","2014/04/02 01:08",53
"94","2014/04/02 01:13",75
"95","2014/04/02 01:18",83
"96","2014/04/02 01:23",84
